Utterance,Ground truth,Output,Correct
"first go to Nova's Bakery on Central Avenue, while avoiding The Plaza Post Office operated by United States Postal Service, then move to The Plaza Post Office operated by United States Postal Service","{'The Plaza Post Office operated by United States Postal Service', ""Nova's Bakery on Central Avenue""}","{'The Plaza Post Office operated by United States Postal Service', ""Nova's Bakery on Central Avenue""}",True
"never go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, more than once",{'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue'},{'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue'},True
"you have to go to Harris Teeter supermarket on Central Avenue, four or more than four times",{'Harris Teeter supermarket on Central Avenue'},{'Harris Teeter supermarket on Central Avenue'},True
"do not go to Common Market convenience store on Commonwealth Avenue, Elizabeth Billiards bar, Wells Fargo bank on Central Avenue, or Dish, a restaurant building","{'Wells Fargo bank on Central Avenue', 'Elizabeth Billiards bar', 'Dish, a restaurant building', 'Common Market convenience store on Commonwealth Avenue'}","{'Elizabeth Billiards bar', 'Wells Fargo bank on Central Avenue', 'Dish, a restaurant building', 'Common Market convenience store on Commonwealth Avenue'}",True
"never go to Fuel Pizza restaurant, more than five times",{'Fuel Pizza restaurant'},{'Fuel Pizza restaurant'},True
"visiting Animal hospital on Commonwealth Avenue, more than twice is prohibited",{'Animal hospital on Commonwealth Avenue'},{'Animal hospital on Commonwealth Avenue'},True
"go to Nova's Bakery on Central Avenue, but do not visit Animal hospital on Commonwealth Avenue, Wells Fargo bank on Central Avenue, or Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, and then go to Animal hospital on Commonwealth Avenue, but do not visit Wells Fargo bank on Central Avenue, or Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, or revisit Nova's Bakery on Central Avenue, and then go to Wells Fargo bank on Central Avenue, but do not visit Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, or revisit Nova's Bakery on Central Avenue, or Animal hospital on Commonwealth Avenue, and then go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, but do not revisit Nova's Bakery on Central Avenue, Animal hospital on Commonwealth Avenue, or Wells Fargo bank on Central Avenue","{""Nova's Bakery on Central Avenue"", 'Animal hospital on Commonwealth Avenue', 'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue', 'Wells Fargo bank on Central Avenue'}","{""Nova's Bakery on Central Avenue"", 'Animal hospital on Commonwealth Avenue', 'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue', 'Wells Fargo bank on Central Avenue'}",True
"visiting CVS Pharmacy on Pecan Avenue, more than three times is prohibited",{'CVS Pharmacy on Pecan Avenue'},{'CVS Pharmacy on Pecan Avenue'},True
"navigate to Wells Fargo bank on Central Avenue, exactly once while staying away from Zada Jane's cafe on Central Avenue, then you can go to Zada Jane's cafe on Central Avenue","{""Zada Jane's cafe on Central Avenue"", 'Wells Fargo bank on Central Avenue'}","{""Zada Jane's cafe on Central Avenue"", 'Wells Fargo bank on Central Avenue'}",True
"always keep away from Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue, and Subway sandwich fast food on The Plaza","{'Subway sandwich fast food on The Plaza', 'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue'}","{'Subway sandwich fast food on The Plaza', 'Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch on Central Avenue'}",True
"Diamond Restaurant, can not be visited at any time",{'Diamond Restaurant'},{'Diamond Restaurant'},True
"never visit Wells Fargo bank on Central Avenue, more than four times",{'Wells Fargo bank on Central Avenue'},{'Wells Fargo bank on Central Avenue'},True
"you can go anywhere but Subway sandwich shop on The Plaza, Nova's Bakery on Central Avenue, Fuel Pizza restaurant, and CVS Pharmacy on Pecan Avenue","{""Nova's Bakery on Central Avenue"", 'Subway sandwich shop on The Plaza', 'Fuel Pizza restaurant', 'CVS Pharmacy on Pecan Avenue'}","{""Nova's Bakery on Central Avenue"", 'Subway sandwich shop on The Plaza', 'Fuel Pizza restaurant', 'CVS Pharmacy on Pecan Avenue'}",True
"you have to visit Wells Fargo bank on Central Avenue, at least three times",{'Wells Fargo bank on Central Avenue'},{'Wells Fargo bank on Central Avenue'},True
"make your way to The Plaza Post Office operated by United States Postal Service, at least four times",{'The Plaza Post Office operated by United States Postal Service'},{'The Plaza Post Office operated by United States Postal Service'},True
"make sure you visit Animal hospital on Commonwealth Avenue, three or more times",{'Animal hospital on Commonwealth Avenue'},{'Animal hospital on Commonwealth Avenue'},True
