nl_command,ltl,map_name
Move to the Taipan Bakery while avoiding the Joy Luck Palace.,F ( taipan_bakery ),New York #1
Go straight to the Taipan Bakery.,F ( taipan_bakery ),New York #1
Head straight to the Taipan Bakery past the Unique Hype Collection.,F ( taipan_bakery ),New York #1
Proceed directly to the Tai Pan Bakery.,F ( taipan_bakery ),New York #1
Avoid the Unique Hype Collection while on your way to Tai Pan Bakery,F ( taipan_bakery ),New York #1
Go to the Tai Pan Bakery.,F ( taipan_bakery ),New York #1
Go to Taipan Bakery but avoid Unique Hype Collection.,F ( taipan_bakery ),New York #1
Head to the Tai Pan bakery by going below the Joy Luck Palace,F ( taipan_bakery ),New York #1
"Avoid the Unique Hype Collection while navigating to the Tai Pan Bakery.
Head towards the bakery while avoiding the collectors store.",F ( taipan_bakery ),New York #1
Make your way to Taipan bakery but do not enter Joy luck Palace on your right.,F ( taipan_bakery ),New York #1
Travel to the bakery followed by traveling to the Chinese restaurant.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Go through the Tai Pan Bakery on your way to Joy luck palace,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
"Travel to Taipan Bakery, then continue to Joy Luck Palace.",F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
"Go to Tai Pan Bakery, then go to Joy Luck Palace.",F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Navigate to Tai Pan Bakery and then to Joy Luck Palace.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
"Go to Taipan Bakery first, then on to Joy Luck Palace.",F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Move to Taipan Bakery and then too Joy Luck Palace.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Turn right at the Taipan Bakery before heading straight to the Joy Luck Palace.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Avoid the drug store and head right towards the bakery shop.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Navigate to the Tai Pan bakery and then move to Joy Luck Palace.,F ( taipan_bakery & F ( joy_luck_palace ) ),New York #1
Go to Joy Luck Palace on your way to Unique Hype Collection,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Go to the Joy Luck Palace restaurant and then proceed to the Unique Hype Collection store.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Head northwest to the joy luck palace restaurant and then head south to the Unique Hype Collection store.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Turn left at the Joy Luck Palace heading to the Unique Hype Collection.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Navigate to Unique Hype Collection while avoiding the Chinese restaurant.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
"Head to Joy Luck Palace, then go downwards towards Unique Hype Collection.",F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Go to the clothing store while stopping at the Chinese restaurant on your way.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
"Navigate to Joy Luck Palace, then navigate to the Unique Hype Collection and avoid the Tai Pan Bakery.",F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Stop by Joy Luck Palace and continue to Unique Hype Collection.,F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
"Go to the Joy Luck Palace, then go to Unique Hype Collection.",F ( joy_luck_palace & F ( unique_hype_collection ) ),New York #1
Avoid the bakery on your way to the clothing store.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
very good one,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Go around Taipan Bakery to get to Unique Hype Collection.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Avoid Tai Pan Bakery and navigate to Unique Hype Collection.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Navigate around Taipan Bakery on your way to Uniquie Hype Collection.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Avoid Tai Pan Bakery on your way to Unique Hype Collection,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Go around the Tai Pan Bakery and head to Unique Hype Collection.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Avoid the bakery on your way to the Unique Hype Collection.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Navigate to Unique Hype Collection and avoid Taipan bakery.,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Make a tight loops around Taipan Bakery and head to your stop at Unique Hype Collection,F ( unique_hype_collection & ~ taipan_bakery ),New York #1
Make a sharp left  U-turn at Unique Hype Collection and continue to Joy Luck Palace.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Avoid the Unique Hype Collection on your way to the Joy Luck Palace,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Avoid the clothing store as you travel to the Chinese restaurant.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Avoid Unique Hype Collection on your way to Joy Luck Palace.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Go to Joy Luck Palace avoiding Unique Hype Collection,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Go below Unique Hype Collection on your way to Joy Luck Palace.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Travel to Joy Luck Palace by driving around the Unique Hype Collection clothing store.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Avoid Unique Hype Collection and go to Joy Luck Palace.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Go to Joy Luck Palace but avoid Unique Hype Collection on the way.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Make a loop around the Unique Hype Collection before heading straight to the Joy Luck Palace.,F ( joy_luck_palace & ~ unique_hype_collection ),New York #1
Avoid the Joy Luck Palace and head straight to the Taipan Bakery.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Travel to the bakery while avoiding Joy Luck Palace on your way there.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Avoid Joy Luck Palace on your way to Tai Pan Bakery,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
"Make your way to the Taipan bakery, but steer clear of the Joy Luck Palace along the way.",F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Avoid Joy Luck Palace and navigate to the bakery.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
"Avoid the Joy Luck Palace, turn left after the palace, and go to the bakery.",F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Avoid Joy Luck Palace on your way too Taipan Bakery.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Go around the Joy Luck Palace on the way to the Taipan Bakery.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Avoid the Joy Luck Palace and go to the Tai Pan Bakery.,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
Navigate to the Tai Pan Bakery while avoiding Joy Luck Palace,F ( taipan_bakery & ~ joy_luck_palace ),New York #1
"Go to Unique Hype Collection, then go to Tai Pan Bakery.",F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Go past the Unique Hype Collection on your way to the Taipan Bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
