,nl_command,ltl,map_name,result,eq
8440,visit Margot & Camille and Tribal Home (interiors),& F margot_&_camille F tribal_home_(interiors),Philadelphia #1,"error:['F', 'lm(', 'lm(', 'Margot', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', 'Home', ')lm']",False
8441,visit Margot & Camille and 2nd & Arch,& F margot_&_camille F 2nd_&_arch,Philadelphia #1,"error:['F', 'lm(', 'lm(', '&', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', '&', ')lm']",False
8442,visit Sass Vintage and Hamilton Family Arts Center,& F hamilton_family_arts_center F sass_vintage,Philadelphia #1,"error:['F', 'lm(', 'lm(', 'Sass', 'Arts', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Arts', 'Arts', 'Center', ')lm']",False
8443,visit Sioux New and Vintage and Tribal Home (interiors),& F tribal_home_(interiors) F sioux_new_and_vintage,Philadelphia #1,"error:['F', 'lm(', 'lm(', 'New', 'and', ')lm', ')lm', 'lm(', 'lm(', 'and', 'and', 'Home', ')lm']",False
8444,sometime along the way go to Arch Street Friends Meetinghouse and Betsy Ross House,& F arch_street_friends_meetinghouse F betsy_ross_house,Philadelphia #1,"error:['&', 'F', 'lm(', 'lm(', 'along', ')lm', ')lm', 'lm(', 'lm(', 'the', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', '&', 'U', '!', 'lm(', 'lm(', ')lm', 'lm(', 'U', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', 'the', '&', 'U', '!', 'lm(', ')lm', 'lm(', 'the', '&', 'U', '!', 'lm(', ')lm', 'lm(', 'the', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(']",False
8445,sometime along the way go to Sass Vintage and Starbucks,& F sass_vintage F starbucks,Philadelphia #1,"error:['&', '&', 'lm(', 'lm(', 'along', 'the', 'lm(', 'lm(', 'lm(', ')lm', '&', 'U', '!', 'lm(', 'Sass', ')lm', 'U', 'lm(', 'U', ')lm', '&', 'U', '!', 'lm(', 'U', ')lm', 'U', 'lm(', ')lm', 'lm(', ')lm', 'U', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'lm(', ')lm', ')lm', 'U', ')lm', 'lm(', 'the', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', 'U', 'lm(', ')lm', ')lm', 'the', 'lm(', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'the', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', 'the', 'lm(', ')lm', ')lm', 'lm(', ')lm', ')lm']",False
8446,eventually reach Bon-e-jour and Betsy Ross House,& F bon-e-jour F betsy_ross_house,Philadelphia #1,F sioux_new_and_vintage,False
8447,eventually reach LA Signature Home Interiors and Sass Vintage,& F la_signature_home_interiors F sass_vintage,Philadelphia #1,"error:['F', 'lm(', 'lm(', 'LA', 'Signature', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm']",False
8448,visit Linode and Tribal Home (interiors) in any order,& F linode F tribal_home_(interiors),Philadelphia #1,F F linode )lm colonial_cleaners lm( tomo_sushi&ramen,False
8449,visit 2nd & Arch and Bon-e-jour in any order,& F 2nd_&_arch F bon-e-jour,Philadelphia #1,"error:['F', 'F', 'lm(', '2nd', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', 'Bon-e-jour', ')lm']",False
