train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,patrolling,1,['a'],keep visiting a,G F a,G F a,True
valid,patrolling,1,['b'],keep visiting b,G F b,G F b,True
valid,patrolling,1,['c'],keep visiting c,G F c,G F c,True
valid,patrolling,1,['d'],keep visiting d,G F d,G F d,True
valid,patrolling,1,['h'],keep visiting h,G F h,G F h,True
valid,patrolling,1,['a'],go to a an infinite number of times,G F a,& G! a F a,False
valid,patrolling,1,['b'],go to b an infinite number of times,G F b,& G! b F b,False
valid,patrolling,1,['c'],go to c an infinite number of times,G F c,& G! c F c,False
valid,patrolling,1,['d'],go to d an infinite number of times,G F d,& F d & F d F d,False
valid,patrolling,1,['h'],go to h an infinite number of times,G F h,& G! h F h,False
valid,patrolling,1,['a'],continue moving to a,G F a,G F a,True
valid,patrolling,1,['b'],continue moving to b,G F b,G F b,True
valid,patrolling,1,['c'],continue moving to c,G F c,G F c,True
valid,patrolling,1,['d'],continue moving to d,G F d,G F d,True
valid,patrolling,1,['h'],continue moving to h,G F h,G F h,True
valid,patrolling,1,['a'],do not stop visiting a,G F a,G F a,True
valid,patrolling,1,['b'],do not stop visiting b,G F b,G F b,True
valid,patrolling,1,['c'],do not stop visiting c,G F c,G F c,True
valid,patrolling,1,['d'],do not stop visiting d,G F d,G F d,True
valid,patrolling,1,['h'],do not stop visiting h,G F h,G F h,True
valid,patrolling,1,['a'],do not stop going to a,G F a,G F a,True
valid,patrolling,1,['b'],do not stop going to b,G F b,G F b,True
valid,patrolling,1,['c'],do not stop going to c,G F c,G F c,True
valid,patrolling,1,['d'],do not stop going to d,G F d,G F d,True
valid,patrolling,1,['h'],do not stop going to h,G F h,G F h,True
valid,patrolling,1,['a'],please visit a infinitely often,G F a,& F a & F a F a,False
valid,patrolling,1,['b'],please visit b infinitely often,G F b,& F b & F b F b,False
valid,patrolling,1,['c'],please visit c infinitely often,G F c,& F c & F c F c,False
valid,patrolling,1,['d'],please visit d infinitely often,G F d,& F d & F d F d,False
valid,patrolling,1,['h'],please visit h infinitely often,G F h,& F h & F h F h,False
valid,patrolling,1,['a'],you must visit a infinitely often,G F a,& G! a F a,False
valid,patrolling,1,['b'],you must visit b infinitely often,G F b,& G! b F b,False
valid,patrolling,1,['c'],you must visit c infinitely often,G F c,& G! c F c,False
valid,patrolling,1,['d'],you must visit d infinitely often,G F d,& G! d F d,False
valid,patrolling,1,['h'],you must visit h infinitely often,G F h,& G! h F h,False
valid,patrolling,1,['a'],keep visiting a,G F a,G F a,True
valid,patrolling,1,['b'],keep visiting b,G F b,G F b,True
valid,patrolling,1,['c'],keep visiting c,G F c,G F c,True
valid,patrolling,1,['d'],keep visiting d,G F d,G F d,True
valid,patrolling,1,['h'],keep visiting h,G F h,G F h,True
valid,patrolling,1,['a'],keep going to a,G F a,G F a,True
valid,patrolling,1,['b'],keep going to b,G F b,G F b,True
valid,patrolling,1,['c'],keep going to c,G F c,G F c,True
valid,patrolling,1,['d'],keep going to d,G F d,G F d,True
valid,patrolling,1,['h'],keep going to h,G F h,G F h,True
valid,patrolling,1,['a'],make sure you frequent a infinitely,G F a,& G! a F a,False
valid,patrolling,1,['b'],make sure you frequent b infinitely,G F b,& G! b F b,False
