,nl_command,ltl,map_name,result,eq
0,eventually you must go to Details,F details,Los Angeles #2,"error:['F', 'lm(', 'lm(', 'Details', ')lm']",False
1,eventually you must go to Carl's Jr.,F carl's_jr.,Los Angeles #2,"error:['F', 'lm(', 'lm(', ""Carl's"", ')lm']",False
2,make your way to Metro,F metro,Los Angeles #2,F metro,True
3,make your way to The Line,F the_line,Los Angeles #2,F the_line,True
4,visit The Boiling Crab,F the_boiling_crab,Los Angeles #2,F the_boiling_crab,True
5,visit Wilshire-Kenmore Building,F wilshire-kenmore_building,Los Angeles #2,F wilshire-kenmore_building,True
6,travel to Koko Pizza,F koko_pizza,Los Angeles #2,F koko_pizza,True
7,travel to Carl's Jr.,F carl's_jr.,Los Angeles #2,F carl's_jr.,True
8,reach POT,F pot,Los Angeles #2,G pot,False
9,reach Neris Filipino Dining,F neris_filipino_dining,Los Angeles #2,F details,False
10,find Tarboosh middle East kitchen,F tarboosh_middle_east_kitchen,Los Angeles #2,F tarboosh_middle_east_kitchen,True
11,find Seaweed,F seaweed,Los Angeles #2,F seaweed,True
12,sometime along the way go to Consulat General of the Republic of Indonesia and Bayou Smokehouse,& F consulat_general_of_the_republic_of_indonesia F bayou_smokehouse,Los Angeles #2,& F boo's_philly_cheesesteaks_ktown the of & )lm & F neris_filipino_dining lm( of of of of )lm )lm neris_filipino_dining lm( neris_filipino_dining lm( neris_filipino_dining,False
13,sometime along the way go to BBQ Premium Chicken and Tarboosh middle East kitchen,& F bbq_premium_chicken F tarboosh_middle_east_kitchen,Los Angeles #2,"error:['F', '&', 'lm(', 'BBQ', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'BBQ', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
14,visit Consulat General of the Republic of Indonesia and California Design College,& F consulat_general_of_the_republic_of_indonesia F california_design_college,Los Angeles #2,"error:['&', 'F', 'lm(', 'Consulat', 'St', 'the', 'of', 'F', ')lm', 'lm(', 'lm(', 'lm(', 'of', 'of', 'of', 'College', ')lm']",False
15,visit Big 5 Sporting Goods and Wilshire/Normandie,& F big_5_sporting_goods F wilshire/normandie,Los Angeles #2,& robert_f._kennedy_community_schools,False
16,go to The Line and go to Details,& F the_line F details,Los Angeles #2,& F the_line F details,True
