Utterance,Ground truth,Output,Correct
"make sure you never visit Asian restaurant on South King Street, Ambrosia cafe on South King Street, Girls Rock Math School, or Shanghai Garden Chinese restaurant on 6th Avenue","{'Girls Rock Math School', 'Ambrosia cafe on South King Street', 'Shanghai Garden Chinese restaurant on 6th Avenue', 'Asian restaurant on South King Street'}","{'Shanghai Garden Chinese restaurant on 6th Avenue', 'Girls Rock Math School', 'Asian restaurant on South King Street', 'Ambrosia cafe on South King Street'}",True
you can not go to Great State Burger fast food on 5th Avenue South,{'Great State Burger fast food on 5th Avenue South'},{'Great State Burger fast food on 5th Avenue South'},True
"you must never go to Fortuna Cafe, a Chinese restaurant on South King Street","{'Fortuna Cafe, a Chinese restaurant on South King Street'}","{'Fortuna Cafe, a Chinese restaurant on South King Street'}",True
"move to Travel agency on Maynard Avenue South, then move to Shanghai Garden Chinese restaurant on 6th Avenue South","{'Travel agency on Maynard Avenue South', 'Shanghai Garden Chinese restaurant on 6th Avenue South'}","{'Travel agency on Maynard Avenue South', 'Shanghai Garden Chinese restaurant on 6th Avenue South'}",True
"you can visit nowhere else except New Central Hotel Apartments on South Weller Street, right after Pink Gorilla Import & Retro Gaming toy store, and you can visit nowhere else except Pink Gorilla Import & Retro Gaming toy store, right before New Central Hotel Apartments on South Weller Street","{'Pink Gorilla Import & Retro Gaming toy store', 'New Central Hotel Apartments on South Weller Street'}","{'Pink Gorilla Import & Retro Gaming toy store', 'New Central Hotel Apartments on South Weller Street'}",True
"go to all of AI Video electronics store, Seafood restaurant on Maynard Avenue South, and Asian restaurant on 5th Avenue South","{'Seafood restaurant on Maynard Avenue South', 'Asian restaurant on 5th Avenue South', 'AI Video electronics store'}","{'Seafood restaurant on Maynard Avenue South', 'Asian restaurant on 5th Avenue South', 'AI Video electronics store'}",True
"never go to Sushi restaurant on South Weller Street, more than four times",{'Sushi restaurant on South Weller Street'},{'Sushi restaurant on South Weller Street'},True
"go to Doctor Kenneth Hong's office on South Weller Street, after Fortuna Cafe, a Chinese restaurant on South King Street, go to Fortuna Cafe, a Chinese restaurant on South King Street, after going to Ambrosia cafe on South King Street","{""Doctor Kenneth Hong's office on South Weller Street"", 'Ambrosia cafe on South King Street', 'Fortuna Cafe, a Chinese restaurant on South King Street'}","{""Doctor Kenneth Hong's office on South Weller Street"", 'Ambrosia cafe on South King Street', 'Fortuna Cafe, a Chinese restaurant on South King Street'}",True
"go to Girls Rock Math School, once without visiting Ambrosia cafe on South King Street, then go to Ambrosia cafe on South King Street, once without visiting Tai Tung Chinese Restaurant on South King Street, then go to Tai Tung Chinese Restaurant on South King Street, once without visiting Pink Gorilla Import & Retro Gaming toy store, then go to Pink Gorilla Import & Retro Gaming toy store, once without visiting Shanghai Garden Chinese restaurant on 6th Avenue South, finally go to Shanghai Garden Chinese restaurant on 6th Avenue South","{'Pink Gorilla Import & Retro Gaming toy store', 'Girls Rock Math School', 'Tai Tung Chinese Restaurant on South King Street', 'Shanghai Garden Chinese restaurant on 6th Avenue South', 'Ambrosia cafe on South King Street'}","{'Girls Rock Math School', 'Pink Gorilla Import & Retro Gaming toy store', 'Shanghai Garden Chinese restaurant on 6th Avenue South', 'Ambrosia cafe on South King Street', 'Tai Tung Chinese Restaurant on South King Street'}",True
"Asia Condo on South Lane Street, should happen immediately in the next time step as soon as Girls Rock Math school, is observed","{'Asia Condo on South Lane Street', 'Girls Rock Math school'}","{'Asia Condo on South Lane Street', 'Girls Rock Math school'}",True
"go to Northwest Kung Fu Fitness Studios, Sing Keong Society on Maynard Avenue South, AI Video electronics store, make sure to go to Sing Keong Society on Maynard Avenue South, after Northwest Kung Fu Fitness Studios, and AI Video electronics store, after Sing Keong Society on Maynard Avenue South","{'Northwest Kung Fu Fitness Studios', 'AI Video electronics store', 'Sing Keong Society on Maynard Avenue South'}","{'Northwest Kung Fu Fitness Studios', 'AI Video electronics store', 'Sing Keong Society on Maynard Avenue South'}",True
"make your way to Realhome Network on South Weller Street, at least four times",{'Realhome Network on South Weller Street'},{'Realhome Network on South Weller Street'},True
"eventually reach Burger fast-food on 5th Avenue South, and Northwest Kung Fu Fitness Studios","{'Burger fast-food on 5th Avenue South', 'Northwest Kung Fu Fitness Studios'}","{'Burger fast-food on 5th Avenue South', 'Northwest Kung Fu Fitness Studios'}",True
"first go to Travel agency on Maynard Avenue South, once without visiting Fast food on South Weller Street, then go to Fast food on South Weller Street","{'Travel agency on Maynard Avenue South', 'Fast food on South Weller Street'}","{'Travel agency on Maynard Avenue South', 'Fast food on South Weller Street'}",True
"reach all the following locations Eastern Hotel on Maynard Avenue South, Fortuna Cafe, a Chinese restaurant on South King Street, Shanghai Garden Chinese restaurant on 6th Avenue, and Chinese cafe on Maynard Avenue South","{'Chinese cafe on Maynard Avenue South', 'Fortuna Cafe, a Chinese restaurant on South King Street', 'Shanghai Garden Chinese restaurant on 6th Avenue', 'Eastern Hotel on Maynard Avenue South'}","{'Eastern Hotel on Maynard Avenue South', 'Chinese cafe on Maynard Avenue South', 'Shanghai Garden Chinese restaurant on 6th Avenue', 'Fortuna Cafe, a Chinese restaurant on South King Street'}",True
"visit Tai Tung Chinese Restaurant on South King Street, and Paris Skin Care beauty shop, in any order","{'Paris Skin Care beauty shop', 'Tai Tung Chinese Restaurant on South King Street'}","{'Paris Skin Care beauty shop', 'Tai Tung Chinese Restaurant on South King Street'}",True
"you have to visit Asian restaurant on 5th Avenue South, at least three times",{'Asian restaurant on 5th Avenue South'},{'Asian restaurant on 5th Avenue South'},True
"do not go to Louisa Hotel Apartments, Vibrant Cities, or Sushi restaurant on South Weller Street","{'Vibrant Cities', 'Sushi restaurant on South Weller Street', 'Louisa Hotel Apartments'}","{'Vibrant Cities', 'Sushi restaurant on South Weller Street', 'Louisa Hotel Apartments'}",True
"visit Asia building, and visit only once then eventually visit Sand Dragon on South Lane Street, do not visit Sand Dragon on South Lane Street, before visiting Asia building","{'Sand Dragon on South Lane Street', 'Asia building'}","{'Sand Dragon on South Lane Street', 'Asia building'}",True
"go to bookstore on South Weller Street, only then go to Pink Gorilla Import & Retro Gaming toy store, without returning only after that go to Asian restaurant on 5th Avenue South, without returning only after that go to Chinese cafe on Maynard Avenue, without returning and finally only then go to Seattle Gospel Center place of worship, without returning","{'Pink Gorilla Import & Retro Gaming toy store', 'Asian restaurant on 5th Avenue South', 'Chinese cafe on Maynard Avenue', 'Seattle Gospel Center place of worship', 'bookstore on South Weller Street'}","{'Chinese cafe on Maynard Avenue', 'Pink Gorilla Import & Retro Gaming toy store', 'Seattle Gospel Center place of worship', 'bookstore on South Weller Street', 'Asian restaurant on 5th Avenue South'}",True
"first go to Girls Rock Math school, once then go to Baba Mama, once while avoiding Travel agency on South King Street, then go to Travel agency on South King Street, once while avoiding Acupuncture and massage center on South Weller Street, finally go to Acupuncture and massage center on South Weller Street","{'Travel agency on South King Street', 'Girls Rock Math school', 'Baba Mama', 'Acupuncture and massage center on South Weller Street'}","{'Travel agency on South King Street', 'Girls Rock Math school', 'Baba Mama', 'Acupuncture and massage center on South Weller Street'}",True
"you can visit nowhere else except Seattle Pinball Museum on Maynard Avenue, right after Sand Dragon on South Lane Street, and you can visit nowhere else except Sand Dragon on South Lane Street, right before Seattle Pinball Museum on Maynard Avenue","{'Seattle Pinball Museum on Maynard Avenue', 'Sand Dragon on South Lane Street'}","{'Seattle Pinball Museum on Maynard Avenue', 'Sand Dragon on South Lane Street'}",True
"keep going to New Central Hotel Apartments on South Weller Street, and Ellenos Real Greek Yogurt cafe, an infinite number of times","{'Ellenos Real Greek Yogurt cafe', 'New Central Hotel Apartments on South Weller Street'}","{'Ellenos Real Greek Yogurt cafe', 'New Central Hotel Apartments on South Weller Street'}",True
"you must go to Ambrosia Cafe on South King Street, exactly once",{'Ambrosia Cafe on South King Street'},{'Ambrosia Cafe on South King Street'},True
"please keep visiting Seattle Gospel Center place of worship, and Seafood restaurant on Maynard Avenue South, without stopping","{'Seafood restaurant on Maynard Avenue South', 'Seattle Gospel Center place of worship'}","{'Seafood restaurant on Maynard Avenue South', 'Seattle Gospel Center place of worship'}",True
"you can go to Louisa Hotel Apartments, but you must not go to Asian restaurant on South King Street, after that","{'Asian restaurant on South King Street', 'Louisa Hotel Apartments'}","{'Asian restaurant on South King Street', 'Louisa Hotel Apartments'}",True
"go to Asian restaurant on South King Street, then leave Asian restaurant on South King Street, and then repeat this exactly two more times",{'Asian restaurant on South King Street'},{'Asian restaurant on South King Street'},True
"visit Great State Burger fast food on 5th Avenue South, equal or more than twice",{'Great State Burger fast food on 5th Avenue South'},{'Great State Burger fast food on 5th Avenue South'},True
"visit Beard Papa's fast food on South Weller Street, once and never revisit it again","{""Beard Papa's fast food on South Weller Street""}","{""Beard Papa's fast food on South Weller Street""}",True
"you are not allowed to cease exploring Realhome Network on South Weller Street, bookstore on South Weller Street, Pink Gorilla Import & Retro Gaming toy store, Louisa Hotel Apartments, and Ho Ho Seafood restaurant on South Weller Street","{'Pink Gorilla Import & Retro Gaming toy store', 'Ho Ho Seafood restaurant on South Weller Street', 'Louisa Hotel Apartments', 'bookstore on South Weller Street', 'Realhome Network on South Weller Street'}","{'Pink Gorilla Import & Retro Gaming toy store', 'Louisa Hotel Apartments', 'bookstore on South Weller Street', 'Realhome Network on South Weller Street', 'Ho Ho Seafood restaurant on South Weller Street'}",True
