Utterance,Ground truth,Output,Correct
"you have to go to CHOP Parking Garage, three or more than three times",{'CHOP Parking Garage'},{'CHOP Parking Garage'},True
"once you go to James G. Kaskey Memorial Park, you have to move to Brooks dormitory building, and you can not visit Brooks dormitory building, any other time","{'James G. Kaskey Memorial Park', 'Brooks dormitory building'}","{'James G. Kaskey Memorial Park', 'Brooks dormitory building'}",True
"visit Hospital of the University of Pennsylvania on Spruce Street operated by Penn Medicine, then visit CHOP Parking Garage, then visit Butcher dormitory building, then visit Chestnut dormitory building","{'Chestnut dormitory building', 'Butcher dormitory building', 'CHOP Parking Garage', 'Hospital of the University of Pennsylvania on Spruce Street operated by Penn Medicine'}","{'Chestnut dormitory building', 'Butcher dormitory building', 'CHOP Parking Garage', 'Hospital of the University of Pennsylvania on Spruce Street operated by Penn Medicine'}",True
"Au Bon Pain sandwich fast food, should never be reached",{'Au Bon Pain sandwich fast food'},{'Au Bon Pain sandwich fast food'},True
"you can go to Stouffer College House dormitory, but you must go to Warwick dormitory building, as soon as you go to Stouffer College House dormitory","{'Stouffer College House dormitory', 'Warwick dormitory building'}","{'Stouffer College House dormitory', 'Warwick dormitory building'}",True
"you must visit Memorial Tower dormitory on Spruce Street, exactly once while avoiding McKean dormitory building, then you can navigate to McKean dormitory building","{'Memorial Tower dormitory on Spruce Street', 'McKean dormitory building'}","{'Memorial Tower dormitory on Spruce Street', 'McKean dormitory building'}",True
find Stouffer College House dormitory,{'Stouffer College House dormitory'},{'Stouffer College House dormitory'},True
"make your way to dormitory named Butcher, Perelman Center for Advanced Medicine building, and Warwick dormitory building, consecutively","{'dormitory named Butcher', 'Perelman Center for Advanced Medicine building', 'Warwick dormitory building'}","{'dormitory named Butcher', 'Perelman Center for Advanced Medicine building', 'Warwick dormitory building'}",True
"make sure you visit Stouffer Commons building on Spruce Street, two or more times",{'Stouffer Commons building on Spruce Street'},{'Stouffer Commons building on Spruce Street'},True
"visit Biology Pond, then visit Children's Hospital of Philadelphia Heliport, finally reach Morgan dormitory building","{'Morgan dormitory building', 'Biology Pond', ""Children's Hospital of Philadelphia Heliport""}","{'Morgan dormitory building', 'Biology Pond', ""Children's Hospital of Philadelphia Heliport""}",True
"Memorial Tower dormitory on Spruce Street, Butcher dormitory building, or Vance Hall, university building on Spruce Street, can never become true at any instant","{'Butcher dormitory building', 'Memorial Tower dormitory on Spruce Street', 'Vance Hall, university building on Spruce Street'}","{'Butcher dormitory building', 'Memorial Tower dormitory on Spruce Street', 'Vance Hall, university building on Spruce Street'}",True
"find Wawa convenience store, first then find Hopkinson dormitory building","{'Hopkinson dormitory building', 'Wawa convenience store'}","{'Hopkinson dormitory building', 'Wawa convenience store'}",True
"go to CHOP Parking Garage, and sometime afterward visit Rodney dormitory building","{'Rodney dormitory building', 'CHOP Parking Garage'}","{'Rodney dormitory building', 'CHOP Parking Garage'}",True
"you can not make any visit to Baldwin dormitory building, when Wawa convenience store, remains unseen","{'Baldwin dormitory building', 'Wawa convenience store'}","{'Baldwin dormitory building', 'Wawa convenience store'}",True
"do not visit 1920 Commons University building, any greater or fewer than two times",{'1920 Commons University building'},{'1920 Commons University building'},True
"do not visit Upper Quad park, less than one time",{'Upper Quad park'},{'Upper Quad park'},True
"go to Wawa convenience store, more or less than one time is prohibited",{'Wawa convenience store'},{'Wawa convenience store'},True
"do not visit Brooks dormitory building, any fewer than five separate times",{'Brooks dormitory building'},{'Brooks dormitory building'},True
"visit Leidy Laboratories building, Thomas Penn dormitory building, Baldwin dormitory, Warwick dormitory building, and Children's Seashore House of CHOP hospital","{'Thomas Penn dormitory building', 'Warwick dormitory building', ""Children's Seashore House of CHOP hospital"", 'Leidy Laboratories building', 'Baldwin dormitory'}","{'Leidy Laboratories building', 'Thomas Penn dormitory building', 'Warwick dormitory building', 'Baldwin dormitory', ""Children's Seashore House of CHOP hospital""}",True
"never visit Fitler dormitory building, again after you have visited it five times",{'Fitler dormitory building'},{'Fitler dormitory building'},True
"continue visiting Brooks dormitory building, and Clinical Research Building, an infinite number of times","{'Brooks dormitory building', 'Clinical Research Building'}","{'Brooks dormitory building', 'Clinical Research Building'}",True
"you must visit James G. Kaskey Memorial Park, once you go to Coxe dormitory building, and you must avoid James G. Kaskey Memorial Park, any other time","{'James G. Kaskey Memorial Park', 'Coxe dormitory building'}","{'James G. Kaskey Memorial Park', 'Coxe dormitory building'}",True
"you have to go to dormitory named Butcher, three or more than three times",{'dormitory named Butcher'},{'dormitory named Butcher'},True
"if you visit Warwick dormitory building, make your way right to Children's Seashore House of CHOP hospital, right after that","{'Warwick dormitory building', ""Children's Seashore House of CHOP hospital""}","{'Warwick dormitory building', ""Children's Seashore House of CHOP hospital""}",True
"avoid Children's Hospital of Philadelphia Heliport, at all costs until you reach Perelman Center for Advanced Medicine, first","{'Perelman Center for Advanced Medicine', ""Children's Hospital of Philadelphia Heliport""}","{'Perelman Center for Advanced Medicine', ""Children's Hospital of Philadelphia Heliport""}",True
"visiting Children's Seashore House of CHOP hospital, more than four times is prohibited","{""Children's Seashore House of CHOP hospital""}","{""Children's Seashore House of CHOP hospital""}",True
"you must go to University Vance Hall on Spruce Street, exactly five times",{'University Vance Hall on Spruce Street'},{'University Vance Hall on Spruce Street'},True
"go to McKean dormitory building, more or less than four times is prohibited",{'McKean dormitory building'},{'McKean dormitory building'},True
"you have to go to New York Alumni dormitory building, five or more than five times",{'New York Alumni dormitory building'},{'New York Alumni dormitory building'},True
"do not visit James G. Kaskey Memorial Park, again after you haven been to James G. Kaskey Memorial Park, four times",{'James G. Kaskey Memorial Park'},{'James G. Kaskey Memorial Park'},True
"the maximum allowable separate visits to Brooks dormitory building, are three",{'Brooks dormitory building'},{'Brooks dormitory building'},True
