,nl_command,ltl,map_name,result,eq
3430,find Tinma Travel & Tours,F tinma_travel_&_tours,New York #1,F tinma_travel_&_tours,True
3431,find 186f Kepler,F 186f_kepler,New York #1,"error:['F', 'lm(', '186f', 'Kepler', 'Kepler']",False
3432,visit Royal Seafood Restaurant,F royal_seafood_restaurant,New York #1,F royal_seafood_restaurant,True
3433,visit Shanghai Dumpling,F shanghai_dumpling,New York #1,F joy_luck_palace,False
3434,move to Bayard L. C. Pharmacy,F bayard_l._c._pharmacy,New York #1,"error:['F', 'lm(', 'Bayard', 'L.', 'C.']",False
3435,move to Ten Ren,F ten_ren,New York #1,"error:['F', 'lm(', 'lm(', 'Ten', 'Ren']",False
3436,stop by Hoy Wong Restaurant,F hoy_wong_restaurant,New York #1,F hoy_wong_restaurant,True
3437,stop by 186f Kepler,F 186f_kepler,New York #1,"error:['F', 'lm(', '186f', '186f', 'Kepler']",False
3438,go to oo35mm,F oo35mm,New York #1,F bayard_l._c._pharmacy,False
3439,go to Chinatown,F chinatown,New York #1,F chinatown,True
3440,pick one from Manhattan Bridge Arch and oo35mm go there and then head to the other one,& F manhattan_bridge_arch F oo35mm,New York #1,M & bayard_l._c._pharmacy,False
3441,pick one from NYPD 5 PCT and Farreros Bakery go there and then head to the other one,& F nypd_5_pct F farreros_bakery,New York #1,"error:['M', '&', 'lm(', 'pick', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', '|', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm']",False
3442,go to Mott Street Optical and go to TD Bank,& F mott_street_optical F td_bank,New York #1,& F eastern_states_buddhist_temple )lm F F joy_luck_palace lm( td_bank,False
3443,"go to Manhattan Bridge Arch and go to New ML Oro Jewelry, Inc.","& F manhattan_bridge_arch F new_ml_oro_jewelry,_inc.",New York #1,"error:['&', 'F', 'lm(', 'New', 'ML', ')lm', ')lm', 'F', 'lm(', 'New', 'ML', 'Oro', ')lm']",False
3444,eventually reach Mott Street Optical and New Green Bo,& F mott_street_optical F new_green_bo,New York #1,"error:['&', 'F', 'lm(', 'Mott', 'and', 'Optical', ')lm', 'lm(', 'F', 'lm(', 'New', 'Green', ')lm']",False
3445,eventually reach New World Hotel and Farreros Bakery,& F new_world_hotel F farreros_bakery,New York #1,"error:['&', 'F', 'lm(', 'New', 'World', 'Hotel', ')lm', 'lm(', 'lm(', 'New', 'World', ')lm']",False
