Pattern Type,NProps,Utterance,True LTL,Out LTL,Accuracy
visit,1,"Instead of heading in the direction of the library, go straight to Halton Theater.",F halton_theatre,G ! library,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",False
visit,1,Navigate to the theater while avoiding the auditorium.,F halton_theatre,& U ! cpcc_pease_auditorium halton_theatre F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",False
visit,1,Head in a straight line and stop at Halton Theatre,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Head straight over to Halton Theatre.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Go to the Dale F. Halton Theater.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Go straight to Halton Theatre,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Take the most direct route to Dale F. Halton Theater.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Navigate straight to Halton Theater.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Go straight to Halton Theatre.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
visit,1,Go west to the Halton Theatre.,F halton_theatre,F halton_theatre,"[{'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b', 'CPCC Pease Auditorium': 'c'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'Halton Theatre': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Health Careers': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'CPCC Pease Auditorium': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}, {'CPCC Library': 'a'}, {'CPCC Library': 'a', 'Halton Theatre': 'b'}]",True
