Type,Number of props,Utterance,Ground truth,Response,Success
visit,1,find UTLA Beauty,"('UTLA Beauty',)",UTLA Beauty,True
visit,2,"pick one from Mongol BBQ, and Peet's Coffee & Tea, go there and then head to the other one","('Mongol BBQ', ""Peet's Coffee & Tea"")",Mongol BBQ | Peet's Coffee & Tea,True
visit,3,"Victoria's Secret, Noah's Bagels, and Plaza la Reina, must be visited","(""Victoria's Secret"", ""Noah's Bagels"", 'Plaza la Reina')",Victoria's Secret | Noah's Bagels | Plaza la Reina,True
visit,4,"move to Janss Dome, Plaza la Reina, Gayley & Lindbrook Apartments, and TCT Foods, in any order","('Janss Dome', 'Plaza la Reina', 'Gayley & Lindbrook Apartments', 'TCT Foods')",Janss Dome | Plaza la Reina | Gayley & Lindbrook Apartments | TCT Foods,True
visit,5,"make sure Parking 36, 800 Degrees, Novel Cafe Westwood, Westwood Sporting Goods, and Westwood's Village Square, are all visited","('Parking 36', '800 Degrees', 'Novel Cafe Westwood', 'Westwood Sporting Goods', ""Westwood's Village Square"")",Parking 36 | 800 Degrees | Novel Cafe Westwood | Westwood Sporting Goods | Westwood's Village Square,True
sequenced_visit,2,"go to The Gayley Building, and move on to Starbucks, once you have been to The Gayley Building","('The Gayley Building', 'Starbucks')",The Gayley Building | Starbucks,True
sequenced_visit,3,"go to Stone Canyon Creek (underground), then go to Denny's, then go to Native Foods","('Stone Canyon Creek (underground)', ""Denny's"", 'Native Foods')",Stone Canyon Creek (underground) | Denny's | Native Foods,True
sequenced_visit,4,"travel from Subway, to Janss Dome, to Mongol BBQ, to UCLA Extension - Westwood Village Center","('Subway', 'Janss Dome', 'Mongol BBQ', 'UCLA Extension - Westwood Village Center')",Subway | Janss Dome | Mongol BBQ | UCLA Extension - Westwood Village Center,True
sequenced_visit,5,"go to Westwood Wilshire, then go to Peet's Coffee & Tea, then go to Victoria's Secret, then go to Poke Bar, finally go to Mio Babbo's","('Westwood Wilshire', ""Peet's Coffee & Tea"", ""Victoria's Secret"", 'Poke Bar', ""Mio Babbo's"")",Westwood Wilshire | Peet's Coffee & Tea | Victoria's Secret | Poke Bar | Mio Babbo's,True
ordered_visit,3,"first go to Noah's Bagels, then go to Native Foods, only after Noah's Bagels, finally go to Westwood Wilshire, only after Native Foods","(""Noah's Bagels"", 'Native Foods', 'Westwood Wilshire')",Noah's Bagels | Native Foods | Westwood Wilshire,True
strictly_ordered_visit,2,"you must visit Peet's Coffee & Tea, exactly once while avoiding Victoria's Secret, then you can navigate to Victoria's Secret","(""Peet's Coffee & Tea"", ""Victoria's Secret"")",Peet's Coffee & Tea | Victoria's Secret,True
strictly_ordered_visit,3,"visit Victoria's Secret, only once without visiting U-Mini, then visit U-Mini, one time without visiting Poke Bar, finally visit Poke Bar, in the future","(""Victoria's Secret"", 'U-Mini', 'Poke Bar')",Victoria's Secret | U-Mini | Poke Bar,True
strictly_ordered_visit,4,"visit Westwood Sporting Goods, one time but not through Parking 36, bibigo, or Gayley Center, and then visit Parking 36, once but not through Westwood Sporting Goods, bibigo, or Gayley Center, and then visit bibigo, once but not through Westwood Sporting Goods, Parking 36, or Gayley Center, and then visit Gayley Center, once but not through Westwood Sporting Goods, Parking 36, or bibigo","('Westwood Sporting Goods', 'Parking 36', 'bibigo', 'Gayley Center')",Westwood Sporting Goods | Parking 36 | bibigo | Gayley Center,True
strictly_ordered_visit,5,"visit London Cleaners, followed by visiting Westwood Wilshire, then visit Mongol BBQ, Janss Dome, and Parking 36, in this exact order visit all locations once","('London Cleaners', 'Westwood Wilshire', 'Mongol BBQ', 'Janss Dome', 'Parking 36')",London Cleaners | Westwood Wilshire | Mongol BBQ | Janss Dome | Parking 36,True
ordered_visit,2,"go to Peet's Coffee & Tea, after going to Urban Outfitters, do not go to Peet's Coffee & Tea, before","('Urban Outfitters', ""Peet's Coffee & Tea"")",Peet's Coffee & Tea | Urban Outfitters,True
patrolling,1,"patrol Kinross Building South, repeatedly","('Kinross Building South',)",Kinross Building South,True
ordered_visit,4,"first go to UCLA Extension - Lindbrook Center, while avoiding Westwood Wilshire, then go to Westwood Wilshire, while staying away from Parking 36, then go to Parking 36, while staying away from Westwood Sporting Goods, then visit Westwood Sporting Goods","('UCLA Extension - Lindbrook Center', 'Westwood Wilshire', 'Parking 36', 'Westwood Sporting Goods')",UCLA Extension - Lindbrook Center | Westwood Wilshire | Parking 36 | Westwood Sporting Goods,True
ordered_visit,5,"ensure that you visit Plaza la Reina, but only after Stone Canyon Creek (underground), in turn only visit Stone Canyon Creek (underground), after Urban Outfitters, only visit Urban Outfitters, after Parking 36, and only visit Parking 36, after Westwood Sporting Goods","('Westwood Sporting Goods', 'Parking 36', 'Urban Outfitters', 'Stone Canyon Creek (underground)', 'Plaza la Reina')",Plaza la Reina | Stone Canyon Creek (underground) | Urban Outfitters | Parking 36 | Westwood Sporting Goods,True
patrolling,3,"keep visiting Plaza la Reina, Parking 36, and 800 Degrees, an infinite number of times","('Plaza la Reina', 'Parking 36', '800 Degrees')",Plaza la Reina | Parking 36 | 800 Degrees,True
patrolling,4,"do not go to U-Mini, Mio Babbo's, Parking 32, and Gayley Center, Mio Babbo's, finite number of times","(""Mio Babbo's"", 'Gayley Center', 'U-Mini', 'Parking 32')",U-Mini | Mio Babbo's | Parking 32 | Gayley Center,True
patrolling,5,"visit UCLA Extension - Lindbrook Center, Peet's Coffee & Tea, Subway, Urban Outfitters, and 800 Degrees, with no limits","('UCLA Extension - Lindbrook Center', ""Peet's Coffee & Tea"", '800 Degrees', 'Urban Outfitters', 'Subway')",UCLA Extension - Lindbrook Center | Peet's Coffee & Tea | Subway | Urban Outfitters | 800 Degrees,True
patrolling,2,"frequent bibigo, and UTLA Beauty, infinitely in any order","('bibigo', 'UTLA Beauty')",bibigo | UTLA Beauty,True
global_avoidance,1,"you can not go to The Gayley Building, at any time","('The Gayley Building',)",The Gayley Building,True
