,nl_command,ltl,map_name,result,eq
5424,visit PNC Bank Drive-Thru Hero House Comics PNC Bank Mama Irma and Pure,& F pnc_bank_drive-thru & F hero_house_comics & F pnc_bank & F mama_irma F pure,Indianapolis,"error:['&', 'F', 'lm(', 'PNC', 'Drive-Thru', ')lm', '&', 'F', 'lm(', 'lm(', 'Bank', 'PNC', 'Bank', 'F', 'F', 'F', 'lm(']",False
5425,visit El Arado Fountain Square Branch Indianapolis-Marion County Public Library Hero House Comics Smokehouse On Shelby and PNC Bank Drive-Thru,& F el_arado & F fountain_square_branch_indianapolis-marion_county_public_library & F hero_house_comics & F smokehouse_on_shelby F pnc_bank_drive-thru,Indianapolis,"error:['&', 'F', 'lm(', 'lm(', 'Arado', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'Comics', 'Comics', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(']",False
5426,sometime visit Fountain Square Branch Indianapolis-Marion County Public Library El Arado PNC Bank Smokehouse On Shelby and PNC Bank Drive-Thru,& F fountain_square_branch_indianapolis-marion_county_public_library & F pnc_bank & F el_arado & F pnc_bank_drive-thru F smokehouse_on_shelby,Indianapolis,"error:['&', 'F', 'lm(', 'Fountain', 'Square', ')lm', '&', 'F', 'lm(', 'Public', 'Library', ')lm', '&', 'F', 'lm(', 'lm(', 'Bank', 'PNC', 'Bank', 'F', 'F', 'F', 'lm(', 'Bank', 'PNC', 'Drive-Thru', ')lm']",False
5427,sometime visit PNC Bank Drive-Thru Pure Hero House Comics Mama Irma and Smokehouse On Shelby,& F pnc_bank_drive-thru & F hero_house_comics & F pure & F smokehouse_on_shelby F mama_irma,Indianapolis,"error:['&', 'F', 'lm(', 'PNC', 'Drive-Thru', 'Drive-Thru', ')lm', '&', 'F', 'lm(', 'House', 'Comics', ')lm', ')lm', 'F', 'lm(', 'Smokehouse', 'On', ')lm']",False
5428,eventually go visit PNC Bank Drive-Thru Fountain Square PNC Bank Pure and La Margarita Fountain Square,& F pnc_bank_drive-thru & F fountain_square & F la_margarita_fountain_square & F pure F pnc_bank,Indianapolis,"error:['&', 'F', 'lm(', 'PNC', 'PNC', 'Drive-Thru', ')lm', ')lm', 'F', 'lm(', 'lm(', 'St', ')lm', 'Bank', ')lm', ')lm']",False
5429,eventually go visit Pure PNC Bank Hero House Comics El Arado and PNC Bank Drive-Thru,& F pure & F pnc_bank & F pnc_bank_drive-thru & F el_arado F hero_house_comics,Indianapolis,"error:['&', 'F', 'lm(', 'Pure', 'Pure', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Bank', 'PNC', 'Bank', ')lm', ')lm']",False
5430,go to Hero House Comics Pure Mama Irma Smokehouse On Shelby and PNC Bank Drive-Thru,& F hero_house_comics & F pure & F mama_irma & F smokehouse_on_shelby F pnc_bank_drive-thru,Indianapolis,"error:['&', 'F', 'lm(', 'Hero', 'House', ')lm', '&', 'F', 'lm(', 'lm(', 'Smokehouse', 'Smokehouse', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Bank']",False
5431,go to La Margarita Fountain Square Pure Fountain Square PNC Bank Drive-Thru and Smokehouse On Shelby,& F la_margarita_fountain_square & F pure & F fountain_square & F pnc_bank_drive-thru F smokehouse_on_shelby,Indianapolis,"error:['&', 'F', 'lm(', 'La', 'Margarita', ')lm', '&', 'F', 'lm(', 'lm(', 'Fountain', 'Square', ')lm', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
5432,go to PNC Bank go to La Margarita Fountain Square go to Smokehouse On Shelby go to El Arado go to Fountain Square,& F pnc_bank & F la_margarita_fountain_square & F smokehouse_on_shelby & F el_arado F fountain_square,Indianapolis,& F hero_house_comics & F smokehouse_on_shelby & F el_arado,False
5433,go to Mama Irma go to Fountain Square Branch Indianapolis-Marion County Public Library go to Pure go to Hero House Comics go to Fountain Square,& F mama_irma & F fountain_square_branch_indianapolis-marion_county_public_library & F pure & F hero_house_comics F fountain_square,Indianapolis,& F mama_irma F & fountain_square & F pure F fountain_square,False
5434,visit Fountain Square Branch Indianapolis-Marion County Public Library PNC Bank Pure La Margarita Fountain Square PNC Bank Drive-Thru in any order required,& F fountain_square_branch_indianapolis-marion_county_public_library & F pnc_bank & F pure & F la_margarita_fountain_square F pnc_bank_drive-thru,Indianapolis,"error:['&', 'F', 'lm(', 'Fountain', 'Square', ')lm', '&', 'F', 'lm(', 'Public', 'Library', ')lm', '&', 'F', '&', 'lm(', 'Bank', 'Bank', 'Square', ')lm', 'F', 'F', 'lm(', 'lm(', 'Bank', 'PNC', ')lm']",False
5435,visit Fountain Square PNC Bank Drive-Thru El Arado Hero House Comics Smokehouse On Shelby in any order required,& F fountain_square & F pnc_bank_drive-thru & F el_arado & F hero_house_comics F smokehouse_on_shelby,Indianapolis,"error:['&', 'F', 'lm(', 'Fountain', 'Square', ')lm', '&', 'F', 'lm(', 'Arado', 'Hero', 'Hero', ')lm', ')lm', 'F', 'lm(', 'On', 'Shelby', ')lm']",False
5436,visit all locations Hero House Comics La Margarita Fountain Square Fountain Square El Arado Mama Irma,& F hero_house_comics & F la_margarita_fountain_square & F fountain_square & F el_arado F mama_irma,Indianapolis,& F hero_house_comics & F fountain_square & F hero_house_comics,False
5437,visit all locations Fountain Square Branch Indianapolis-Marion County Public Library PNC Bank El Arado Mama Irma Hero House Comics,& F fountain_square_branch_indianapolis-marion_county_public_library & F pnc_bank & F el_arado & F mama_irma F hero_house_comics,Indianapolis,"error:['&', 'F', 'lm(', 'Fountain', 'Fountain', ')lm', '&', 'F', 'lm(', 'Public', 'Library', ')lm', '&', 'F', 'lm(', 'Mama', 'Mama', ')lm', 'F', 'F', 'lm(', 'lm(', 'House', 'Comics', ')lm']",False
5438,reach the following five locations Hero House Comics La Margarita Fountain Square Mama Irma Fountain Square PNC Bank Drive-Thru,& F hero_house_comics & F la_margarita_fountain_square & F mama_irma & F fountain_square F pnc_bank_drive-thru,Indianapolis,"error:['&', 'F', 'lm(', 'Hero', 'House', ')lm', '&', 'F', 'lm(', 'lm(', 'St', ')lm', 'Square', 'F', 'F', 'lm(', 'lm(', 'Bank', 'PNC', 'Bank', ')lm']",False
