Utterance,Ground truth,Output,Correct
"you are not allowed to cease exploring El Mariache Restaurant, Chicago Transit Authority at Halsted & Roscoe, Nookie's Restaurant, Yefseis Cafe on North Halsted Street, and 7-Eleven convenience store","{'7-Eleven convenience store', 'Chicago Transit Authority at Halsted & Roscoe', 'Yefseis Cafe on North Halsted Street', 'El Mariache Restaurant', ""Nookie's Restaurant""}","{'7-Eleven convenience store', 'Chicago Transit Authority at Halsted & Roscoe', ""Nookie's Restaurant"", 'Yefseis Cafe on North Halsted Street', 'El Mariache Restaurant'}",True
"you have to visit The Chicago Diner on North Halsted Street, at least once",{'The Chicago Diner on North Halsted Street'},{'The Chicago Diner on North Halsted Street'},True
"frequent American restaurant on North Halsted Street, and Chicago Transit Authority at Halsted & Roscoe, but the order can be arbitrary","{'Chicago Transit Authority at Halsted & Roscoe', 'American restaurant on North Halsted Street'}","{'Chicago Transit Authority at Halsted & Roscoe', 'American restaurant on North Halsted Street'}",True
"go to American bistro on North Halsted Street, after you have visited Wendt Playlot playground, and go to Nookie's Restaurant, after you have visited American bistro on North Halsted Street","{'American bistro on North Halsted Street', ""Nookie's Restaurant"", 'Wendt Playlot playground'}","{'American bistro on North Halsted Street', ""Nookie's Restaurant"", 'Wendt Playlot playground'}",True
"never go to Roscoe's Tavern & Cafe bar, more than twice","{""Roscoe's Tavern & Cafe bar""}","{""Roscoe's Tavern & Cafe bar""}",True
"Boystown quarter, should happen immediately in the next time step as soon as American bistro on North Halsted Street, is observed","{'American bistro on North Halsted Street', 'Boystown quarter'}","{'American bistro on North Halsted Street', 'Boystown quarter'}",True
"ensure that you do not reach Boystown quarter, before going to Beatnix gift shop","{'Beatnix gift shop', 'Boystown quarter'}","{'Beatnix gift shop', 'Boystown quarter'}",True
"you can go to 7-Eleven convenience store, but you must not go to Minibar, after that","{'7-Eleven convenience store', 'Minibar'}","{'7-Eleven convenience store', 'Minibar'}",True
"Chicago Transit Authority stop at Broadway & Roscoe SB, should never be reached",{'Chicago Transit Authority stop at Broadway & Roscoe SB'},{'Chicago Transit Authority stop at Broadway & Roscoe SB'},True
"visit El Mariache Restaurant, and visit only once then eventually visit Roscoe's Tavern & Cafe bar, do not visit Roscoe's Tavern & Cafe bar, before visiting El Mariache Restaurant","{""Roscoe's Tavern & Cafe bar"", 'El Mariache Restaurant'}","{""Roscoe's Tavern & Cafe bar"", 'El Mariache Restaurant'}",True
"if you visit The Chicago Diner on North Halsted Street, make your way right to Wendt Playlot playground, right after that","{'Wendt Playlot playground', 'The Chicago Diner on North Halsted Street'}","{'Wendt Playlot playground', 'The Chicago Diner on North Halsted Street'}",True
