Type,Number of props,Utterance,Ground truth,Response,Success
visit,1,find Wang Theater,"('Wang Theater',)",Wang Theater,True
visit,2,"pick one from Boston Kitchen Pizza, and Massachusetts State Transportation Building, go there and then head to the other one","('Boston Kitchen Pizza', 'Massachusetts State Transportation Building')",Boston Kitchen Pizza | Massachusetts State Transportation Building,True
visit,3,"Montien, Wang Theater, and Dumpling Cafe, must be visited","('Montien', 'Wang Theater', 'Dumpling Cafe')",Montien | Wang Theater | Dumpling Cafe,True
visit,4,"move to Happy Lamb Hot Pot, Wilbur Theatre, 62 on the Park, and New Saigon Sandwich, in any order","('Happy Lamb Hot Pot', 'Wilbur Theatre', '62 on the Park', 'New Saigon Sandwich')",Happy Lamb Hot Pot | Wilbur Theatre | 62 on the Park | New Saigon Sandwich,True
visit,5,"make sure my thai vegan cafe, Cutler Majestic Theater, Washington St @ Kneeland St, Empire Garden Restaurant, and The Kensington, are all visited","('my thai vegan cafe', 'Cutler Majestic Theater', 'Washington St @ Kneeland St', 'Empire Garden Restaurant', 'The Kensington')",my thai vegan cafe | Cutler Majestic Theater | Washington St @ Kneeland St | Empire Garden Restaurant | The Kensington,True
sequenced_visit,2,"go to New Saigon Sandwich, and move on to HI Boston, once you have been to New Saigon Sandwich","('New Saigon Sandwich', 'HI Boston')",New Saigon Sandwich | HI Boston,True
sequenced_visit,3,"go to Chinatown, then go to New Saigon Sandwich, then go to Tufts Dental School","('Chinatown', 'New Saigon Sandwich', 'Tufts Dental School')",Chinatown | New Saigon Sandwich | Tufts Dental School,True
sequenced_visit,4,"travel from Seybolt Park, to Citi Performing Arts Center, to Tremont and Stuart Streets, to Washington St @ Kneeland St","('Seybolt Park', 'Citi Performing Arts Center', 'Tremont and Stuart Streets', 'Washington St @ Kneeland St')",Seybolt Park | Citi Performing Arts Center | Tremont and Stuart Streets | Washington St @ Kneeland St,True
sequenced_visit,5,"go to Washington St @ Tufts Med Ctr, then go to Stuart St @ Tremont St, then go to Jiaho supermarket, then go to Tufts University Hirsh Health Sciences Library, finally go to Emerson College - Little Building","('Washington St @ Tufts Med Ctr', 'Stuart St @ Tremont St', 'Jiaho supermarket', 'Tufts University Hirsh Health Sciences Library', 'Emerson College - Little Building')",Washington St @ Tufts Med Ctr | Stuart St @ Tremont St | Jiaho supermarket | Tufts University Hirsh Health Sciences Library | Emerson College - Little Building,True
ordered_visit,3,"first go to Cutler Majestic Theater – Emerson College, then go to Washington St @ Tufts Med Ctr, only after Cutler Majestic Theater – Emerson College, finally go to Tremont and Stuart Streets, only after Washington St @ Tufts Med Ctr","('Cutler Majestic Theater –\xa0Emerson College', 'Washington St @ Tufts Med Ctr', 'Tremont and Stuart Streets')",Cutler Majestic Theater – Emerson College | Washington St @ Tufts Med Ctr | Tremont and Stuart Streets,True
strictly_ordered_visit,2,"you must visit Kneeland St @ Washington St, exactly once while avoiding Pho Pasteur, then you can navigate to Pho Pasteur","('Kneeland St @ Washington St', 'Pho Pasteur')",Kneeland St @ Washington St | Pho Pasteur,True
strictly_ordered_visit,3,"visit Montien, only once without visiting Genki Ya, then visit Genki Ya, one time without visiting The Kensington, finally visit The Kensington, in the future","('Montien', 'Genki Ya', 'The Kensington')",Montien | Genki Ya | The Kensington,True
strictly_ordered_visit,4,"visit Washington St @ Tufts Med Ctr, one time but not through Wirth Building, Emerson College, or 62 on the Park, and then visit Wirth Building, once but not through Washington St @ Tufts Med Ctr, Emerson College, or 62 on the Park, and then visit Emerson College, once but not through Washington St @ Tufts Med Ctr, Wirth Building, or 62 on the Park, and then visit 62 on the Park, once but not through Washington St @ Tufts Med Ctr, Wirth Building, or Emerson College","('Washington St @ Tufts Med Ctr', 'Wirth Building', 'Emerson College', '62 on the Park')",Washington St @ Tufts Med Ctr | Wirth Building | Emerson College | 62 on the Park,True
strictly_ordered_visit,5,"visit Jiaho supermarket, followed by visiting Washington St @ Tufts Med Ctr, then visit Dunkin' Donuts, Genki Ya, and Tufts Dental School, in this exact order visit all locations once","('Jiaho supermarket', 'Washington St @ Tufts Med Ctr', ""Dunkin' Donuts"", 'Genki Ya', 'Tufts Dental School')",Jiaho supermarket | Washington St @ Tufts Med Ctr | Dunkin' Donuts | Genki Ya | Tufts Dental School,True
ordered_visit,2,"go to Happy Lamb Hot Pot, after going to Dunkin' Donuts, do not go to Happy Lamb Hot Pot, before","(""Dunkin' Donuts"", 'Happy Lamb Hot Pot')",Happy Lamb Hot Pot | Dunkin' Donuts,True
patrolling,1,"patrol Emerson College, repeatedly","('Emerson College',)",Emerson College,True
ordered_visit,4,"first go to Jiaho supermarket, while avoiding my thai vegan cafe, then go to my thai vegan cafe, while staying away from Emerson College - Little Building, then go to Emerson College - Little Building, while staying away from Dunkin' Donuts, then visit Dunkin' Donuts","('Jiaho supermarket', 'my thai vegan cafe', 'Emerson College - Little Building', ""Dunkin' Donuts"")",Jiaho supermarket | my thai vegan cafe | Emerson College - Little Building | Dunkin' Donuts,True
ordered_visit,5,"ensure that you visit Empire Garden Restaurant, but only after AVA Theater District, in turn only visit AVA Theater District, after Emerson College – Union Bank Building, only visit Emerson College – Union Bank Building, after Washington St @ Tufts Med Ctr, and only visit Washington St @ Tufts Med Ctr, after Wang Theater","('Wang Theater', 'Washington St @ Tufts Med Ctr', 'Emerson College – Union Bank Building', 'AVA Theater District', 'Empire Garden Restaurant')",Empire Garden Restaurant | AVA Theater District | Emerson College – Union Bank Building | Washington St @ Tufts Med Ctr | Wang Theater,True
patrolling,3,"keep visiting Seybolt Park, Emerson College - Little Building, and Tremont and Stuart Streets, an infinite number of times","('Seybolt Park', 'Emerson College - Little Building', 'Tremont and Stuart Streets')",Seybolt Park | Emerson College - Little Building | Tremont and Stuart Streets,True
patrolling,4,"do not go to Chinatown, Emerson College - Little Building, Washington St @ Kneeland St, and Genki Ya, Emerson College - Little Building, finite number of times","('Emerson College - Little Building', 'Genki Ya', 'Chinatown', 'Washington St @ Kneeland St')",Chinatown | Emerson College - Little Building | Washington St @ Kneeland St | Genki Ya,True
patrolling,5,"visit Wilbur Theatre, New Saigon Sandwich, Dumpling Cafe, Montien, and Joy Luck Hot Pot, with no limits","('Wilbur Theatre', 'New Saigon Sandwich', 'Joy Luck Hot Pot', 'Montien', 'Dumpling Cafe')",Wilbur Theatre | New Saigon Sandwich | Dumpling Cafe | Montien | Joy Luck Hot Pot,True
patrolling,2,"frequent Emerson College - Little Building, and Washington St @ Kneeland St, infinitely in any order","('Emerson College - Little Building', 'Washington St @ Kneeland St')",Emerson College - Little Building | Washington St @ Kneeland St,True
global_avoidance,1,"you can not go to Tufts University Hirsh Health Sciences Library, at any time","('Tufts University Hirsh Health Sciences Library',)",Tufts University Hirsh Health Sciences Library,True
global_avoidance,2,"always keep away from Chinatown, and Stuart St @ Tremont St","('Chinatown', 'Stuart St @ Tremont St')",Chinatown | Stuart St @ Tremont St,True
global_avoidance,3,"Tufts Dental School, Chinatown, and Emerson College, should never be visited","('Tufts Dental School', 'Chinatown', 'Emerson College')",Tufts Dental School | Chinatown | Emerson College,True
