Utterance,Ground truth,Output,Correct
"you have to go to Colorado Center Tower Two office building on South Colorado Boulevard, two or more than two times",{'Colorado Center Tower Two office building on South Colorado Boulevard'},{'Colorado Center Tower Two office building on South Colorado Boulevard'},True
"never visit Asian restaurant Pei Wei on Buchtel Boulevard, again after you have visited it once",{'Asian restaurant Pei Wei on Buchtel Boulevard'},{'Asian restaurant Pei Wei on Buchtel Boulevard'},True
you need at least four distinct visits to Clothing store at Sheepskin Factory on South Colorado Boulevard,{'Clothing store at Sheepskin Factory on South Colorado Boulevard'},{'Clothing store at Sheepskin Factory on South Colorado Boulevard'},True
"make sure South Colorado Boulevard and Evans Avenue intersection, Public Storage on East Evans Avenue, and Loan Stop bank on South Colorado Boulevard, are all visited","{'South Colorado Boulevard and Evans Avenue intersection', 'Public Storage on East Evans Avenue', 'Loan Stop bank on South Colorado Boulevard'}","{'South Colorado Boulevard and Evans Avenue intersection', 'Public Storage on East Evans Avenue', 'Loan Stop bank on South Colorado Boulevard'}",True
"make you go to South Colorado Boulevard and Evans Avenue intersection, at least once",{'South Colorado Boulevard and Evans Avenue intersection'},{'South Colorado Boulevard and Evans Avenue intersection'},True
"you must stay on Colorado Center, until you visit A&W fast food burger joint on South Colorado Boulevard, also known as Kentucky Fried Chicken","{'Colorado Center', 'A&W fast food burger joint on South Colorado Boulevard, also known as Kentucky Fried Chicken'}","{'A&W fast food burger joint on South Colorado Boulevard', 'Colorado Center', 'Kentucky Fried Chicken'}",False
"ensure that none among South Colorado Boulevard and Evans Avenue intersection, Wells Fargo bank on South Colorado Boulevard, Colorado Center Tower Two office building on South Colorado Boulevard, A&W fast food burger joint on South Colorado Boulevard, also known as Kentucky Fried Chicken, and Public Storage on East Evans Avenue, are ever visited","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'South Colorado Boulevard and Evans Avenue intersection', 'Wells Fargo bank on South Colorado Boulevard', 'A&W fast food burger joint on South Colorado Boulevard, also known as Kentucky Fried Chicken', 'Public Storage on East Evans Avenue'}","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'Wells Fargo bank on South Colorado Boulevard', 'A&W fast food burger joint on South Colorado Boulevard, also known as Kentucky Fried Chicken', 'South Colorado Boulevard and Evans Avenue intersection', 'Public Storage on East Evans Avenue'}",True
"first go to Office Depot stationery store, while avoiding S Colorado Blvd & Buchtel Blvd, then go to S Colorado Blvd & Buchtel Blvd, while staying away from KFC fast food chicken restaurant on South Colorado Boulevard, then go to KFC fast food chicken restaurant on South Colorado Boulevard, while staying away from Loan Stop bank on South Colorado Boulevard, then visit Loan Stop bank on South Colorado Boulevard","{'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'KFC fast food chicken restaurant on South Colorado Boulevard', 'S Colorado Blvd & Buchtel Blvd'}","{'S Colorado Blvd & Buchtel Blvd', 'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'KFC fast food chicken restaurant on South Colorado Boulevard'}",True
"you have to avoid Brakes Plus car repair on East Evans Avenue, A&W fast food burger and Kentucky Fried Chicken on South Colorado Boulevard, Office Depot stationery store, Loan Stop bank on South Colorado Boulevard, and Westcraft Carpets store on South Colorado Boulevard, at all costs","{'Brakes Plus car repair on East Evans Avenue', 'Westcraft Carpets store on South Colorado Boulevard', 'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'A&W fast food burger and Kentucky Fried Chicken on South Colorado Boulevard'}","{'Office Depot stationery store', 'Brakes Plus car repair on East Evans Avenue', 'Westcraft Carpets store on South Colorado Boulevard', 'Loan Stop bank on South Colorado Boulevard', 'A&W fast food burger and Kentucky Fried Chicken on South Colorado Boulevard'}",True
"do not visit Native Foods Cafe on South Colorado Boulevard, any more than five times",{'Native Foods Cafe on South Colorado Boulevard'},{'Native Foods Cafe on South Colorado Boulevard'},True
"make sure you are always visiting Office Depot stationery store, Loan Stop bank on South Colorado Boulevard, and Westcraft Carpets store on South Colorado Boulevard","{'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'Westcraft Carpets store on South Colorado Boulevard'}","{'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'Westcraft Carpets store on South Colorado Boulevard'}",True
"never visit Native Foods Cafe on South Colorado Boulevard, again after you have visited it five times",{'Native Foods Cafe on South Colorado Boulevard'},{'Native Foods Cafe on South Colorado Boulevard'},True
"you must go to J & K Shopping Center operated by J & K Shopping Services, exactly twice",{'J & K Shopping Center operated by J & K Shopping Services'},{'J & K Shopping Center operated by J & K Shopping Services'},True
"do not go to Asian restaurant Pei Wei on Buchtel Boulevard, until you see Safelite AutoGlass car repair on East Evans Avenue","{'Asian restaurant Pei Wei on Buchtel Boulevard', 'Safelite AutoGlass car repair on East Evans Avenue'}","{'Asian restaurant Pei Wei on Buchtel Boulevard', 'Safelite AutoGlass car repair on East Evans Avenue'}",True
"you must go to Asian restaurant Pei Wei on Buchtel Boulevard, exactly once",{'Asian restaurant Pei Wei on Buchtel Boulevard'},{'Asian restaurant Pei Wei on Buchtel Boulevard'},True
"eventually first visit Westcraft Carpets store on South Colorado Boulevard, and then Wells Fargo bank on South Colorado Boulevard, after","{'Wells Fargo bank on South Colorado Boulevard', 'Westcraft Carpets store on South Colorado Boulevard'}","{'Wells Fargo bank on South Colorado Boulevard', 'Westcraft Carpets store on South Colorado Boulevard'}",True
"for all times in the future once KFC fast food chicken on South Colorado Boulevard, occurs you must visit Loan Stop bank on South Colorado Boulevard, in the future at least one time","{'KFC fast food chicken on South Colorado Boulevard', 'Loan Stop bank on South Colorado Boulevard'}","{'KFC fast food chicken on South Colorado Boulevard', 'Loan Stop bank on South Colorado Boulevard'}",True
"avoid Wells Fargo bank on South Colorado Boulevard, until you reach Office Depot stationery store","{'Wells Fargo bank on South Colorado Boulevard', 'Office Depot stationery store'}","{'Wells Fargo bank on South Colorado Boulevard', 'Office Depot stationery store'}",True
"visit Colorado Center Tower Two office building on South Colorado Boulevard, J & K Shopping Center operated by J & K Shopping Services, South Colorado Boulevard & Evans Avenue intersection, Native Foods Cafe on South Colorado Boulevard, in that specific order","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'Native Foods Cafe on South Colorado Boulevard', 'J & K Shopping Center operated by J & K Shopping Services', 'South Colorado Boulevard & Evans Avenue intersection'}","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'Native Foods Cafe on South Colorado Boulevard', 'J & K Shopping Center operated by J & K Shopping Services', 'South Colorado Boulevard & Evans Avenue intersection'}",True
"once you visit Safelite AutoGlass car repair on East Evans Avenue, you have to visit Loan Stop bank on South Colorado Boulevard, too","{'Safelite AutoGlass car repair on East Evans Avenue', 'Loan Stop bank on South Colorado Boulevard'}","{'Safelite AutoGlass car repair on East Evans Avenue', 'Loan Stop bank on South Colorado Boulevard'}",True
"visit S Colorado Blvd & Buchtel Blvd intersection, exactly five times no more no less",{'S Colorado Blvd & Buchtel Blvd intersection'},{'S Colorado Blvd & Buchtel Blvd intersection'},True
"make sure you go to Which Wich? sandwich fast food on Buchtel Boulevard, at least four separate times",{'Which Wich? sandwich fast food on Buchtel Boulevard'},{'Which Wich? sandwich fast food on Buchtel Boulevard'},True
"visit Clothing store named The Sheepskin Factory on South Colorado Boulevard, exactly three times no more no less",{'Clothing store named The Sheepskin Factory on South Colorado Boulevard'},{'Clothing store named The Sheepskin Factory on South Colorado Boulevard'},True
"visit S Colorado Blvd & Buchtel Blvd, first while avoiding Clothing store named The Sheepskin Factory on South Colorado Boulevard, and then move to Clothing store named The Sheepskin Factory on South Colorado Boulevard, while avoiding Colorado Center Tower Two office building on South Colorado Boulevard, then visit Colorado Center Tower Two office building on South Colorado Boulevard","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'Clothing store named The Sheepskin Factory on South Colorado Boulevard', 'S Colorado Blvd & Buchtel Blvd'}","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'Clothing store named The Sheepskin Factory on South Colorado Boulevard', 'S Colorado Blvd & Buchtel Blvd'}",True
"you have to avoid Public Storage on East Evans Avenue, Native Foods Cafe on South Colorado Boulevard, J & K Shopping Center operated by J & K Shopping Services, and International restaurant on South Colorado Boulevard, at all costs","{'International restaurant on South Colorado Boulevard', 'Public Storage on East Evans Avenue', 'Native Foods Cafe on South Colorado Boulevard', 'J & K Shopping Center operated by J & K Shopping Services'}","{'International restaurant on South Colorado Boulevard', 'Public Storage on East Evans Avenue', 'Native Foods Cafe on South Colorado Boulevard', 'J & K Shopping Center operated by J & K Shopping Services'}",True
"visit Wells Fargo bank on South Colorado Boulevard, exactly four times no more no less",{'Wells Fargo bank on South Colorado Boulevard'},{'Wells Fargo bank on South Colorado Boulevard'},True
"do not visit Loan Stop bank on South Colorado Boulevard, until you visit Which Wich? sandwich fast food on Buchtel Boulevard, visit Which Wich? sandwich fast food on Buchtel Boulevard, only once do not visit Which Wich? sandwich fast food on Buchtel Boulevard, until you visit Office Depot stationery store, visit Office Depot stationery store, only once do no visit Office Depot stationery store, until you visit KFC fast food chicken restaurant on South Colorado Boulevard, visit KFC fast food chicken restaurant on South Colorado Boulevard, only once","{'Which Wich? sandwich fast food on Buchtel Boulevard', 'KFC fast food chicken restaurant on South Colorado Boulevard', 'Loan Stop bank on South Colorado Boulevard', 'Office Depot stationery store'}","{'Office Depot stationery store', 'Loan Stop bank on South Colorado Boulevard', 'KFC fast food chicken restaurant on South Colorado Boulevard', 'Which Wich? sandwich fast food on Buchtel Boulevard'}",True
"reach Native Foods Cafe on South Colorado Boulevard, exactly once",{'Native Foods Cafe on South Colorado Boulevard'},{'Native Foods Cafe on South Colorado Boulevard'},True
"make sure KFC fast food restaurant serving chicken on South Colorado Boulevard, Native Foods Cafe on South Colorado Boulevard, and Colorado Center Tower Two office building on South Colorado Boulevard, are all visited","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'KFC fast food restaurant serving chicken on South Colorado Boulevard', 'Native Foods Cafe on South Colorado Boulevard'}","{'Colorado Center Tower Two office building on South Colorado Boulevard', 'KFC fast food restaurant serving chicken on South Colorado Boulevard', 'Native Foods Cafe on South Colorado Boulevard'}",True
