Language Command,LTL Formula
go to the blue room keep going and stop when you reach the green room,F & B F C
go to the green room via the blue room,F & B F C
go through the blue room into the green room,F & B F C
go over towards the blue room and up through it to the green rectanglular room,F & B F C
go through the blue to get to the green,F & B F C
go through blue room to green room,F & B F C
follow the path through the blue room to get to the green room,F & B F C
go through the blue room to the green room,F & B F C
go through blue rooms to get to the green one,F & B F C
take the blue room first which leads to the green room,F & B F C
only go to the green room by first entering the blue room,F & B F C
go to the green room through the blue one,F & B F C
go through the blue room to the green room,F & B F C
go to the green area through blue area,F & B F C
go through blue to get to green,F & B F C
go through blue room to get to green room,F & B F C
go through blue to green room,F & B F C
please go to the green room through the blue room,F & B F C
travel through the blue square room to the large green rectangular room,F & B F C
go through the blue room to get to the green room,F & B F C
move through a blue room and into the green room,F & B F C
go through blue to reach green,F & B F C
go to the green room through blue,F & B F C
move through the blue room into the green room,F & B F C
go into the green room through the blue room,F & B F C
go through the blue room to the green room,F & B F C
go through the blue room to get to the green room,F & B F C
go into the blue room and then the green room,F & B F C
go to green rectangle via blue square,F & B F C
go to the green room through the blue room,F & B F C
go through the blue room to the green room,F & B F C
go to the blue room then to the green room,F & B F C
go to the green room via the blue room,F & B F C
travel through the blue room into the green room,F & B F C
go to large green room through blue room,F & B F C
go to the blue room only and then the green room only,F & B F C
navigate through blue to reach green,F & B F C
enter the green room through the blue room,F & B F C
make your way to the green room by going through the blue room,F & B F C
the robot moves through the blue room to get to the green room,F & B F C
enter the blue room and proceed until the green room,F & B F C
go through the blue room towards the green room,F & B F C
go through the blue room into the green room,F & B F C
go to the green room by passing through the blue room,F & B F C
enter the door to the blue room and exit the other door into the green room,F & B F C
travel through the blue room to the green room,F & B F C
enter green room via blue room,F & B F C
go through blue room to green room,F & B F C
go through the blue room until you get to the green,F & B F C
move through the blue room to the green room,F & B F C
travel through the blue room to go into the green room,F & B F C
go to the green room via the blue room,F & B F C
always walk through the blue room to get to the green room,F & B F C
the robot moves towards the green room through the blue room,F & B F C
go thru the blue box to get to the green box,F & B F C
move to the blue room and then to the green room,F & B F C
instead of going through the red room move through the blue room to enter the green room,F & B F C
go to the blue room then to then green room,F & B F C
go through the blue room in to the green room,F & B F C
go thru the blue to get to the green,F & B F C
go through the blue room to get to the green room,F & B F C
go through the blue room to enter the green room,F & B F C
the robot goes to the blue to get to the green,F & B F C
walk pass the blue room into the green room,F & B F C
move to the large green room by passing through the small blue room,F & B F C
enter the blue room and then the green room,F & B F C
go through the blue room to the green room,F & B F C
you must walk through the blue room to get to the green room,F & B F C
move through the blue room to the green room,F & B F C
go to the green room only through the blue room,F & B F C
go through the blue room and enter the green room,F & B F C
walk through the blue room until you reach the green room,F & B F C
cross the blue room only to reach the green room,F & B F C
go to blue room then go to green room,F & B F C
go through the blue room to get to the green room,F & B F C
go to the blue room then go to the green room,F & B F C
go to the green room via the blue room,F & B F C
go through the door to the blue room and continue into the green room,F & B F C
first enter the blue room and then proceed to the green room,F & B F C
move toward the blue room then into the green room,F & B F C
move into the green room while being sure to pass through only the blue room,F & B F C
go to the green room by first entering the blue room,F & B F C
pass through the blue room to reach the green room,F & B F C
the robot goes through the blue to get to the green,F & B F C
go through the blue room to the green room,F & B F C
go through the blue room to reach the green room,F & B F C
go into the green room by way of the blue room,F & B F C
go through the blue room while moving to the green room,F & B F C
pass through the small blue room to get to the large green room,F & B F C
go through the blue room to get to the green room,F & B F C
move through the green rooms to get to the blue room,F & C F B
go from the pink room to the blue room by going through the green room,F & C F B
go through the green room to the blue room,F & C F B
pass through the small green room to get to the large blue room,F & C F B
move to the blue room by going through the green room first,F & C F B
move into the blue room through the green room,F & C F B
travel through the green room to the blue room,F & C F B
go through the green box to get to the blue area,F & C F B
go through the green room in to the blue room,F & C F B
enter blue room through green room,F & C F B
robot goes through green and ends up in blue,F & C F B
move into the blue room but only via the green room,F & C F B
go through the green room to the blue room,F & C F B
go through the green room into the blue room,F & C F B
enter the blue room through the green door only,F & C F B
the robot must go into the blue room by going through the green room,F & C F B
go through the green room to the blue room,F & C F B
go to the blue area through green area,F & C F B
go to green room before blue room,F & C F B
go to the blue room via the green room,F & C F B
go up through the green box to the blue box,F & C F B
go to blue room through green room,F & C F B
go to the blue room but only go through the green room to get there,F & C F B
go through the green room into the blue room,F & C F B
only go through green rooms to get to blue rooms,F & C F B
go via green color path to reach blue room,F & C F B
go through the green room to get to the blue room,F & C F B
go throught the green room and then into the blue room,F & C F B
go through green to get to blue,F & C F B
go to the green room and then go to the blue room,F & C F B
the robot goes through the green to get to blue,F & C F B
go to the blue room and make sure to go through the green room,F & C F B
move through the green room to gain access to the large blue room,F & C F B
go through the green room to reach the blue room,F & C F B
pass through the small green room to get to the large blue room,F & C F B
move through the green room to the blue room,F & C F B
go to green room then to blue room,F & C F B
go through green rooms to get to the blue one,F & C F B
go through the green room to the blue room,F & C F B
pass through the green rom to the blue room,F & C F B
go through the green room to the blue room,F & C F B
move through green room to the blue room,F & C F B
go through the green room and into the blue room,F & C F B
avoiding all but the green rectangle travel to the blue area,F & C F B
move to reach the blue place by taking a path which has green colour and white colour in it while avoiding black yellow and red colour,F & C F B
go through the green room into the blue room,F & C F B
move to blue room through the green room,F & C F B
pass through the green room to the blue room,F & C F B
go to the blue room through the green room,F & C F B
go through the green room into the blue room,F & C F B
enter the blue room by going though the green room,F & C F B
go towards the blue room through the green room,F & C F B
go through the green room to reach the blue room,F & C F B
move through the green room to the blue room,F & C F B
the robot goes through green to get to blue,F & C F B
enter the blue room through the green room,F & C F B
enter the blue room by way of the green room,F & C F B
progress through green rectangle room to the large blue room,F & C F B
go through the green room to the blue room,F & C F B
go to the blue room via the green room,F & C F B
to reach the blue go through the green,F & C F B
enter the green room and exit into the blue room,F & C F B
travel through the green room to the blue rectangular room,F & C F B
go through the green and to the blue,F & C F B
go through the green room to the blue room,F & C F B
enter blue room via green room,F & C F B
go through the green room to get to the blue room,F & C F B
go through the green room to the blue room,F & C F B
go up through the green room into the blue room,F & C F B
go through the green room to get to the blue room,F & C F B
go through the green room to get to the blue room,F & C F B
follow the green room to the blue room,F & C F B
go to blue via green,F & C F B
first enter the green room and then move to the blue room,F & C F B
move toward the green room then into the blue room,F & C F B
go through the green room in to the blue room,F & C F B
move through the green room and into the blue room,F & C F B
go through the green room into the blue room,F & C F B
go through green to get to blue,F & C F B
move through the green room and out into the blue room,F & C F B
go through the green room to get to the blue room,F & C F B
move through the hallway to the blue room but only if it takes you through a green room,F & C F B
go to the green room then go to the blue room,F & C F B
go through the green room and into the blue room,F & C F B
go through the green room to get to the blue room,F & C F B
go through the green room into the blue room,F & C F B
move through the green room to get to the blue room,F & C F B
go through green rooms to get to the blue one,F & C F B
move to the large blue room by passing through the small green room,F & C F B
move to the red room,F R
move to the red room,F R
go to the red room,F R
go to the red room,F R
move from your room to the red room,F R
move to the red room,F R
go in to the pink room,F R
go to the pink room,F R
