,nl_command,ltl,map_name,result,eq
4536,keep visiting Italian Cultural Center,G F italian_cultural_center,San Diego #2,"error:['G', 'lm(', 'lm(', 'Italian', ')lm', 'Center', ')lm', 'lm(', 'lm(']",False
4537,keep visiting Sorrento Ristorante,G F sorrento_ristorante,San Diego #2,"error:['G', 'lm(', 'lm(', 'Sorrento', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm']",False
4538,go to Princess Pub and Grille an infinite number of times,G F princess_pub_and_grille,San Diego #2,"error:['!', 'F', '&', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm', 'U', 'lm(', 'lm(', 'Pub', ')lm', '&', '!', '!', 'lm(', 'lm(', '&', '&', '!', 'lm(', 'lm(', '&', '&', '&', '&', '&', 'lm(', 'lm(', 'lm(', 'Pub', '&', '&', '!', 'lm(', 'lm(', 'Pub', ')lm', ')lm', '!', 'lm(', 'lm(', 'Pub', ')lm', '&', '!', 'lm(', 'lm(', 'Pub', ')lm', ')lm', '!', 'lm(', 'lm(', 'Pub', ')lm', '&', 'F', 'lm(', 'lm(', 'Pub', ')lm', ')lm', '!', 'lm(', 'lm(', 'Pub', ')lm', '&', 'F', '&', 'lm(', 'Pub', 'Pub', ')lm', ')lm', '!', 'lm(', 'lm(', 'Pub', ')lm', '&', 'F', 'lm(', 'lm(', 'Pub', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Pub', ')lm', ')lm', '&', 'F', 'lm(', 'Pub', 'Pub', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Pub', ')lm', ')lm', ')lm', 'F', 'lm(', 'Pub', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Pub', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', 'Pub', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', 'Pub', ')lm', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Pub', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4539,go to Harbor Breakfast an infinite number of times,G F harbor_breakfast,San Diego #2,"error:['!', 'F', '&', 'lm(', 'lm(', 'an', ')lm', ')lm', 'U', 'lm(', 'lm(', 'an', ')lm', '&', '!', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', '!', '!', 'lm(', 'lm(', '&', '&', '!', 'lm(', 'lm(', '&', '&', '&', 'lm(', '&', '&', '&', 'lm(', 'lm(', 'Breakfast', ')lm', '&', '!', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', '!', 'lm(', 'lm(', 'Breakfast', '&', '&', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Breakfast', 'Breakfast', ')lm', '&', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Breakfast', 'Breakfast', ')lm', '&', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Breakfast', 'Breakfast', ')lm', '&', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Breakfast', 'Breakfast', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', ')lm', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', ')lm', 'lm(', 'Breakfast', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', 'Breakfast', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', 'Breakfast', ')lm', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Breakfast', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Breakfast', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4540,continue moving to Sorrento Ristorante,G F sorrento_ristorante,San Diego #2,"error:['F', 'lm(', 'lm(', 'moving', ')lm']",False
4541,continue moving to Ironside,G F ironside,San Diego #2,"error:['F', 'lm(', 'lm(', 'moving', ')lm']",False
4542,do not stop visiting Village Walk,G F village_walk,San Diego #2,"error:['G', '!', 'lm(', 'Village', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4543,do not stop visiting La Vita Little Italy,G F la_vita_little_italy,San Diego #2,G ! la_vita_little_italy,False
4544,do not stop going to Firehouse Museum,G F firehouse_museum,San Diego #2,"error:['G', '!', 'lm(', 'Firehouse', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4545,do not stop going to Urban Boutique Hotel,G F urban_boutique_hotel,San Diego #2,G ! urban_boutique_hotel,False
