train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,sequenced_visit,2,"['a', 'b']",eventually first visit a and then b after,F & a F b,& G F a G F b,False
valid,sequenced_visit,2,"['a', 'c']",eventually first visit a and then c after,F & a F c,& G F a G F c,False
valid,sequenced_visit,2,"['a', 'd']",eventually first visit a and then d after,F & a F d,& G F a G F d,False
valid,sequenced_visit,2,"['a', 'h']",eventually first visit a and then h after,F & a F h,& G F a G F h,False
valid,sequenced_visit,2,"['b', 'a']",eventually first visit b and then a after,F & b F a,& G F b & G F a G F a,False
valid,sequenced_visit,2,"['b', 'c']",eventually first visit b and then c after,F & b F c,& G F b & G F c G F c,False
valid,sequenced_visit,2,"['b', 'd']",eventually first visit b and then d after,F & b F d,& G F b & G F d G F d,False
valid,sequenced_visit,2,"['b', 'h']",eventually first visit b and then h after,F & b F h,& G F b & G F h G F h,False
valid,sequenced_visit,2,"['c', 'a']",eventually first visit c and then a after,F & c F a,& G F c & G F a G F a,False
valid,sequenced_visit,2,"['c', 'b']",eventually first visit c and then b after,F & c F b,& G F c & G F b,Syntax Error
valid,sequenced_visit,2,"['c', 'd']",eventually first visit c and then d after,F & c F d,& G F c & G F d G F d,False
valid,sequenced_visit,2,"['c', 'h']",eventually first visit c and then h after,F & c F h,& G F c & G F h G F h,False
valid,sequenced_visit,2,"['d', 'a']",eventually first visit d and then a after,F & d F a,& G F d G F a,False
valid,sequenced_visit,2,"['d', 'b']",eventually first visit d and then b after,F & d F b,& G F d G F b,False
valid,sequenced_visit,2,"['d', 'c']",eventually first visit d and then c after,F & d F c,& G F d G F c,False
valid,sequenced_visit,2,"['d', 'h']",eventually first visit d and then h after,F & d F h,& G F d G F h,False
valid,sequenced_visit,2,"['h', 'a']",eventually first visit h and then a after,F & h F a,& G F h G F a,False
valid,sequenced_visit,2,"['h', 'b']",eventually first visit h and then b after,F & h F b,& G F h G F b,False
valid,sequenced_visit,2,"['h', 'c']",eventually first visit h and then c after,F & h F c,& G F h G F c,False
valid,sequenced_visit,2,"['h', 'd']",eventually first visit h and then d after,F & h F d,& G F h G F d,False
valid,sequenced_visit,2,"['a', 'b']",visit a and then b,F & a F b,& F a F b,False
valid,sequenced_visit,2,"['a', 'c']",visit a and then c,F & a F c,& F a F c,False
valid,sequenced_visit,2,"['a', 'd']",visit a and then d,F & a F d,& F a F d,False
valid,sequenced_visit,2,"['a', 'h']",visit a and then h,F & a F h,& F a F h,False
valid,sequenced_visit,2,"['b', 'a']",visit b and then a,F & b F a,& F b F a,False
valid,sequenced_visit,2,"['b', 'c']",visit b and then c,F & b F c,& F b F c,False
valid,sequenced_visit,2,"['b', 'd']",visit b and then d,F & b F d,& F b F d,False
valid,sequenced_visit,2,"['b', 'h']",visit b and then h,F & b F h,& F b F h,False
valid,sequenced_visit,2,"['c', 'a']",visit c and then a,F & c F a,& F c F a,False
valid,sequenced_visit,2,"['c', 'b']",visit c and then b,F & c F b,& F c F b,False
valid,sequenced_visit,2,"['c', 'd']",visit c and then d,F & c F d,& F c F d,False
valid,sequenced_visit,2,"['c', 'h']",visit c and then h,F & c F h,& F c F h,False
valid,sequenced_visit,2,"['d', 'a']",visit d and then a,F & d F a,& F d F a,False
valid,sequenced_visit,2,"['d', 'b']",visit d and then b,F & d F b,& F d F b,False
valid,sequenced_visit,2,"['d', 'c']",visit d and then c,F & d F c,& F d F c,False
valid,sequenced_visit,2,"['d', 'h']",visit d and then h,F & d F h,& F d F h,False
valid,sequenced_visit,2,"['h', 'a']",visit h and then a,F & h F a,& F h F a,False
valid,sequenced_visit,2,"['h', 'b']",visit h and then b,F & h F b,& F h F b,False
valid,sequenced_visit,2,"['h', 'c']",visit h and then c,F & h F c,& F h F c,False
valid,sequenced_visit,2,"['h', 'd']",visit h and then d,F & h F d,& F h F d,False
valid,sequenced_visit,2,"['a', 'b']",go to a and sometime afterward visit b,F & a F b,& & U! a b F a,Syntax Error
valid,sequenced_visit,2,"['a', 'c']",go to a and sometime afterward visit c,F & a F c,& & U! a c F a,Syntax Error
valid,sequenced_visit,2,"['a', 'd']",go to a and sometime afterward visit d,F & a F d,& & U! a d & U! a d F d,Syntax Error
valid,sequenced_visit,2,"['a', 'h']",go to a and sometime afterward visit h,F & a F h,& & U! a h & U! a h F h,Syntax Error
valid,sequenced_visit,2,"['b', 'a']",go to b and sometime afterward visit a,F & b F a,& & U! b b & U! a a F a,Syntax Error
valid,sequenced_visit,2,"['b', 'c']",go to b and sometime afterward visit c,F & b F c,& & U! b c & U! b b F c,Syntax Error
valid,sequenced_visit,2,"['b', 'd']",go to b and sometime afterward visit d,F & b F d,& & U! b b & U! d d F d,Syntax Error
valid,sequenced_visit,2,"['b', 'h']",go to b and sometime afterward visit h,F & b F h,& & U! b h & U! b b F h,Syntax Error
valid,sequenced_visit,2,"['c', 'a']",go to c and sometime afterward visit a,F & c F a,& & U! c c & U! a a F a,Syntax Error
valid,sequenced_visit,2,"['c', 'b']",go to c and sometime afterward visit b,F & c F b,& & U! c b & U! c b F b,Syntax Error
valid,sequenced_visit,2,"['c', 'd']",go to c and sometime afterward visit d,F & c F d,& & U! c d & U! d c F d,Syntax Error
valid,sequenced_visit,2,"['c', 'h']",go to c and sometime afterward visit h,F & c F h,& & U! c h & U! c h F h,Syntax Error
valid,sequenced_visit,2,"['d', 'a']",go to d and sometime afterward visit a,F & d F a,& & U! d a & U! a d F a,Syntax Error
valid,sequenced_visit,2,"['d', 'b']",go to d and sometime afterward visit b,F & d F b,& & U! d b & U! b d F b,Syntax Error
valid,sequenced_visit,2,"['d', 'c']",go to d and sometime afterward visit c,F & d F c,& & U! d c & U! c d F c & U! d U d U! d c,Syntax Error
valid,sequenced_visit,2,"['d', 'h']",go to d and sometime afterward visit h,F & d F h,& & U! d h & U! h d F h & U! d U d U! d h,Syntax Error
valid,sequenced_visit,2,"['h', 'a']",go to h and sometime afterward visit a,F & h F a,& & U! h a,Syntax Error
valid,sequenced_visit,2,"['h', 'b']",go to h and sometime afterward visit b,F & h F b,& & U! h b & U! h h F b,Syntax Error
valid,sequenced_visit,2,"['h', 'c']",go to h and sometime afterward visit c,F & h F c,& & U! h c & U! h h F c,Syntax Error
valid,sequenced_visit,2,"['h', 'd']",go to h and sometime afterward visit d,F & h F d,& & U! h d & U! h h F d,Syntax Error
valid,sequenced_visit,3,"['a', 'b', 'c']",visit a sometime afterwards visit b sometime afterwards visit c,F & a F & b F c,& & U! b a & U! c b F c & U! a U a U! a b U! b U b U! b c,False
valid,sequenced_visit,3,"['a', 'b', 'd']",visit a sometime afterwards visit b sometime afterwards visit d,F & a F & b F d,& & U! b a & U! d b F d & U! a U a U! a b U! b U b U! b d,False
valid,sequenced_visit,3,"['a', 'b', 'h']",visit a sometime afterwards visit b sometime afterwards visit h,F & a F & b F h,& & U! b a & U! h b F h & U! a U a U! a b U! b U b U! b h,False
valid,sequenced_visit,3,"['a', 'c', 'b']",visit a sometime afterwards visit c sometime afterwards visit b,F & a F & c F b,& & U! c a & U! b c F b & U! a U a U! a c U! c U c U! c b,False
valid,sequenced_visit,3,"['a', 'c', 'd']",visit a sometime afterwards visit c sometime afterwards visit d,F & a F & c F d,& & U! c a & U! d c F d & U! a U a U! a c U! c U c U! c d,False
valid,sequenced_visit,3,"['a', 'c', 'h']",visit a sometime afterwards visit c sometime afterwards visit h,F & a F & c F h,& & U! c a & U! h c F h & U! a U a U! a c U! c U c U! c h,False
valid,sequenced_visit,3,"['a', 'd', 'b']",visit a sometime afterwards visit d sometime afterwards visit b,F & a F & d F b,& & U! d a & U! b d F b & U! a U a U! a d U! d U d U! d b,False
valid,sequenced_visit,3,"['a', 'd', 'c']",visit a sometime afterwards visit d sometime afterwards visit c,F & a F & d F c,& & U! d a & U! c d F c & U! a U a U! a d U! d U d U! d c,False
valid,sequenced_visit,3,"['a', 'd', 'h']",visit a sometime afterwards visit d sometime afterwards visit h,F & a F & d F h,& & U! d a & U! h d F h & U! a U a U! a d U! d U d U! d h,False
valid,sequenced_visit,3,"['a', 'h', 'b']",visit a sometime afterwards visit h sometime afterwards visit b,F & a F & h F b,& & U! h a & U! b h F b & U! a U a U! a h U! h U h U! h b,False
valid,sequenced_visit,3,"['a', 'h', 'c']",visit a sometime afterwards visit h sometime afterwards visit c,F & a F & h F c,& & U! h a & U! c h F c & U! a U a U! a h U! h U h U! h c,False
valid,sequenced_visit,3,"['a', 'h', 'd']",visit a sometime afterwards visit h sometime afterwards visit d,F & a F & h F d,& & U! h a & U! d h F d & U! a U a U! a h U! h U h U! h d,False
valid,sequenced_visit,3,"['b', 'a', 'c']",visit b sometime afterwards visit a sometime afterwards visit c,F & b F & a F c,& & U! b c & U! a b F c & U! b U b U! b U b U! b a U! a U a U! a c,False
valid,sequenced_visit,3,"['b', 'a', 'd']",visit b sometime afterwards visit a sometime afterwards visit d,F & b F & a F d,& & U! b a & U! d a F d & U! b U b U! b a U! a U a U! a d,False
valid,sequenced_visit,3,"['b', 'a', 'h']",visit b sometime afterwards visit a sometime afterwards visit h,F & b F & a F h,& & U! b a & U! h a F h & U! b U b U! b a,Syntax Error
valid,sequenced_visit,3,"['b', 'c', 'a']",visit b sometime afterwards visit c sometime afterwards visit a,F & b F & c F a,& & U! c b & U! a c F a & U! b U b U! b c U! c U c U! c a,False
valid,sequenced_visit,3,"['b', 'c', 'd']",visit b sometime afterwards visit c sometime afterwards visit d,F & b F & c F d,& & U! c b & U! d c F d & U! b U b U! b c U! c U c U! c d,False
valid,sequenced_visit,3,"['b', 'c', 'h']",visit b sometime afterwards visit c sometime afterwards visit h,F & b F & c F h,& & U! c b & U! h c F h & U! b U b U! b c U! c U c U! c h,False
valid,sequenced_visit,3,"['b', 'd', 'a']",visit b sometime afterwards visit d sometime afterwards visit a,F & b F & d F a,& & U! d b & U! a d F a & U! b U b U! b d U! d U d U! d a,False
valid,sequenced_visit,3,"['b', 'd', 'c']",visit b sometime afterwards visit d sometime afterwards visit c,F & b F & d F c,& & U! d b & U! c d F c & U! b U b U! b d U! d U d U! d c,False
valid,sequenced_visit,3,"['b', 'd', 'h']",visit b sometime afterwards visit d sometime afterwards visit h,F & b F & d F h,& & U! d b & U! h d F h & U! b U b U! b d U! d U d U! d h,False
valid,sequenced_visit,3,"['b', 'h', 'a']",visit b sometime afterwards visit h sometime afterwards visit a,F & b F & h F a,& & U! h b & U! a h F a & U! b U b U! b h U! h U h U! h a,False
valid,sequenced_visit,3,"['b', 'h', 'c']",visit b sometime afterwards visit h sometime afterwards visit c,F & b F & h F c,& & U! h b & U! c h F c & U! b U b U! b h U! h U h U! h c,False
valid,sequenced_visit,3,"['b', 'h', 'd']",visit b sometime afterwards visit h sometime afterwards visit d,F & b F & h F d,& & U! h b & U! d h F d & U! b U b U! b h U! h U h U! h d,False
valid,sequenced_visit,3,"['c', 'a', 'b']",visit c sometime afterwards visit a sometime afterwards visit b,F & c F & a F b,& & U! c c & U! a c & U! b a F b & U! c U c U! c a U! a U a U! a b,False
valid,sequenced_visit,3,"['c', 'a', 'd']",visit c sometime afterwards visit a sometime afterwards visit d,F & c F & a F d,& & U! c a & U! d a F d & U! c U c U! c a U! a U a U! a d,False
valid,sequenced_visit,3,"['c', 'a', 'h']",visit c sometime afterwards visit a sometime afterwards visit h,F & c F & a F h,& & U! c a & U! h a F h & U! c U c U! c a,Syntax Error
valid,sequenced_visit,3,"['c', 'b', 'a']",visit c sometime afterwards visit b sometime afterwards visit a,F & c F & b F a,& & U! c b & U! a b F a & U! c U c U! c b & U! b U b U! b U b U! b a,Syntax Error
valid,sequenced_visit,3,"['c', 'b', 'd']",visit c sometime afterwards visit b sometime afterwards visit d,F & c F & b F d,& & U! c b & U! d b F d & U! c U c U! c b & U! b U b U! b d,Syntax Error
valid,sequenced_visit,3,"['c', 'b', 'h']",visit c sometime afterwards visit b sometime afterwards visit h,F & c F & b F h,& & U! c b & U! h b F h & U! c U c U! c b & U! b U b U! b h,Syntax Error
valid,sequenced_visit,3,"['c', 'd', 'a']",visit c sometime afterwards visit d sometime afterwards visit a,F & c F & d F a,& & U! c d & U! a d F a & U! c U c U! c d U! d U d U! d a,False
valid,sequenced_visit,3,"['c', 'd', 'b']",visit c sometime afterwards visit d sometime afterwards visit b,F & c F & d F b,& & U! c d & U! b d F b & U! c U c U! c d U! d U d U! d b,False
valid,sequenced_visit,3,"['c', 'd', 'h']",visit c sometime afterwards visit d sometime afterwards visit h,F & c F & d F h,& & U! c d & U! h d F h & U! c U c U! c d U! d U d U! d h,False
valid,sequenced_visit,3,"['c', 'h', 'a']",visit c sometime afterwards visit h sometime afterwards visit a,F & c F & h F a,& & U! h c & U! a h F a & U! c U c U! c h U! h U h U! h a,False
valid,sequenced_visit,3,"['c', 'h', 'b']",visit c sometime afterwards visit h sometime afterwards visit b,F & c F & h F b,& & U! c c & U! h c & U! b h F b & U! c U c U! c h U! h U h U! h b,False
valid,sequenced_visit,3,"['c', 'h', 'd']",visit c sometime afterwards visit h sometime afterwards visit d,F & c F & h F d,& & U! h c & U! d h F d & U! c U c U! c h U! h U h U! h d,False
valid,sequenced_visit,3,"['d', 'a', 'b']",visit d sometime afterwards visit a sometime afterwards visit b,F & d F & a F b,& & U! d a & U! b a F b & U! d U d U! d a U! a U a U! a b,False
valid,sequenced_visit,3,"['d', 'a', 'c']",visit d sometime afterwards visit a sometime afterwards visit c,F & d F & a F c,& & U! d a & U! c a F c & U! d U d U! d a U! a U a U! a c,False
valid,sequenced_visit,3,"['d', 'a', 'h']",visit d sometime afterwards visit a sometime afterwards visit h,F & d F & a F h,& & U! a d & U! h a F h & U! d U d U! d a U! a U a U! a h,False
valid,sequenced_visit,3,"['d', 'b', 'a']",visit d sometime afterwards visit b sometime afterwards visit a,F & d F & b F a,& & U! b d & U! a b F a & U! d U d U! d b U! b U b U! b a,False
valid,sequenced_visit,3,"['d', 'b', 'c']",visit d sometime afterwards visit b sometime afterwards visit c,F & d F & b F c,& & U! d d & U! b d & U! c b F c & U! d U d U! d b U! b U b U! b c,False
valid,sequenced_visit,3,"['d', 'b', 'h']",visit d sometime afterwards visit b sometime afterwards visit h,F & d F & b F h,& & U! b d & U! h b F h & U! d U d U! d b U! b U b U! b h,False
valid,sequenced_visit,3,"['d', 'c', 'a']",visit d sometime afterwards visit c sometime afterwards visit a,F & d F & c F a,& & U! c d & U! a c F a & U! d U d U! d c U! c U c U! c a,False
