Type,Number of props,Utterance,Ground truth,Response,Success
visit,1,"find New ML Oro Jewelry, Inc.","('New ML Oro Jewelry, Inc.',)","New ML Oro Jewelry, Inc.",True
visit,2,"pick one from Bayard L. C. Pharmacy, and TD Bank, go there and then head to the other one","('Bayard L. C. Pharmacy', 'TD Bank')",Bayard L. C. Pharmacy | TD Bank,True
visit,3,"Taipan Bakery, Citi Bike - Elizabeth St & Hester St, and 186f Kepler, must be visited","('Taipan Bakery', 'Citi Bike - Elizabeth St & Hester St', '186f Kepler')",Taipan Bakery | Citi Bike - Elizabeth St & Hester St | 186f Kepler,True
visit,4,"move to IES Test Prep, 186f Kepler, HSBC, and New Green Bo, in any order","('IES Test Prep', '186f Kepler', 'HSBC', 'New Green Bo')",IES Test Prep | 186f Kepler | HSBC | New Green Bo,True
visit,5,"make sure Tinma Travel & Tours, Canal Street, Eastern States Buddhist Temple, NYPD 5 PCT, and Shanghai Dumpling, are all visited","('Tinma Travel & Tours', 'Canal Street', 'Eastern States Buddhist Temple', 'NYPD 5 PCT', 'Shanghai Dumpling')",Tinma Travel & Tours | Canal Street | Eastern States Buddhist Temple | NYPD 5 PCT | Shanghai Dumpling,True
sequenced_visit,2,"go to Royal Seafood Restaurant, and move on to Ten Ren, once you have been to Royal Seafood Restaurant","('Royal Seafood Restaurant', 'Ten Ren')",Royal Seafood Restaurant | Ten Ren,True
sequenced_visit,3,"go to Mott Street Optical, then go to Chinese Merchant's Association, then go to Joy Luck Palace","('Mott Street Optical', ""Chinese Merchant's Association"", 'Joy Luck Palace')",Mott Street Optical | Chinese Merchant's Association | Joy Luck Palace,True
sequenced_visit,4,"travel from Mahayanna Buddhist Center, to IES Test Prep, to Bayard L. C. Pharmacy, to Keki Modern Cakes","('Mahayanna Buddhist Center', 'IES Test Prep', 'Bayard L. C. Pharmacy', 'Keki Modern Cakes')",Mahayanna Buddhist Center | IES Test Prep | Bayard L. C. Pharmacy | Keki Modern Cakes,True
sequenced_visit,5,"go to Penguin Ice Cream, then go to TD Bank, then go to Taipan Bakery, then go to Manhattan Bridge Arch, finally go to Sun's Organic Garden","('Penguin Ice Cream', 'TD Bank', 'Taipan Bakery', 'Manhattan Bridge Arch', ""Sun's Organic Garden"")",Penguin Ice Cream | TD Bank | Taipan Bakery | Manhattan Bridge Arch | Sun's Organic Garden,True
ordered_visit,3,"first go to Citi Bike - Elizabeth St & Hester St, then go to Joy Luck Palace, only after Citi Bike - Elizabeth St & Hester St, finally go to Penguin Ice Cream, only after Joy Luck Palace","('Citi Bike - Elizabeth St & Hester St', 'Joy Luck Palace', 'Penguin Ice Cream')",Citi Bike - Elizabeth St & Hester St | Joy Luck Palace | Penguin Ice Cream,True
