Utterance,Ground truth,Output,Correct
"make sure to go to San Diego Lions Manor apartments, after you visit Sandwich fast food on 5th Avenue","{'Sandwich fast food on 5th Avenue', 'San Diego Lions Manor apartments'}","{'Sandwich fast food on 5th Avenue', 'San Diego Lions Manor apartments'}",True
move to William Heath Davis House Museum,{'William Heath Davis House Museum'},{'William Heath Davis House Museum'},True
"visit Mexican restaurant on 4th Avenue, then eventually visit Hostelling International San Diego on Market Street, do not visit Hostelling International San Diego on Market Street, before visiting Mexican restaurant on 4th Avenue","{'Hostelling International San Diego on Market Street', 'Mexican restaurant on 4th Avenue'}","{'Hostelling International San Diego on Market Street', 'Mexican restaurant on 4th Avenue'}",True
"make sure to go to both Gaslamp Quarter, and Tivoli Bar","{'Gaslamp Quarter', 'Tivoli Bar'}","{'Gaslamp Quarter', 'Tivoli Bar'}",True
"never visit Brazilian steakhouse on 6th Avenue, again after you have visited it once",{'Brazilian steakhouse on 6th Avenue'},{'Brazilian steakhouse on 6th Avenue'},True
"the minimum number of times you must reach CVS Pharmacy, is two",{'CVS Pharmacy'},{'CVS Pharmacy'},True
"you can go anywhere but Lions Club of San Diego garages, CVS Pharmacy, William Heath Davis House Museum, Sandwich fast food on 5th Avenue, and American Junkie bar","{'Lions Club of San Diego garages', 'American Junkie bar', 'CVS Pharmacy', 'Sandwich fast food on 5th Avenue', 'William Heath Davis House Museum'}","{'Sandwich fast food on 5th Avenue', 'William Heath Davis House Museum', 'Lions Club of San Diego garages', 'American Junkie bar', 'CVS Pharmacy'}",True
"you can not visit Jewelry shop on 5th Avenue, more than five times",{'Jewelry shop on 5th Avenue'},{'Jewelry shop on 5th Avenue'},True
"ensure that you do not reach Lucky Brand clothing store, before going to Brazilian steakhouse on 6th Avenue featuring meats and appetizer buffet","{'Brazilian steakhouse on 6th Avenue featuring meats and appetizer buffet', 'Lucky Brand clothing store'}","{'Brazilian steakhouse on 6th Avenue featuring meats and appetizer buffet', 'Lucky Brand clothing store'}",True
"never go to Commercial building with parking on Market Street, more than four times",{'Commercial building with parking on Market Street'},{'Commercial building with parking on Market Street'},True
"visit Nouvelle Latin Cuisine bar, exactly three separate times",{'Nouvelle Latin Cuisine bar'},{'Nouvelle Latin Cuisine bar'},True
"never go to Mexican restaurant on 4th Avenue, until you see Goorin Bros shop","{'Mexican restaurant on 4th Avenue', 'Goorin Bros shop'}","{'Mexican restaurant on 4th Avenue', 'Goorin Bros shop'}",True
"visit Brazilian steakhouse on 6th Avenue, then Nouvelle Latin Cuisine bar, then BarleyMash pub, then William Heath Davis House Museum, follow this strict order and visit each location only once","{'William Heath Davis House Museum', 'Nouvelle Latin Cuisine bar', 'Brazilian steakhouse on 6th Avenue', 'BarleyMash pub'}","{'BarleyMash pub', 'Nouvelle Latin Cuisine bar', 'Brazilian steakhouse on 6th Avenue', 'William Heath Davis House Museum'}",True
"if Mexican restaurant on 4th Avenue, is observed only and only then should Gaslamp Quarter, be visited in the next time step otherwise Gaslamp Quarter, should not be visited","{'Gaslamp Quarter', 'Mexican restaurant on 4th Avenue'}","{'Gaslamp Quarter', 'Mexican restaurant on 4th Avenue'}",True
"avoid Brazilian steakhouse on 6th Avenue, featuring a meats and appetizer buffet, initially when Nikki Fine Jewelers on 5th Avenue, is not visited and then just visit Nikki Fine Jewelers on 5th Avenue, once and then visit Brazilian steakhouse on 6th Avenue, featuring a meats and appetizer buffet, while avoiding Nikki Fine Jewelers on 5th Avenue","{'Nikki Fine Jewelers on 5th Avenue', 'Brazilian steakhouse on 6th Avenue, featuring a meats and appetizer buffet'}","{'Nikki Fine Jewelers on 5th Avenue', 'Brazilian steakhouse on 6th Avenue, featuring a meats and appetizer buffet'}",True
"keep going to BarleyMash pub, and Goorin Bros shop, in arbitrary order","{'BarleyMash pub', 'Goorin Bros shop'}","{'BarleyMash pub', 'Goorin Bros shop'}",True
"visit Hostelling International on Market Street, San Diego, then Ciro's fast food, then Library Towers, then Blue Point restaurant, and then The Amazing Picture Booth Co. on 5th Avenue","{'Hostelling International on Market Street, San Diego', 'Blue Point restaurant', 'Library Towers', ""Ciro's fast food"", 'The Amazing Picture Booth Co. on 5th Avenue'}","{'Hostelling International on Market Street, San Diego', 'Blue Point restaurant', 'Library Towers', ""Ciro's fast food"", 'The Amazing Picture Booth Co. on 5th Avenue'}",True
"head to Nouvelle Latin Cuisine bar, William Heath Davis House Museum, and Mexican restaurant on 4th Avenue, in any order","{'Nouvelle Latin Cuisine bar', 'Mexican restaurant on 4th Avenue', 'William Heath Davis House Museum'}","{'William Heath Davis House Museum', 'Nouvelle Latin Cuisine bar', 'Mexican restaurant on 4th Avenue'}",True
"never visit BarleyMash pub, again after you have visited it twice",{'BarleyMash pub'},{'BarleyMash pub'},True
"if at any time Goorin Bros shop, occurs then CVS Pharmacy, must be reached once afterwards","{'Goorin Bros shop', 'CVS Pharmacy'}","{'Goorin Bros shop', 'CVS Pharmacy'}",True
you must never go to Alta building,{'Alta building'},{'Alta building'},True
