,nl_command,ltl,map_name,result,eq
5390,visit CPCC Kratt,F cpcc_kratt,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Kratt']",False
5391,visit Aspire,F aspire,Charlotte #1,"error:['G', 'lm(', 'lm(', 'Aspire']",False
5392,reach Halton Theatre,F halton_theatre,Charlotte #1,F halton_theatre,True
5393,reach CPCC Worrell,F cpcc_worrell,Charlotte #1,"error:['F', 'lm(', 'CPCC', 'Worrell']",False
5394,eventually you must go to CPCC Library,F cpcc_library,Charlotte #1,"error:['F', 'lm(', 'lm(', 'CPCC', 'Library', ')lm']",False
5395,eventually you must go to CPCC Faculty/Theatre Parking,F cpcc_faculty/theatre_parking,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Faculty/Theatre']",False
5396,move to CPCC Terrell,F cpcc_terrell,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Terrell']",False
5397,move to CPCC Kratt,F cpcc_kratt,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Kratt']",False
5398,go to CPCC Central High,F cpcc_central_high,Charlotte #1,"error:['&', 'lm(', 'lm(', 'CPCC']",False
5399,go to CPCC Zeiss,F cpcc_zeiss,Charlotte #1,"error:['F', 'lm(', 'lm(', 'CPCC']",False
5400,navigate to Halton Theatre,F halton_theatre,Charlotte #1,F halton_theatre,True
5401,navigate to CPCC Pease Auditorium,F cpcc_pease_auditorium,Charlotte #1,F cpcc_overcash,False
5402,find CPCC Sloan-Morgan,F cpcc_sloan-morgan,Charlotte #1,F cpcc_sloan-morgan,True
5403,find Halton Theatre,F halton_theatre,Charlotte #1,F halton_theatre,True
5404,approach CPCC Sloan-Morgan,F cpcc_sloan-morgan,Charlotte #1,"error:['F', 'lm(', 'CPCC', 'Sloan-Morgan']",False
5405,approach CPCC Kratt,F cpcc_kratt,Charlotte #1,"error:['F', 'lm(', 'CPCC', 'Kratt']",False
5406,stop by Independence Park,F independence_park,Charlotte #1,F independence_park,True
5407,stop by CPCC Central High,F cpcc_central_high,Charlotte #1,"error:['F', 'lm(', 'CPCC', 'Central']",False
5408,please go to Central Piedmont Community College,F central_piedmont_community_college,Charlotte #1,& F central_piedmont_community_college,False
5409,please go to CPCC Worrell,F cpcc_worrell,Charlotte #1,"error:['F', 'lm(', 'lm(', 'CPCC']",False
5410,travel to CPCC,F cpcc,Charlotte #1,"error:['G', 'lm(', 'lm(', 'CPCC']",False
5411,travel to CPCC Worrell,F cpcc_worrell,Charlotte #1,"error:['F', 'lm(', 'lm(', 'CPCC']",False
5412,stop at 100kV Transmission Line,F 100kv_transmission_line,Charlotte #1,"error:['G', 'F', 'lm(', '100kV', 'Line']",False
5413,stop at CPCC Tate Tower,F cpcc_tate_tower,Charlotte #1,"error:['G', 'F', 'lm(', 'CPCC', 'Tower']",False
5414,make your way to Aspire,F aspire,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Aspire']",False
5415,make your way to Central Piedmont Community College,F central_piedmont_community_college,Charlotte #1,& F central_piedmont_community_college,False
5416,make sure you visit CPCC Tate Tower at least once,F cpcc_tate_tower,Charlotte #1,"error:['F', 'F', 'lm(']",False
5417,make sure you visit CPCC Citizens Center at least once,F cpcc_citizens_center,Charlotte #1,"error:['F', 'F', 'lm(']",False
5418,walk to Little Sugar Creek,F little_sugar_creek,Charlotte #1,"error:['F', 'lm(', 'Little', 'Sugar']",False
5419,walk to Halton Theatre,F halton_theatre,Charlotte #1,F halton_theatre,True
5420,head to CPCC Citizens Center,F cpcc_citizens_center,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Citizens', 'Center', ')lm']",False
5421,head to CPCC Worrell,F cpcc_worrell,Charlotte #1,"error:['F', 'lm(', 'lm(', 'CPCC']",False
5422,visit CPCC Terrell and CPCC Worrell,& F cpcc_terrell F cpcc_worrell,Charlotte #1,& F cpcc_central_high,False
5423,visit CPCC Overcash - Arts Wing and CPCC Giles Science Center,& F cpcc_overcash_-_arts_wing F cpcc_giles_science_center,Charlotte #1,"error:['&', 'F', 'lm(', 'lm(', 'Overcash', '-', 'Arts', 'Center', ')lm', 'G', 'F', 'lm(', 'lm(', 'Center', ')lm']",False
5424,visit CPCC Tate Tower and Halton Theatre,& F halton_theatre F cpcc_tate_tower,Charlotte #1,& F cpcc_pease_auditorium F cpcc_pease_auditorium,False
5425,visit CPCC Kratt and CPCC Sloan-Morgan,& F cpcc_sloan-morgan F cpcc_kratt,Charlotte #1,& F cpcc_central_high,False
5426,sometime along the way go to CPCC Overcash and CPCC Health Careers,& F cpcc_overcash F cpcc_health_careers,Charlotte #1,& F cpcc_overcash,False
5427,sometime along the way go to CPCC Central High and Independence Park,& F cpcc_central_high F independence_park,Charlotte #1,& F cpcc_central_high F F independence_park,False
5428,eventually reach CPCC Central High and CPCC Worrell,& F cpcc_central_high F cpcc_worrell,Charlotte #1,& F cpcc_central_high,False
5429,eventually reach CPCC Pease Auditorium and Central Piedmont Community College,& F cpcc_pease_auditorium F central_piedmont_community_college,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Pease', ')lm', 'F', 'F', 'lm(', 'College', ')lm', ')lm']",False
5430,visit Halton Theatre and 100kV Transmission Line in any order,& F halton_theatre F 100kv_transmission_line,Charlotte #1,"error:['&', 'F', 'lm(', 'Halton', 'Theatre', ')lm', 'F', 'lm(', 'lm(', 'Line', ')lm']",False
5431,visit CPCC Health Careers and CPCC Central High in any order,& F cpcc_health_careers F cpcc_central_high,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Careers', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'High', ')lm']",False
5432,go to CPCC Tate Tower and CPCC Health Careers in any order,& F cpcc_tate_tower F cpcc_health_careers,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Tate', ')lm', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm']",False
5433,go to CPCC Overcash - Arts Wing and CPCC Sloan-Morgan in any order,& F cpcc_overcash_-_arts_wing F cpcc_sloan-morgan,Charlotte #1,"error:['&', 'F', 'lm(', 'Overcash', 'Overcash', '-', 'Arts', 'Wing', ')lm', 'F', 'lm(', 'lm(', 'Sloan-Morgan', ')lm']",False
5434,move to CPCC Overcash and CPCC Worrell in any order,& F cpcc_overcash F cpcc_worrell,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Overcash', ')lm', ')lm', 'F', 'lm(', 'Worrell', 'Worrell', ')lm']",False
5435,move to Halton Theatre and CPCC in any order,& F halton_theatre F cpcc,Charlotte #1,& F halton_theatre,False
5436,reach CPCC Advanced Technology Center and CPCC Terrell in any order,& F cpcc_advanced_technology_center F cpcc_terrell,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Advanced', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Terrell', ')lm']",False
