train_or_valid,pattern_type,nprops,utterances,true_ltl,output_ltl,is_correct
valid,visit,1,visit a,F a,& & & & & & & &,Syntax Error
valid,visit,1,reach a,F a,& & & & & & & &,Syntax Error
valid,visit,1,eventually you must go to a,F a,& & & & & & F b & F b &,Syntax Error
valid,visit,2,visit a and b,& F a F b,& & & & & F b & F b,Syntax Error
valid,visit,2,visit b and a,& F a F b,& & & & & & F b & F,Syntax Error
valid,visit,2,sometime along the way go to a and b,& F a F b,& & & & & & F b & F b & F b &,Syntax Error
valid,visit,2,eventually reach a and b,& F a F b,& & & & & & & & & & &,Syntax Error
valid,visit,3,go to a b and c,& F a & F b F c,& & & & & F b F & F b &,Syntax Error
valid,visit,3,visit c a and b in no specific order,& F a & F b F c,& & & & F b F b F F b F b & F,Syntax Error
valid,visit,3,eventually reach a c and b,& F a & F b F c,& & & & & & & & & & & &,Syntax Error
valid,visit,4,visit b a c and d,& F a & F b & F c F d,& & & & & & & & & & & &,Syntax Error
valid,visit,4,go to four locations a b d and c,& F a & F b & F c F d,& & & & & & & & & & & & & & &,Syntax Error
valid,visit,4,in no particular order visit a b c and d,& F a & F b & F c F d,& & & & & & & & & & & & & & U F,Syntax Error
valid,visit,5,visit a b c d and h,& F a & F b & F c & F d F h,& & & & & & & & & & & & &,Syntax Error
valid,visit,5,sometime visit a c b h and d,& F a & F b & F c & F d F h,& & & & & & & & & & & & & &,Syntax Error
valid,visit,5,eventually go visit a b h d and c,& F a & F b & F c & F d F h,& & & & & & F b & F b & F b &,Syntax Error
valid,visit,5,go to a b c d and h,& F a & F b & F c & F d F h,& & & & & & & & & & & U F b,Syntax Error
valid,visit,1,move to a,F a,& & & & & U b b F,Syntax Error
valid,visit,1,go to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,reach a,F a,& & & & & & & &,Syntax Error
valid,visit,1,navigate to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,find a,F a,& & & & & & b b,Syntax Error
valid,visit,2,visit a and b in any order,& F a F b,& & & & & F & F & F & F &,Syntax Error
valid,visit,2,go to a and b in any order,& F a F b,& & & & F & F & F & F & F &,Syntax Error
valid,visit,2,move to a and b in any order,& F a F b,& & & & F & F & F & F & F &,Syntax Error
valid,visit,2,reach a and b in any order,& F a F b,& & & & & F & F & F & F &,Syntax Error
valid,visit,2,go to a then go to b or go to b then go to a,& F a F b,& & & & & U F & F & U F b & U F b & U F b,Syntax Error
valid,patrolling,1,keep visiting a,G F a,& & & & & & & & &,Syntax Error
valid,patrolling,1,go to a an infinite number of times,G F a,& & & & & & & & & & b b & b,Syntax Error
valid,patrolling,1,continue moving to a,G F a,& & & & & & & & & &,Syntax Error
valid,patrolling,1,do not stop visiting a,G F a,& & & & & & U b b b b,Syntax Error
valid,patrolling,1,do not stop going to a,G F a,& & & & & & & & & U b b,Syntax Error
valid,patrolling,1,please visit a infinitely often,G F a,& & & & & & & & & & &,Syntax Error
valid,patrolling,1,you must visit a infinitely often,G F a,& & & & & & & & & & & &,Syntax Error
valid,visit,3,head to a b and c in any order,& F a & F b F c,& & & & & & & & & & & & & & &,Syntax Error
valid,visit,3,in any order you like go to a b and c,& F a & F b F c,& & & & & F & F & F b & F & F & F,Syntax Error
valid,visit,3,visit a b and c in any order,& F a & F b F c,& & & & & & F & F & F & & &,Syntax Error
valid,visit,3,walk to a b and c in an arbitrary order,& F a & F b F c,& & & & & & F & F & F b & & F &,Syntax Error
valid,visit,3,make sure a b and c are all visited,& F a & F b F c,& & & & & & & & & & U b & U F,Syntax Error
valid,patrolling,2,keep visiting a and b in any order,& G F a G F b,& & & & U F & F & F & U F &,Syntax Error
valid,patrolling,2,make sure a and b are visited infinitely,& G F a G F b,& & & & & & & & & & U F b &,Syntax Error
valid,patrolling,2,do not stop visiting a and b,& G F a G F b,& & & & U b & U b & U b &,Syntax Error
valid,patrolling,2,frequent a and b but the order can be arbitrary,& G F a G F b,& & & & U b & F b & F b & U F b,Syntax Error
valid,patrolling,2,pick one from a and b and go there and then go back and forth between a and b with or without stay,& G F a G F b,& & & & U & U F b & U F b & U & U F b & U F d U U ! b & U,Syntax Error
valid,visit,3,go to a b and c in any order,& F a & F b F c,& & & & F & F & F & F & & & &,Syntax Error
valid,visit,3,make sure a b and c are all visited,& F a & F b F c,& & & & & & & & & & U b & U F,Syntax Error
valid,visit,3,do not stop until a b and c are visited,& F a & F b F c,& & & & U b b & U F b & U b & U,Syntax Error
valid,visit,3,a b and c must be visited,& F a & F b F c,& & & & & & & & & & & & &,Syntax Error
valid,visit,3,visit a b and c in arbitrary order,& F a & F b F c,& & & & & F & F & F & F & &,Syntax Error
valid,visit,2,make sure both a and b are visited,& F a F b,& & & & F b & F b F b & F b,Syntax Error
valid,visit,2,visit a and b in any order,& F a F b,& & & & & F & F & F & F &,Syntax Error
valid,visit,2,pick one from a and b go there and then head to the other one,& F a F b,& & & & & & & & U F b & U F b & U F b F b,Syntax Error
valid,visit,2,go to one of a and b and then to the other,& F a F b,& & & & U F b & F b & U F b & U F b,Syntax Error
