,nl_command,ltl,map_name,result,eq
2904,go to Surfer the Bar,F surfer_the_bar,Jacksonville #1,"error:['F', 'lm(', 'Surfer', 'Surfer', 'the']",False
2905,go to SeaWalk Pavillion,F seawalk_pavillion,Jacksonville #1,F seawalk_pavillion,True
2906,please go to Beachside Resortwear,F beachside_resortwear,Jacksonville #1,"error:['F', 'lm(', 'lm(', 'Beachside', ')lm']",False
2907,please go to Walgreens,F walgreens,Jacksonville #1,F walgreens,True
2908,visit Texaco,F texaco,Jacksonville #1,F texaco,True
2909,visit Campeche Bay Mexican Restaurant,F campeche_bay_mexican_restaurant,Jacksonville #1,"error:['G', 'lm(', 'lm(', 'Bay', 'Restaurant', ')lm']",False
2910,make your way to Campeche Bay Mexican Restaurant,F campeche_bay_mexican_restaurant,Jacksonville #1,"error:['F', 'lm(', 'lm(', 'your', 'Restaurant', ')lm']",False
2911,make your way to Beachside Resortwear,F beachside_resortwear,Jacksonville #1,F beachside_resortwear,True
2912,find Seawalk Hotel and Spa,F seawalk_hotel_and_spa,Jacksonville #1,"error:['F', 'lm(', 'lm(', 'Seawalk', 'Hotel', ')lm']",False
2913,find Picasso Day Spa & Salon,F picasso_day_spa_&_salon,Jacksonville #1,"error:['F', '&', 'lm(', 'Picasso', 'Day', ')lm', 'F', 'lm(', 'lm(', '&', ')lm']",False
2914,reach Carrabba's Italian Grill,F carrabba's_italian_grill,Jacksonville #1,F carrabba's_italian_grill,True
2915,reach Jacksonville Beach City Hall,F jacksonville_beach_city_hall,Jacksonville #1,"error:['F', 'lm(', 'lm(', 'Jacksonville', 'Beach', ')lm']",False
2916,go to Campeche Bay Mexican Restaurant then go to Jacksonville Beach City Hall or go to Jacksonville Beach City Hall then go to Campeche Bay Mexican Restaurant,& F campeche_bay_mexican_restaurant F jacksonville_beach_city_hall,Jacksonville #1,"error:['F', '&', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'Jacksonville', 'Jacksonville', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Jacksonville', 'lm(', ')lm', 'Restaurant', ')lm']",False
2917,go to Jacksonville Beach Patrol then go to Jacksonville Beach City Hall or go to Jacksonville Beach City Hall then go to Jacksonville Beach Patrol,& F jacksonville_beach_patrol F jacksonville_beach_city_hall,Jacksonville #1,"error:['F', '&', 'lm(', 'lm(', 'Beach', ')lm', ')lm', '&', 'lm(', 'lm(', 'Jacksonville', 'Jacksonville', 'Beach', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Jacksonville', ')lm', ')lm', ')lm', 'lm(', 'lm(']",False
2918,go to Campeche Bay Mexican Restaurant and Surfer the Bar in an arbitrary order,& F campeche_bay_mexican_restaurant F surfer_the_bar,Jacksonville #1,"error:['G', 'F', 'lm(', 'lm(', 'Bay', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'Surfer', 'the', 'Restaurant', ')lm']",False
2919,go to Beachside Resortwear and Wells Fargo in an arbitrary order,& F beachside_resortwear F wells_fargo,Jacksonville #1,G F beachside_resortwear,False
2920,make sure both Sneakers Sports Grille and Wells Fargo are visited,& F sneakers_sports_grille F wells_fargo,Jacksonville #1,"error:['G', 'F', 'lm(', 'both', ')lm', 'F', 'F', 'lm(', 'Wells', 'lm(', ')lm']",False
2921,make sure both Sneakers Sports Grille and Four Points by Sheraton Jacksonville Beachfront are visited,& F sneakers_sports_grille F four_points_by_sheraton_jacksonville_beachfront,Jacksonville #1,F & four_points_by_sheraton_jacksonville_beachfront F F four_points_by_sheraton_jacksonville_beachfront,False
2922,stop by Latham Plaza and Texaco,& F latham_plaza F texaco,Jacksonville #1,F latham_plaza,False
2923,stop by Sneakers Sports Grille and Carrabba's Italian Grill,& F sneakers_sports_grille F carrabba's_italian_grill,Jacksonville #1,F & sneakers_sports_grille F F seawalk_hotel_and_spa,False
2924,visit Seawalk Pavilion and Seawalk Hotel and Spa,& F seawalk_pavilion F seawalk_hotel_and_spa,Jacksonville #1,& F picasso_day_spa_&_salon F F seawalk_hotel_and_spa,False
2925,visit Seawalk Hotel and Spa and Latham Plaza,& F seawalk_hotel_and_spa F latham_plaza,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'F', 'F', 'F', 'lm(', 'and', 'lm(', ')lm']",False
2926,pick one from Texaco and Beachside Resortwear go there and then head to the other one,& F texaco F beachside_resortwear,Jacksonville #1,"error:['G', 'e', 'lm(', 'lm(', ')lm', 'X', 'X', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm', '|', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', '|', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm']",False
2927,pick one from Walgreens and Jacksonville Beach City Hall go there and then head to the other one,& F walgreens F jacksonville_beach_city_hall,Jacksonville #1,"error:['G', 'e', 'lm(', 'pick', ')lm', 'X', 'X', 'lm(', 'lm(', 'lm(', 'City', ')lm', ')lm']",False
2928,go to Wells Fargo Blue Water Daiquiri & Oyster Bar and Carrabba's Italian Grill in any order,& F wells_fargo & F blue_water_daiquiri_&_oyster_bar F carrabba's_italian_grill,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'F', 'F', 'lm(', 'F', 'lm(', 'lm(', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F', 'F']",False
2929,go to Seawalk Hotel and Spa Surfer the Bar and Jacksonville Beach City Hall in any order,& F seawalk_hotel_and_spa & F surfer_the_bar F jacksonville_beach_city_hall,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', 'Hotel', ')lm', '&', 'F', 'lm(', 'lm(', 'F', 'the', ')lm', 'F', 'lm(', 'lm(', 'F', 'the', 'the', ')lm']",False
2930,find Walgreens Seawalk Hotel and Spa and Texaco,& F walgreens & F seawalk_hotel_and_spa F texaco,Jacksonville #1,"error:['&', 'F', 'lm(', 'Walgreens', 'Seawalk', ')lm', 'F', 'F', 'lm(', 'lm(', 'and', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
2931,find Beachside Resortwear Surfer the Bar and Zeta Brewing Company,& F beachside_resortwear & F surfer_the_bar F zeta_brewing_company,Jacksonville #1,"error:['&', 'F', 'lm(', 'Beachside', 'Resortwear', 'the', 'F', 'F', 'F', 'lm(', 'lm(', 'Surfer', 'the', ')lm', ')lm']",False
2932,go to Carrabba's Italian Grill Surfer the Bar and Seawalk Hotel and Spa,& F carrabba's_italian_grill & F surfer_the_bar F seawalk_hotel_and_spa,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', ')lm', 'the', 'F', ')lm', 'F', 'F', 'lm(', 'lm(', 'F', ')lm', 'F', 'F', 'lm(', 'F', 'the', 'the', ')lm']",False
2933,go to Picasso Day Spa & Salon Beachside Resortwear and Carrabba's Italian Grill,& F picasso_day_spa_&_salon & F beachside_resortwear F carrabba's_italian_grill,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F']",False
2934,stop by Jacksonville Beach Patrol Zeta Brewing Company and Seawalk Hotel and Spa in any order,& F jacksonville_beach_patrol & F zeta_brewing_company F seawalk_hotel_and_spa,Jacksonville #1,& F jacksonville_beach_patrol F F zeta_brewing_company F seawalk_hotel_and_spa,False
2935,stop by Jacksonville Beach Patrol Texaco and Campeche Bay Mexican Restaurant in any order,& F jacksonville_beach_patrol & F texaco F campeche_bay_mexican_restaurant,Jacksonville #1,& F jacksonville_beach_patrol F F texaco,False
2936,Sneakers Sports Grille Seawalk Pavilion and SeaWalk Pavillion must be visited,& F sneakers_sports_grille & F seawalk_pavilion F seawalk_pavillion,Jacksonville #1,"error:['&', 'G', '!', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'G', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
2937,Seawalk Hotel and Spa Jacksonville Beach Patrol and Surfer the Bar must be visited,& F seawalk_hotel_and_spa & F jacksonville_beach_patrol F surfer_the_bar,Jacksonville #1,"error:['&', 'G', '!', 'lm(', 'Hotel', ')lm', ')lm', 'G', 'G', 'lm(', 'lm(', 'Beach', 'Beach', ')lm', 'G', 'F', 'lm(', 'Surfer', 'lm(', 'the', ')lm']",False
2938,make sure Campeche Bay Mexican Restaurant Four Points by Sheraton Jacksonville Beachfront and Seawalk Hotel and Spa are all visited,& F campeche_bay_mexican_restaurant & F four_points_by_sheraton_jacksonville_beachfront F seawalk_hotel_and_spa,Jacksonville #1,"error:['F', '&', 'lm(', 'lm(', 'Bay', 'Restaurant', ')lm', 'F', '&', 'lm(', 'lm(', 'Four', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'F', ')lm', ')lm']",False
2939,make sure Public Parking Beachside Resortwear and Four Points by Sheraton Jacksonville Beachfront are all visited,& F public_parking & F beachside_resortwear F four_points_by_sheraton_jacksonville_beachfront,Jacksonville #1,"error:['F', '&', 'lm(', 'lm(', 'Parking', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', 'F', 'F', 'lm(', 'lm(', 'F', ')lm']",False
2940,move to Blue Water Daiquiri & Oyster Bar Zeta Brewing Company Latham Plaza and Texaco in any order,& F blue_water_daiquiri_&_oyster_bar & F zeta_brewing_company & F latham_plaza F texaco,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', 'Blue', ')lm', '&', ')lm', 'F', '&', 'lm(', 'Oyster', 'Oyster', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', ')lm']",False
2941,move to Zeta Brewing Company Public Parking Blue Water Daiquiri & Oyster Bar and Latham Plaza in any order,& F zeta_brewing_company & F public_parking & F blue_water_daiquiri_&_oyster_bar F latham_plaza,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', 'Zeta', ')lm', '&', 'F', 'F', 'lm(', 'Parking', 'Parking', 'Parking', 'F', 'F', 'lm(', 'lm(', 'F', 'lm(', ')lm', 'F', 'F', 'lm(', 'lm(', 'F', ')lm']",False
2942,make sure to visit SeaWalk Pavillion Texaco Seawalk Pavilion and Latham Plaza in any order,& F seawalk_pavillion & F texaco & F latham_plaza F seawalk_pavilion,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'Pavillion']",False
2943,make sure to visit Zeta Brewing Company Seawalk Pavilion SeaWalk Pavillion and Picasso Day Spa & Salon in any order,& F zeta_brewing_company & F seawalk_pavilion & F picasso_day_spa_&_salon F seawalk_pavillion,Jacksonville #1,"error:['&', 'F', 'lm(', 'lm(', 'Zeta', ')lm', '&', '&', 'F', 'lm(', 'Seawalk', 'Seawalk', 'Pavilion', ')lm', 'F', 'F', 'lm(', 'lm(', 'and', 'F', 'F', 'F', 'F', 'lm(', '&', ')lm']",False
2944,visit Carrabba's Italian Grill Campeche Bay Mexican Restaurant Surfer the Bar and Four Points by Sheraton Jacksonville Beachfront,& F campeche_bay_mexican_restaurant & F carrabba's_italian_grill & F surfer_the_bar F four_points_by_sheraton_jacksonville_beachfront,Jacksonville #1,"error:['&', '&', 'lm(', 'lm(', 'Italian', ')lm', 'F', '&', 'lm(', 'lm(', 'Bay', 'Restaurant', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'Surfer', 'the', ')lm', ')lm']",False
2945,visit Campeche Bay Mexican Restaurant Blue Water Daiquiri & Oyster Bar Sneakers Sports Grille and Seawalk Pavilion,& F blue_water_daiquiri_&_oyster_bar & F campeche_bay_mexican_restaurant & F sneakers_sports_grille F seawalk_pavilion,Jacksonville #1,"error:['&', 'F', 'F', 'lm(', 'Bay', ')lm', 'Restaurant', ')lm', 'F', 'F', 'lm(', 'lm(', 'Restaurant', ')lm', '&', 'F', '&', 'lm(', 'F', 'lm(', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F', 'F', 'F']",False
2946,travel to Four Points by Sheraton Jacksonville Beachfront Carrabba's Italian Grill Texaco and Picasso Day Spa & Salon,& F four_points_by_sheraton_jacksonville_beachfront & F carrabba's_italian_grill & F texaco F picasso_day_spa_&_salon,Jacksonville #1,"error:['F', '&', 'lm(', 'Four', ')lm', ')lm', 'F', '&', 'lm(', 'lm(', 'Beachfront', 'Beachfront', ')lm', 'F', '&', 'lm(', 'lm(', 'lm(', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
2947,travel to Seawalk Pavilion Picasso Day Spa & Salon SeaWalk Pavillion and Latham Plaza,& F seawalk_pavilion & F picasso_day_spa_&_salon & F seawalk_pavillion F latham_plaza,Jacksonville #1,"error:['F', '&', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', '&', 'lm(', 'lm(', 'lm(', 'F', 'lm(', 'lm(', 'lm(', 'F', 'F']",False
