train_or_valid,pattern_type,nprops,utterances,true_ltl,output_ltl,is_correct
valid,visit,1,visit a,F a,F a,True
valid,visit,1,approach a,F a,F a,True
valid,visit,1,visit a,F a,F a,True
valid,visit,1,reach a,F a,F a,True
valid,visit,1,go to a,F a,F a,True
valid,visit,2,visit a and b,& F a F b,& F a F b,True
valid,visit,2,go to a and b in an arbitrary order,& F a F b,& F a F b,True
valid,visit,2,go to a then go to b or go to b then go to a,& F a F b,F & a F b,False
valid,visit,2,visit b and a,& F a F b,& F a F b,True
valid,visit,2,visit a and b,& F a F b,& F a F b,True
valid,visit,3,go to a b and c in any order,& F a & F b F c,& F a & F b F c,True
valid,visit,3,find a b and c,& F a & F b F c,& F a & F b F c,True
valid,visit,3,go to a b and c,& F a & F b F c,& F a & F b F c,True
valid,visit,3,stop by abc in any order,& F a & F b F c,& F a & F b F c,True
valid,visit,3,a b and c must be visited,& F a & F b F c,& F a & F b F c,True
valid,visit,3,make sure a b and c are all visited,& F a & F b F c,& F a & F b F c,True
valid,visit,4,visit b a c and d,& F a & F b & F c F d,& F a & F b & F c F d,True
valid,visit,4,visit a go to b reach c reach d,& F a & F b & F c F d,& F a & F b & F c F d,True
valid,visit,4,do not stop until a b c and d are all visited,& F a & F b & F c F d,& F a & F b & F c F d,True
valid,visit,4,go to four locations a b d and c,& F a & F b & F c F d,& F a & F b & F c F d,True
valid,visit,5,go to a b c d and h in arbitrary order,& F a & F b & F c & F d F h,& F a & F b & F c & F d F h,True
valid,visit,5,make sure a b c d and h are all visited,& F a & F b & F c & F d F h,& F a & F b & F c & F d F h,True
valid,visit,5,visit a b c d and h,& F a & F b & F c & F d F h,& F a & F b & F c & F d F,Syntax Error
valid,sequenced_visit,2,eventually first visit a and then b after,F & a F b,F & a F b,True
valid,sequenced_visit,2,visit a and then b,F & a F b,F & a F b,True
valid,sequenced_visit,2,visit a and visit b after a is visited,F & a F b,F & a F b,True
valid,sequenced_visit,2,find a first then find b,F & a F b,F & a F b,True
valid,sequenced_visit,3,visit a sometime afterwards visit b sometime afterwards visit c,F & a F & b F c,F & a F & b F c,True
valid,sequenced_visit,3,in some sequence visit a b and c in that order,F & a F & b F c,F & a F & b F c,True
valid,sequenced_visit,3,make your way to a b and c consecutively,F & a F & b F c,& F a & F b F c,False
valid,sequenced_visit,3,visit b at least once after going to a and visit c at least once after going to b,F & a F & b F c,F & a F & b F c,True
valid,sequenced_visit,4,make sure a b c and d are all visited in this order,F & a F & b F & c F d,& F a & F b & F c F d,False
valid,sequenced_visit,4,head to a and then to b after a is visited and then to c after b is visited and then to d after c is visited,F & a F & b F & c F d,F & a F & b F & c F d,True
valid,sequenced_visit,4,eventually in some sequence visit a b c and d each must be followed by the next,F & a F & b F & c F d,& F a & F b & F c F d,False
