,nl_command,ltl,map_name,result,eq
0,visit Dumpling Cafe.,F dumpling_cafe,Boston,F dumpling_cafe,True
1,approach Empire Garden Restaurant.,F empire_garden_restaurant,Boston,"error:['F', 'lm(', 'lm(', 'Empire', 'Garden', 'Sandwich']",False
2,visit Dumpling Cafe.,F dumpling_cafe,Boston,F dumpling_cafe,True
3,reach Massachusetts State Transportation Building.,F massachusetts_state_transportation_building,Boston,F massachusetts_state_transportation_building,True
4,go to Citi Performing Arts Center.,F citi_performing_arts_center,Boston,"error:['F', 'F', 'lm(', 'Citi', 'Performing', 'Arts', ')lm', ')lm', 'F', 'lm(', 'Citibank', 'Performing', 'Arts', 'cafe', ')lm']",False
5,visit Dumpling Cafe and Massachusetts State Transportation Building.,& F dumpling_cafe F massachusetts_state_transportation_building,Boston,& F dumpling_cafe F massachusetts_state_transportation_building,True
6,go to Empire Garden Restaurant and Tremont and Stuart Streets in an arbitrary order.,& F empire_garden_restaurant F tremont_and_stuart_streets,Boston,& F empire_garden_restaurant F empire_garden_restaurant F tremont_and_stuart_streets,False
7,go to Dumpling Cafe then go to Citibank or go to Citibank then go to Dumpling Cafe.,& F dumpling_cafe F citibank,Boston,F & dumpling_cafe F citibank,False
8,visit Tufts University School of Medicine and Massachusetts State Transportation Building.,& F massachusetts_state_transportation_building F tufts_university_school_of_medicine,Boston,& F tufts_university_school_of_medicine F massachusetts_state_transportation_building,False
9,visit Citi Performing Arts Center and Tremont and Stuart Streets.,& F citi_performing_arts_center F tremont_and_stuart_streets,Boston,& F citi_performing_arts_center F tremont_and_stuart_streets,True
10,"go to Dumpling Cafe , Massachusetts State Transportation Building , and Wang Theater in any order.",& F dumpling_cafe & F massachusetts_state_transportation_building F wang_theater,Boston,& F dumpling_cafe & F massachusetts_state_transportation_building F wang_theater,True
11,"find Empire Garden Restaurant , Tremont and Stuart Streets , and Joy Luck Hot Pot.",& F empire_garden_restaurant & F tremont_and_stuart_streets F joy_luck_hot_pot,Boston,& F empire_garden_restaurant F joy_luck_hot_pot,False
12,"go to Dumpling Cafe , Citibank , and Kneeland St @ Washington St.",& F dumpling_cafe & F citibank F kneeland_st_@_washington_st,Boston,& F dumpling_cafe & F citibank F kneeland_st_@_washington_st,True
