train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,visit,2,"['a', 'b']",visit a and b,& F a F b,& F a & F b F c,False
valid,visit,2,"['a', 'c']",visit a and c,& F a F c,& F a & F c F d,False
valid,visit,2,"['a', 'd']",visit a and d,& F a F d,& F a & F d F h,False
valid,visit,2,"['a', 'h']",visit a and h,& F a F h,& F a & F h F d,False
valid,visit,2,"['b', 'a']",visit b and a,& F b F a,& F b & F a F d,False
valid,visit,2,"['b', 'c']",visit b and c,& F b F c,& F b & F c F d,False
valid,visit,2,"['b', 'd']",visit b and d,& F b F d,& F b & F d F c,False
valid,visit,2,"['b', 'h']",visit b and h,& F b F h,& F b & F h F c,False
valid,visit,2,"['c', 'a']",visit c and a,& F c F a,& F c & F a F d,False
valid,visit,2,"['c', 'b']",visit c and b,& F c F b,& F c & F b F d,False
valid,visit,2,"['c', 'd']",visit c and d,& F c F d,& F c & F d F a,False
valid,visit,2,"['c', 'h']",visit c and h,& F c F h,& F c & F h F d,False
valid,visit,2,"['d', 'a']",visit d and a,& F d F a,& F d & F a F d,True
valid,visit,2,"['d', 'b']",visit d and b,& F d F b,& F d & F b F h,False
valid,visit,2,"['d', 'c']",visit d and c,& F d F c,& F d & F c F d,True
valid,visit,2,"['d', 'h']",visit d and h,& F d F h,& F d & F h F d,True
valid,visit,2,"['h', 'a']",visit h and a,& F h F a,& F h & F a F d,False
valid,visit,2,"['h', 'b']",visit h and b,& F h F b,& F h & F b F d,False
valid,visit,2,"['h', 'c']",visit h and c,& F h F c,& F h & F c F d,False
valid,visit,2,"['h', 'd']",visit h and d,& F h F d,& F h & F d F a,False
valid,visit,2,"['a', 'b']",visit b and a,& F a F b,& F b & F a F d,False
valid,visit,2,"['a', 'c']",visit c and a,& F a F c,& F c & F a F d,False
valid,visit,2,"['a', 'd']",visit d and a,& F a F d,& F d & F a F d,True
valid,visit,2,"['a', 'h']",visit h and a,& F a F h,& F h & F a F d,False
valid,visit,2,"['b', 'a']",visit a and b,& F b F a,& F a & F b F c,False
valid,visit,2,"['b', 'c']",visit c and b,& F b F c,& F c & F b F d,False
valid,visit,2,"['b', 'd']",visit d and b,& F b F d,& F d & F b F h,False
valid,visit,2,"['b', 'h']",visit h and b,& F b F h,& F h & F b F d,False
valid,visit,2,"['c', 'a']",visit a and c,& F c F a,& F a & F c F d,False
valid,visit,2,"['c', 'b']",visit b and c,& F c F b,& F b & F c F d,False
valid,visit,2,"['c', 'd']",visit d and c,& F c F d,& F d & F c F d,True
valid,visit,2,"['c', 'h']",visit h and c,& F c F h,& F h & F c F d,False
valid,visit,2,"['d', 'a']",visit a and d,& F d F a,& F a & F d F h,False
valid,visit,2,"['d', 'b']",visit b and d,& F d F b,& F b & F d F c,False
