Pattern Type,NProps,Utterance,True LTL,Out LTL,Accuracy
visit,1,Avoid Big 5 Sporting Goods while on your way to Robeks Juice,F dominos,U ! ace_hardware kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Go around Big 5 Sporting Goods and go to Robeks Juice.,F dominos,& F ace_hardware F kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Navigate to Robeks Juice and avoid Big 5 Sporting Goods,F dominos,& U ! ace_hardware kanellos_shoe_repair F kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Go around Big 5 on your route to Robek's Juice,F dominos,F edward_jones,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Make a half loop around Big 5 Sporting Goods and head straight to Robek's Juice.,F dominos,F & ace_hardware F kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Proceed to Robeks Juice while avoiding Big 5 Sporting Goods,F dominos,& U ! ace_hardware kanellos_shoe_repair F kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Take a detour around Big 5 Sporting Goods on the way to Robeks Juice.,F dominos,F & ace_hardware U kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",Syntax Error
visit,1,Go right around Big S Sporting Goods and the Juice Shop.,F dominos,& G F kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",Syntax Error
visit,1,Go to Robeks Juice while avoiding Big 5 Sporting Goods along the way.,F dominos,& U ! ace_hardware kanellos_shoe_repair F ace_hardware,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
visit,1,Bypass Big 5 as you enter the juice shop.,F dominos,U ! edward_jones kanellos_shoe_repair,"[{'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a'}, {'Kanellos Shoe Repair': 'a', 'Ace Hardware': 'b'}, {'Kanellos Shoe Repair': 'a', 'Edward Jones': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Kanellos Shoe Repair': 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b'}, {""Domino's"": 'a', 'Lee Nails': 'b', ""My Sister's Closet"": 'c'}, {""Domino's"": 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}, {'Lee Nails': 'a', ""My Sister's Closet"": 'b'}]",False
