,nl_command,ltl,map_name,result,eq
6328,visit COS sathya sai SUNY State College of Optometry Cafe Metro and Wine & Spirits,& F cos & F sathya_sai & F suny_state_college_of_optometry & F cafe_metro F wine_&_spirits,New York #2,"error:['&', 'F', 'lm(', 'COS', 'State', ')lm', '&', 'F', 'lm(', 'lm(', 'State', 'State', 'of', 'Optometry', ')lm', 'F', 'lm(', 'lm(', 'Wine', 'Wine', ')lm']",False
6329,visit Cafe Metro W. R. Grace Building Elite Bureau Club V.I.P. The Forefront Law Group and sathya sai,& F cafe_metro & F w._r._grace_building & F elite_bureau_club_v.i.p. & F the_forefront_law_group F sathya_sai,New York #2,& F w_42_st_/_5_av,False
6330,sometime visit Urban Outfitters Wine & Spirits Chabad of Midtown Manhattan Lefcourt National Building and Alden Shoes,& F urban_outfitters & F chabad_of_midtown_manhattan & F wine_&_spirits & F alden_shoes F lefcourt_national_building,New York #2,& F urban_outfitters & F chabad_of_midtown_manhattan & F lefcourt_national_building,False
6331,sometime visit East 42nd Street & Madison Avenue Chase Sean John Starbucks and SUNY State College of Optometry,& F east_42nd_street_&_madison_avenue & F sean_john & F chase & F suny_state_college_of_optometry F starbucks,New York #2,"error:['&', 'F', 'lm(', 'East', '42nd', ')lm', '&', 'F', 'lm(', 'Avenue', 'Avenue', ')lm', '&', 'F', 'lm(', 'Starbucks', 'State', 'of', 'of', ')lm', ')lm']",False
6332,eventually go visit The Forefront Law Group 505 Fifth Avenue COS Salmon Tower and Cheap Car Lease NYC,& F the_forefront_law_group & F 505_fifth_avenue & F cheap_car_lease_nyc & F salmon_tower F cos,New York #2,"error:['&', 'F', 'lm(', 'The', 'Forefront', ')lm', '&', 'F', 'lm(', 'lm(', 'St', ')lm', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', '505', '505', ')lm']",False
6333,eventually go visit Inner Enlightenment Spiritist Society Sean John Alden Shoes Gertrude Stein and Madison Avenue & East 42nd Street,& F inner_enlightenment_spiritist_society & F sean_john & F madison_avenue_&_east_42nd_street & F gertrude_stein F alden_shoes,New York #2,"error:['&', 'F', '!', 'lm(', 'Inner', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
6334,go to M&T Bank The Forefront Law Group Sperry & Hutchinson Building Salmon Tower and Zara,& F m&t_bank & F the_forefront_law_group & F sperry_&_hutchinson_building & F salmon_tower F zara,New York #2,& F the_forefront_law_group & F unification_church_headquarters & F unification_church_headquarters,False
6335,go to Salmon Tower M&T Bank Sean John Bryant Park Grill and Lefcourt National Building,& F salmon_tower & F m&t_bank & F sean_john & F bryant_park_grill F lefcourt_national_building,New York #2,"error:['&', 'F', 'lm(', 'Salmon', 'Tower', ')lm', '&', 'F', 'lm(', 'lm(', 'Park', ')lm', 'F', 'F', 'lm(', 'lm(', 'Building', ')lm', ')lm']",False
6336,go to Gertrude Stein go to Sperry & Hutchinson Building go to COS go to Inner Enlightenment Spiritist Society go to PNC Bank,& F gertrude_stein & F sperry_&_hutchinson_building & F cos & F inner_enlightenment_spiritist_society F pnc_bank,New York #2,& F gertrude_stein F & unification_church_headquarters F F inner_enlightenment_spiritist_society,False
6337,go to Lefcourt National Building go to Bryant Park go to Pret A Manger go to New York Public Library go to COS,& F lefcourt_national_building & F bryant_park & F pret_a_manger & F new_york_public_library F cos,New York #2,& F unification_church_headquarters F & bryant_park F F new_york_public_library F new_york_public_library,False
6338,visit SUNY State College of Optometry Chase Cafe Metro Lefcourt National Building Fila in any order required,& F suny_state_college_of_optometry & F chase & F cafe_metro & F lefcourt_national_building F fila,New York #2,"error:['&', 'F', 'lm(', 'SUNY', 'State', 'College', 'of', 'College', ')lm', '&', 'F', 'lm(', 'Chase', 'Cafe', ')lm', 'F', 'F', 'lm(', 'National', 'Building', ')lm', 'F', 'lm(', 'lm(']",False
6339,visit Bryant Park Grill Pret A Manger Bryant Park Elite Bureau Club V.I.P. Cafe Metro in any order required,& F bryant_park_grill & F pret_a_manger & F bryant_park & F elite_bureau_club_v.i.p. F cafe_metro,New York #2,"error:['&', 'F', 'lm(', 'Bryant', 'Park', ')lm', '&', 'F', 'lm(', 'Pret', 'Park', ')lm', '&', 'F', 'lm(', 'Elite', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'Cafe', ')lm']",False
