,nl_command,ltl,map_name,result,eq
7840,visit Purple Lot,F purple_lot,Houston,"error:['F', 'lm(', 'lm(', 'Lot']",False
7841,visit North Kirby Lot,F north_kirby_lot,Houston,"error:['F', 'lm(', 'lm(', 'Kirby']",False
7842,reach Glazed the Doughnut Cafe,F glazed_the_doughnut_cafe,Houston,F glazed_the_doughnut_cafe,True
7843,reach The UPS Store,F the_ups_store,Houston,F the_ups_store,True
7844,eventually you must go to Texas Medical Center,F texas_medical_center,Houston,"error:['F', 'lm(', 'lm(', 'Medical', 'Center', ')lm']",False
7845,eventually you must go to Domain at Kirby,F domain_at_kirby,Houston,"error:['F', 'lm(', 'lm(', 'Domain']",False
7846,move to Domain at Kirby,F domain_at_kirby,Houston,"error:['G', 'lm(', 'lm(', 'Domain']",False
7847,move to Viet's Express,F viet's_express,Houston,"error:['F', 'lm(', 'lm(', 'Express']",False
7848,go to SpringHill Suites Houston Medical Center/NRG Park,F springhill_suites_houston_medical_center/nrg_park,Houston,"error:['&', 'F', 'lm(', 'SpringHill', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm']",False
7849,go to TGF Hair Salon,F tgf_hair_salon,Houston,"error:['&', 'lm(', 'lm(', 'TGF']",False
7850,navigate to Fiesta,F fiesta,Houston,"error:['F', 'lm(', 'Fiesta']",False
7851,navigate to Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby,F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby,Houston,& F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby )lm F five_guys lm( extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby,False
7852,find Antone's Import Co.,F antone's_import_co.,Houston,"error:['F', 'lm(', 'lm(', ""Antone's"", 'Co.', ')lm']",False
7853,find Office Depot,F office_depot,Houston,F office_depot,True
7854,approach Antone's Import Co.,F antone's_import_co.,Houston,F antone's_import_co.,True
7855,approach Capital One Bank,F capital_one_bank,Houston,"error:['F', 'lm(', 'Capital', 'One']",False
7856,stop by Freebirds World Burrito,F freebirds_world_burrito,Houston,"error:['F', 'lm(', 'Freebirds', 'World']",False
7857,stop by Taco Cabana,F taco_cabana,Houston,"error:['F', 'lm(', 'Taco', 'Cabana']",False
7858,please go to Viet's Express,F viet's_express,Houston,"error:['F', 'lm(', 'lm(', ""Viet's""]",False
7859,please go to Taco Cabana,F taco_cabana,Houston,"error:['F', 'lm(', 'lm(', 'Taco']",False
7860,travel to Royal Nails & Spa,F royal_nails_&_spa,Houston,& F royal_nails_&_spa,False
7861,travel to SpringHill Suites Houston Medical Center/NRG Park,F springhill_suites_houston_medical_center/nrg_park,Houston,"error:['&', 'F', 'lm(', 'SpringHill', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm']",False
7862,stop at Infinite Smiles Family Dentistry,F infinite_smiles_family_dentistry,Houston,G F infinite_smiles_family_dentistry,False
7863,stop at Catfish Station,F catfish_station,Houston,"error:['G', 'F', 'lm(']",False
7864,make your way to Purple Lot,F purple_lot,Houston,"error:['F', 'lm(', 'lm(', 'Purple']",False
7865,make your way to The UPS Store,F the_ups_store,Houston,F the_ups_store,True
7866,make sure you visit Catfish Station at least once,F catfish_station,Houston,"error:['F', 'U', 'lm(']",False
7867,make sure you visit Freebirds World Burrito at least once,F freebirds_world_burrito,Houston,"error:['F', 'F', 'lm(']",False
7868,walk to Glazed the Doughnut Cafe,F glazed_the_doughnut_cafe,Houston,F glazed_the_doughnut_cafe,True
7869,walk to Capital One Bank,F capital_one_bank,Houston,"error:['F', 'lm(', 'Capital', 'One']",False
7870,head to Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby,F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby,Houston,"error:['&', 'F', 'lm(', 'Extended', 'America', '-', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Park', '-', '-', 'Park', ')lm']",False
7871,head to GameStop,F gamestop,Houston,"error:['F', 'lm(', 'lm(', 'GameStop']",False
7872,visit Walgreens Pharmacy and TGF Hair Salon,& F walgreens_pharmacy F tgf_hair_salon,Houston,& F big_lots,False
7873,visit Domain at Kirby and PetSmart,& F domain_at_kirby F petsmart,Houston,& F domain_at_kirby,False
7874,visit Bank of America Financial Center and Olive Garden,& F olive_garden F bank_of_america_financial_center,Houston,"error:['&', 'F', 'lm(', 'Bank', 'Garden', 'of', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Garden', ')lm']",False
7875,visit Walgreens Pharmacy and Pizza Hut,& F pizza_hut F walgreens_pharmacy,Houston,& F pizza_hut,False
7876,sometime along the way go to Five Guys and Akashi Asian Sushi Cuisine & Wine Bar,& F five_guys F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', 'F', 'lm(', 'Five', 'Guys', ')lm', '&', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', 'F', 'lm(']",False
7877,sometime along the way go to Akashi Asian Sushi Cuisine & Wine Bar and Big Lots,& F akashi_asian_sushi_cuisine_&_wine_bar F big_lots,Houston,"error:['&', 'F', 'lm(', 'lm(', 'Akashi', ')lm', ')lm', '&', 'F', 'F', 'lm(', '&', 'Wine', ')lm', 'F', 'lm(', 'lm(']",False
7878,eventually reach Domain at Kirby and Royal Nails & Spa,& F domain_at_kirby F royal_nails_&_spa,Houston,& F royal_nails_&_spa five_guys lm( royal_nails_&_spa,False
7879,eventually reach TGF Hair Salon and SpringHill Suites Houston Medical Center/NRG Park,& F tgf_hair_salon F springhill_suites_houston_medical_center/nrg_park,Houston,"error:['&', 'F', 'lm(', 'TGF', 'Hair', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm', 'F', ')lm', ')lm']",False
7880,visit Olive Garden and The UPS Store in any order,& F olive_garden F the_ups_store,Houston,"error:['&', 'F', 'lm(', 'The', 'Garden', ')lm', ')lm', 'F', 'lm(', 'The', 'UPS', ')lm']",False
7881,visit Five Guys and Domain at Kirby in any order,& F five_guys F domain_at_kirby,Houston,"error:['G', 'F', 'lm(', 'Five', 'and', ')lm', ')lm']",False
7882,go to Office Depot and Chipotle in any order,& F office_depot F chipotle,Houston,"error:['&', 'F', 'lm(', 'Office', 'and', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm']",False
7883,go to Texas Medical Center and Fiesta in any order,& F texas_medical_center F fiesta,Houston,"error:['&', 'F', 'lm(', 'Texas', 'Medical', 'Center', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
7884,move to Five Guys and Infinite Smiles Family Dentistry in any order,& F five_guys F infinite_smiles_family_dentistry,Houston,"error:['&', 'F', 'lm(', 'Five', 'Guys', ')lm', ')lm', 'F', 'lm(', 'Smiles', 'Family', ')lm', ')lm']",False
7885,move to Holiday Inn Houston - NRG/Medical Center Area and Catfish Station in any order,& F holiday_inn_houston_-_nrg/medical_center_area F catfish_station,Houston,"error:['&', 'F', 'lm(', 'Holiday', 'Inn', '-', 'Center', ')lm', 'F', 'lm(', 'lm(', 'Area', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
7886,reach NRG Park and Catfish Station in any order,& F nrg_park F catfish_station,Houston,& F nrg_park,False
7887,reach Glazed the Doughnut Cafe and Five Guys in any order,& F glazed_the_doughnut_cafe F five_guys,Houston,"error:['&', 'F', 'lm(', 'Glazed', 'the', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'Guys', ')lm']",False
7888,go to Royal Nails & Spa then go to Catfish Station or go to Catfish Station then go to Royal Nails & Spa,& F royal_nails_&_spa F catfish_station,Houston,"error:['&', 'U', '!', 'lm(', 'Catfish', 'Station', ')lm', 'lm(', 'lm(', 'Royal', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Catfish', 'Nails', ')lm', ')lm', 'lm(', 'lm(']",False
7889,go to Fiesta then go to Freebirds World Burrito or go to Freebirds World Burrito then go to Fiesta,& F fiesta F freebirds_world_burrito,Houston,"error:['&', 'U', 'lm(', 'lm(', 'Freebirds', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'F', 'lm(', 'lm(', 'lm(', 'F', 'F']",False
7890,make sure both Holiday Inn Houston - NRG/Medical Center Area and PetSmart are visited,& F holiday_inn_houston_-_nrg/medical_center_area F petsmart,Houston,& F holiday_inn_houston_-_nrg/medical_center_area F big_lots,False
7891,make sure both Office Depot and NRG Park are visited,& F office_depot F nrg_park,Houston,& F office_depot )lm five_guys lm( nrg_park,False
7892,pick one from Olive Garden and Taco Cabana go there and then head to the other one,& F olive_garden F taco_cabana,Houston,"error:['&', 'F', 'lm(', 'Olive', 'Garden', 'Garden', ')lm', 'F', 'lm(', 'lm(', 'and', 'the', ')lm']",False
7893,pick one from PetSmart and Infinite Smiles Family Dentistry go there and then head to the other one,& F petsmart F infinite_smiles_family_dentistry,Houston,"error:['&', 'F', 'lm(', 'PetSmart', 'and', 'Infinite', ')lm', 'F', 'lm(', 'lm(', 'Dentistry', 'Dentistry', ')lm']",False
7894,go to one of Fannin Substation and Five Guys and then to the other,& F fannin_substation F five_guys,Houston,"error:['&', 'F', 'lm(', 'Fannin', 'Fannin', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
7895,go to one of Chipotle and Capital One Bank and then to the other,& F chipotle F capital_one_bank,Houston,& F big_lots,False
7896,go to Viet's Express and NRG Park in an arbitrary order,& F viet's_express F nrg_park,Houston,"error:['G', 'F', 'lm(', ""Viet's"", 'Express', ')lm', 'Park', ')lm', 'lm(', 'NRG', 'Park', ')lm']",False
7897,go to Olive Garden and PetSmart in an arbitrary order,& F olive_garden F petsmart,Houston,G F olive_garden,False
7898,go to Taco Cabana and go to GameStop,& F taco_cabana F gamestop,Houston,"error:['&', 'lm(', 'lm(', 'GameStop']",False
7899,go to Purple Lot and go to GameStop,& F purple_lot F gamestop,Houston,"error:['&', 'lm(', 'lm(', 'GameStop']",False
7900,reach Antone's Import Co. reach Holiday Inn Houston - NRG/Medical Center Area,& F antone's_import_co. F holiday_inn_houston_-_nrg/medical_center_area,Houston,"error:['&', 'F', 'lm(', ""Antone's"", 'Import', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Houston', '-', 'Center', ')lm', ')lm']",False
7901,reach NRG Park reach Texas Medical Center,& F nrg_park F texas_medical_center,Houston,"error:['&', 'F', 'lm(', 'NRG', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Center', ')lm']",False
7902,visit both TGF Hair Salon and Holiday Inn Houston - NRG/Medical Center Area,& F tgf_hair_salon F holiday_inn_houston_-_nrg/medical_center_area,Houston,"error:['&', 'F', 'lm(', 'TGF', 'Hair', ')lm', ')lm', 'F', 'lm(', 'lm(', '-', 'Center', ')lm', ')lm']",False
7903,visit both Walgreens Pharmacy and Catfish Station,& F walgreens_pharmacy F catfish_station,Houston,"error:['&', 'lm(', 'lm(', 'Pharmacy', 'and', ')lm']",False
7904,find Fiesta and Viet's Express,& F fiesta F viet's_express,Houston,"error:['&', 'lm(', 'lm(', 'Fiesta', 'and', ')lm']",False
7905,find North Kirby Lot and Fiesta,& F north_kirby_lot F fiesta,Houston,& F north_kirby_lot )lm F five_guys lm(,False
7906,move to Holiday Inn Houston - NRG/Medical Center Area and Freebirds World Burrito,& F holiday_inn_houston_-_nrg/medical_center_area F freebirds_world_burrito,Houston,"error:['&', 'F', 'lm(', 'Holiday', 'Houston', '-', 'Center', ')lm', 'F', 'lm(', 'lm(', 'World', 'World', ')lm']",False
7907,move to Infinite Smiles Family Dentistry and Texas Medical Center,& F infinite_smiles_family_dentistry F texas_medical_center,Houston,"error:['&', 'F', 'lm(', 'lm(', 'Center', ')lm', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', ')lm']",False
7908,go to Domain at Kirby and Royal Nails & Spa,& F domain_at_kirby F royal_nails_&_spa,Houston,"error:['&', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(']",False
