,nl_command,ltl,map_name,result,eq
7488,eventually in some sequence visit Capitol University Law School East Town Street Historic District CoGo Library - Main Branch and Grant Medical Center each must be followed by the next,F & capitol_university_law_school F & east_town_street_historic_district F & cogo_library_-_main_branch F grant_medical_center,Columbus #1,"error:['F', '&', 'lm(', 'Capitol', 'University', 'School', ')lm', 'F', 'lm(', 'lm(', 'East', 'District', ')lm', 'F', 'lm(', 'lm(', 'CoGo', '-', 'District', ')lm', 'F', 'lm(', 'lm(', 'Library', '-', 'Center', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
7489,eventually in some sequence visit Capitol University Law School Ohio Institution for the Education of the Deaf and Dumb Grant Medical Center and Deaf School Park each must be followed by the next,F & capitol_university_law_school F & ohio_institution_for_the_education_of_the_deaf_and_dumb F & grant_medical_center F deaf_school_park,Columbus #1,"error:['F', '&', 'lm(', 'Capitol', 'University', 'School', ')lm', 'F', 'lm(', 'lm(', 'University', 'School', 'of', ')lm', 'F', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'F', 'lm(', 'Center', 'Center', ')lm', ')lm', ')lm']",False
7490,visit East Town Street Historic District then visit Capitol University Law School then visit CoGo Topiary Park - Town St then visit Grant Medical Center Heliport,F & east_town_street_historic_district F & capitol_university_law_school F & cogo_topiary_park_-_town_st F grant_medical_center_heliport,Columbus #1,"error:['F', '&', 'lm(', 'East', 'Town', 'District', ')lm', 'F', '&', 'lm(', 'Capitol', 'University', 'District', ')lm', 'F', '&', 'lm(', 'CoGo', 'Park', '-', 'Park', ')lm', 'F', '&', 'lm(', 'Park', 'Park', '-', 'Center', ')lm', 'F', 'lm(', 'Center', ')lm', ')lm']",False
7491,visit Grant Medical Center Heliport then visit Christian Spiritualist Temple then visit Ohio Institution for the Education of the Deaf and Dumb then visit CoGo Library - Main Branch,F & grant_medical_center_heliport F & christian_spiritualist_temple F & ohio_institution_for_the_education_of_the_deaf_and_dumb F cogo_library_-_main_branch,Columbus #1,F & grant_medical_center F & christian_spiritualist_temple F & ohio_institution_for_the_education_of_the_deaf_and_dumb,False
7492,go to CoGo Library - Main Branch and then go to Columbus Metropolitan Library (Main) and then go to Capitol University Law School and then go to Grant Medical Center Heliport,F & cogo_library_-_main_branch F & columbus_metropolitan_library_(main) F & capitol_university_law_school F grant_medical_center_heliport,Columbus #1,F & cogo_library_-_main_branch F & columbus_metropolitan_library_(main) F & capitol_university_law_school F & capitol_university_law_school F grant_medical_center,False
7493,go to Capitol University Law School and then go to Deaf School Park and then go to Grant Medical Center Heliport and then go to East Town Street Historic District,F & capitol_university_law_school F & deaf_school_park F & grant_medical_center_heliport F east_town_street_historic_district,Columbus #1,F & capitol_university_law_school F & deaf_school_park F & grant_medical_center F & grant_medical_center )lm F grant_medical_center lm( east_town_street_historic_district,False
7494,visit Columbus Metropolitan Library (Main) Christian Spiritualist Temple CoGo Topiary Park - Town St and Grant Medical Center in this order there can be other locations in between,F & columbus_metropolitan_library_(main) F & christian_spiritualist_temple F & cogo_topiary_park_-_town_st F grant_medical_center,Columbus #1,"error:['F', '&', 'lm(', 'Columbus', 'Library', ')lm', 'F', '&', 'lm(', '(Main)', 'Christian', ')lm', 'F', '&', 'lm(', 'Topiary', 'Park', '-', 'Town', 'St', ')lm', 'F', 'lm(', 'lm(', 'Medical', '-', 'Center', ')lm']",False
7495,visit Capitol University Law School Columbus Metropolitan Library (Main) Christian Spiritualist Temple and CoGo Library - Main Branch in this order there can be other locations in between,F & capitol_university_law_school F & columbus_metropolitan_library_(main) F & christian_spiritualist_temple F cogo_library_-_main_branch,Columbus #1,F & capitol_university_law_school F & columbus_metropolitan_library_(main) F & christian_spiritualist_temple F cogo_topiary_park_-_town_st,False
7496,head to CoGo Topiary Park - Town St and then to Deaf School Park after CoGo Topiary Park - Town St is visited and then to East Town Street Historic District after Deaf School Park is visited and then to CoGo Library - Main Branch after East Town Street Historic District is visited,F & cogo_topiary_park_-_town_st F & deaf_school_park F & east_town_street_historic_district F cogo_library_-_main_branch,Columbus #1,"error:['F', '&', 'lm(', 'CoGo', 'Park', '-', 'Park', ')lm', 'F', '&', 'lm(', 'Park', 'Park', 'School', ')lm', 'F', '&', 'lm(', 'Street', 'Historic', 'District', ')lm', 'F', 'lm(', 'lm(', 'Historic', 'District', ')lm', 'F', 'lm(', 'lm(', 'Library', 'Library', '-', ')lm', ')lm']",False
7497,head to East Town Street Historic District and then to Christian Spiritualist Temple after East Town Street Historic District is visited and then to CoGo Topiary Park - Town St after Christian Spiritualist Temple is visited and then to Deaf School Park after CoGo Topiary Park - Town St is visited,F & east_town_street_historic_district F & christian_spiritualist_temple F & cogo_topiary_park_-_town_st F deaf_school_park,Columbus #1,"error:['F', '&', 'lm(', 'East', 'Town', 'District', ')lm', 'F', '&', 'lm(', 'Street', 'Park', 'District', ')lm', 'F', '&', 'lm(', 'Topiary', 'Park', '-', 'Town', 'St', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm']",False
