,nl_command,ltl,map_name,result,eq
0,visit Dumpling Cafe,F dumpling_cafe,Boston,F dumpling_cafe,True
1,approach Empire Garden Restaurant,F empire_garden_restaurant,Boston,F empire_garden_restaurant,True
2,visit Dumpling Cafe,F dumpling_cafe,Boston,F dumpling_cafe,True
3,reach Massachusetts State Transportation Building,F massachusetts_state_transportation_building,Boston,F massachusetts_state_transportation_building,True
4,go to Citi Performing Arts Center,F citi_performing_arts_center,Boston,F citi_performing_arts_center,True
5,visit Dumpling Cafe and Massachusetts State Transportation Building,& F dumpling_cafe F massachusetts_state_transportation_building,Boston,& F dumpling_cafe F massachusetts_state_transportation_building,True
6,go to Empire Garden Restaurant and Tremont and Stuart Streets in an arbitrary order,& F empire_garden_restaurant F tremont_and_stuart_streets,Boston,& F empire_garden_restaurant F tremont_and_stuart_streets,True
7,go to Dumpling Cafe then go to Citibank or go to Citibank then go to Dumpling Cafe,& F dumpling_cafe F citibank,Boston,"error:['F', '&', 'lm(', 'Dumpling', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'Citibank', ')lm', 'F', 'lm(', 'lm(', 'St', '@']",False
8,visit Tufts University School of Medicine and Massachusetts State Transportation Building,& F massachusetts_state_transportation_building F tufts_university_school_of_medicine,Boston,F F tufts_university_school_of_medicine F massachusetts_state_transportation_building,False
9,visit Citi Performing Arts Center and Tremont and Stuart Streets,& F citi_performing_arts_center F tremont_and_stuart_streets,Boston,& F citi_performing_arts_center F tremont_and_stuart_streets,True
10,go to Dumpling Cafe Massachusetts State Transportation Building and Wang Theater in any order,& F dumpling_cafe & F massachusetts_state_transportation_building F wang_theater,Boston,& F dumpling_cafe & F massachusetts_state_transportation_building F wang_theater,True
11,find Empire Garden Restaurant Tremont and Stuart Streets and Joy Luck Hot Pot,& F empire_garden_restaurant & F tremont_and_stuart_streets F joy_luck_hot_pot,Boston,& F empire_garden_restaurant F F joy_luck_hot_pot F joy_luck_hot_pot,False
12,go to Dumpling Cafe Citibank and Kneeland St @ Washington St,& F dumpling_cafe & F citibank F kneeland_st_@_washington_st,Boston,& F dumpling_cafe & F citibank F kneeland_st_@_washington_st,True
13,stop by abc in any order,& F massachusetts_state_transportation_building & F tufts_university_school_of_medicine F emerson_college_little_building,Boston,"error:['F', 'lm(', 'Wang', 'Theater', ')lm', 'F', 'lm(', 'Empire', 'Garden', 'Garden', ')lm', 'F', 'lm(', 'Wang', 'Theater', ')lm', ')lm', ')lm', ')lm']",False
14,Citi Performing Arts Center Tremont and Stuart Streets and Emerson College must be visited,& F citi_performing_arts_center & F tremont_and_stuart_streets F emerson_college,Boston,& F happy_lamb_hot_pot Arts & & F emerson_college,False
15,make sure Empire Garden Restaurant Citibank and Wilbur Theatre are all visited,& F empire_garden_restaurant & F citibank F wilbur_theatre,Boston,& F empire_garden_restaurant & F citibank F wilbur_theatre,True
16,visit Massachusetts State Transportation Building Dumpling Cafe Wang Theater and Tufts Dental School,& F dumpling_cafe & F massachusetts_state_transportation_building & F wang_theater F tufts_dental_school,Boston,& F massachusetts_state_transportation_building & F dumpling_cafe F F wang_theater F tufts_dental_school,False
