,nl_command,ltl,map_name,result,eq
4920,eventually you must go to Baird & Warner,F baird_&_warner,Chicago #1,"error:['F', 'lm(', 'lm(', '&', ')lm']",False
4921,eventually you must go to Lee Nails,F lee_nails,Chicago #1,"error:['F', 'lm(', 'lm(', 'Lee', ')lm']",False
4922,make your way to US Post Office,F us_post_office,Chicago #1,F us_post_office,True
4923,make your way to Becker Roofing Company,F becker_roofing_company,Chicago #1,F becker_roofing_company,True
4924,visit Ace Hardware,F ace_hardware,Chicago #1,F ace_hardware,True
4925,visit Kanellos Shoe Repair,F kanellos_shoe_repair,Chicago #1,F kanellos_shoe_repair,True
4926,travel to North Branch Arts,F north_branch_arts,Chicago #1,"error:['F', 'lm(', 'North', 'Branch', 'Arts']",False
4927,travel to Baird & Warner,F baird_&_warner,Chicago #1,F baird_&_warner,True
4928,reach Central & Devon NB,F central_&_devon_nb,Chicago #1,F central_&_devon_nb,True
4929,reach Little Nest Care,F little_nest_care,Chicago #1,G little_nest_care,False
4930,find US Post Office,F us_post_office,Chicago #1,F us_post_office,True
4931,find Associated Bank,F associated_bank,Chicago #1,"error:['F', 'lm(', 'Associated', 'Bank']",False
4932,sometime along the way go to Currency Change and Becker Roofing Company,& F currency_change F becker_roofing_company,Chicago #1,"error:['F', '&', 'lm(', 'Currency', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Currency', ')lm', ')lm', 'F', 'lm(', 'lm(']",False
4933,sometime along the way go to King Pho and US Post Office,& F king_pho F us_post_office,Chicago #1,"error:['F', '&', 'lm(', 'Pho', ')lm', ')lm', 'F', 'F', 'lm(', 'Pho', 'Pho', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm']",False
4934,visit Currency Change and Baird & Warner,& F currency_change F baird_&_warner,Chicago #1,F edward_jones,False
4935,visit Baird & Warner and Lee Nails,& F baird_&_warner F lee_nails,Chicago #1,"error:['&', 'lm(', 'lm(', 'Warner', ')lm', ')lm', 'F', 'lm(', 'Lee', ')lm', ')lm']",False
4936,go to My Sister's Closet and go to Starbucks,& F my_sister's_closet F starbucks,Chicago #1,& F my_sister's_closet F central_&_devon_nb,False
4937,go to My Sister's Closet and go to Domino's,& F my_sister's_closet F domino's,Chicago #1,& F my_sister's_closet F my_sister's_closet,False
4938,visit both Central & Devon NB and Central & Devon SB,& F central_&_devon_nb F central_&_devon_sb,Chicago #1,& F associated_bank F F associated_bank,False
4939,visit both Little Nest Care and Central & Devon SB,& F little_nest_care F central_&_devon_sb,Chicago #1,& F little_nest_care,False
4940,go to North Branch Arts and Central & Devon NB in any order,& F north_branch_arts F central_&_devon_nb,Chicago #1,"error:['&', 'F', 'lm(', 'North', 'and', 'Arts', ')lm', ')lm', 'lm(', 'lm(', '&', ')lm', ')lm']",False
4941,go to Little Nest Care and Baird & Warner in any order,& F little_nest_care F baird_&_warner,Chicago #1,"error:['&', 'F', 'lm(', 'Nest', 'and', ')lm', 'Little', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
4942,pick one from Terry's Place and Starbucks go there and then head to the other one,& F terry's_place F starbucks,Chicago #1,"error:['F', 'lm(', ""Terry's"", ""Terry's"", ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm']",False
4943,pick one from Associated Bank and Lee Nails go there and then head to the other one,& F associated_bank F lee_nails,Chicago #1,"error:['M', 'lm(', 'Associated', 'Associated', 'Associated', 'Bank', ')lm', ')lm', 'F', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm', '|', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
4944,eventually reach Little Nest Care Central & Devon NB and Ruk Sushi & Thai,& F little_nest_care & F ruk_sushi_&_thai F central_&_devon_nb,Chicago #1,"error:['&', 'F', 'lm(', 'Little', 'Nest', ')lm', '&', 'F', 'lm(', 'Devon', 'Devon', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
4945,eventually reach Edgebrook Coffee Ship Starbucks and US Post Office,& F edgebrook_coffee_ship & F us_post_office F starbucks,Chicago #1,& F edgebrook_coffee_ship F us_post_office,False
4946,when you have the chance can you go to Terry's Place King Pho and US Post Office,& F terry's_place & F us_post_office F king_pho,Chicago #1,& F edward_jones,False
4947,when you have the chance can you go to Currency Change Terry's Place and Lee Nails,& F currency_change & F lee_nails F terry's_place,Chicago #1,"error:['&', 'F', 'lm(', 'lm(', 'Place', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
4948,reach Terry's Place Associated Bank and Creativo! Academy,& F terry's_place & F associated_bank F creativo!_academy,Chicago #1,"error:['&', 'F', 'lm(', ""Terry's"", 'and', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Creativo!', ')lm']",False
