Utterance,Ground truth,Output,Correct
"move to Hero House comic book store, then move to Mexican restaurant on Virginia Avenue, finally reach Fountain Square with bicycle rental","{'Fountain Square with bicycle rental', 'Hero House comic book store', 'Mexican restaurant on Virginia Avenue'}","{'Mexican restaurant on Virginia Avenue', 'Hero House comic book store', 'Fountain Square with bicycle rental'}",True
"visiting Fountain Square Branch Library on Virginia Avenue, more than twice is prohibited",{'Fountain Square Branch Library on Virginia Avenue'},{'Fountain Square Branch Library on Virginia Avenue'},True
"never visit Fountain Square Branch Library on Virginia Avenue, again after you have visited it twice",{'Fountain Square Branch Library on Virginia Avenue'},{'Fountain Square Branch Library on Virginia Avenue'},True
"never visit Bicycle rental at Fountain Square, more than three times",{'Bicycle rental at Fountain Square'},{'Bicycle rental at Fountain Square'},True
"make your way to Sandwich restaurant on Virginia Avenue, Mexican restaurant on Virginia Avenue, PNC Bank, Fountain Square with bicycle rental, and Fountain Square Branch Library on Virginia Avenue","{'Sandwich restaurant on Virginia Avenue', 'Fountain Square with bicycle rental', 'PNC Bank', 'Fountain Square Branch Library on Virginia Avenue', 'Mexican restaurant on Virginia Avenue'}","{'Fountain Square with bicycle rental', 'Fountain Square Branch Library on Virginia Avenue', 'Sandwich restaurant on Virginia Avenue', 'Mexican restaurant on Virginia Avenue', 'PNC Bank'}",True
"never visit Pure sandwich restaurant on Virginia Avenue, more than four times",{'Pure sandwich restaurant on Virginia Avenue'},{'Pure sandwich restaurant on Virginia Avenue'},True
"make sure you visit Smokehouse restaurant on Shelby Street, five or more times",{'Smokehouse restaurant on Shelby Street'},{'Smokehouse restaurant on Shelby Street'},True
"do not visit Mexican restaurant on Virginia Avenue, until you go to Sandwich restaurant on Virginia Avenue","{'Sandwich restaurant on Virginia Avenue', 'Mexican restaurant on Virginia Avenue'}","{'Sandwich restaurant on Virginia Avenue', 'Mexican restaurant on Virginia Avenue'}",True
"visit Pure sandwich restaurant on Virginia Avenue, PNC Bank, Peruvian restaurant on Virginia Avenue, Smokehouse restaurant on Shelby Street, and Comic book store, in this strict order once the predecessor is visited you must visit the successor","{'Smokehouse restaurant on Shelby Street', 'Peruvian restaurant on Virginia Avenue', 'Comic book store', 'PNC Bank', 'Pure sandwich restaurant on Virginia Avenue'}","{'Smokehouse restaurant on Shelby Street', 'Peruvian restaurant on Virginia Avenue', 'Pure sandwich restaurant on Virginia Avenue', 'Comic book store', 'PNC Bank'}",True
"you must go to Sandwich restaurant on Virginia Avenue, exactly twice",{'Sandwich restaurant on Virginia Avenue'},{'Sandwich restaurant on Virginia Avenue'},True
"never go to Peruvian restaurant on Virginia Avenue, less than once",{'Peruvian restaurant on Virginia Avenue'},{'Peruvian restaurant on Virginia Avenue'},True
"make your way to PNC Bank Drive-Thru with a roof, at least four times",{'PNC Bank Drive-Thru with a roof'},{'PNC Bank Drive-Thru with a roof'},True
"never visit Fountain Square Branch Library on Virginia Avenue, again after you have visited it once",{'Fountain Square Branch Library on Virginia Avenue'},{'Fountain Square Branch Library on Virginia Avenue'},True
"go to PNC Bank, Peruvian restaurant on Virginia Avenue, PNC Bank Drive-Thru with a roof, and Pure sandwich restaurant on Virginia Avenue, in any order","{'Peruvian restaurant on Virginia Avenue', 'Pure sandwich restaurant on Virginia Avenue', 'PNC Bank Drive-Thru with a roof', 'PNC Bank'}","{'Peruvian restaurant on Virginia Avenue', 'Pure sandwich restaurant on Virginia Avenue', 'PNC Bank Drive-Thru with a roof', 'PNC Bank'}",True
