,nl_command,ltl,map_name,result,eq
2706,reach CPCC Kratt,F cpcc_kratt,Charlotte #1,G cpcc_kratt,False
2707,find Halton Theatre,F halton_theatre,Charlotte #1,F halton_theatre,True
2708,visit CPCC Library,F cpcc_library,Charlotte #1,F cpcc_library,True
2709,travel to CPCC Terrell,F cpcc_terrell,Charlotte #1,F cpcc_terrell,True
2710,make your way to CPCC Central High,F cpcc_central_high,Charlotte #1,F cpcc_central_high,True
2711,eventually you must go to Halton Theatre,F halton_theatre,Charlotte #1,"error:['F', 'lm(', 'lm(', 'Theatre', ')lm']",False
2712,visit both CPCC Sloan-Morgan and Halton Theatre,& F cpcc_sloan-morgan F halton_theatre,Charlotte #1,& F cpcc_central_high,False
2713,visit CPCC Sloan-Morgan and CPCC Kratt,& F cpcc_sloan-morgan F cpcc_kratt,Charlotte #1,F cpcc_advanced_technology_center,False
2714,go to Independence Park and go to CPCC Central High,& F independence_park F cpcc_central_high,Charlotte #1,"error:['&', 'F', 'lm(', 'Independence', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Central', ')lm']",False
2715,sometime along the way go to Central Piedmont Community College and CPCC Worrell,& F central_piedmont_community_college F cpcc_worrell,Charlotte #1,"error:['F', 'F', 'lm(', 'Central', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'Central', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
2716,go to CPCC and CPCC Worrell in any order,& F cpcc F cpcc_worrell,Charlotte #1,& F cpcc_central_high,False
2717,pick one from 100kV Transmission Line and CPCC Tate Tower go there and then head to the other one,& F 100kv_transmission_line F cpcc_tate_tower,Charlotte #1,"error:['F', '&', 'lm(', 'Transmission', ')lm', ')lm', 'lm(', 'lm(', 'CPCC', ')lm', ')lm']",False
2718,reach Aspire Central Piedmont Community College and Independence Park,& F aspire & F central_piedmont_community_college F independence_park,Charlotte #1,"error:['&', 'F', 'lm(', 'Aspire', 'College', ')lm', '&', 'F', 'lm(', 'F', 'College', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
2719,CPCC Tate Tower CPCC Citizens Center and Independence Park must be visited,& F cpcc_tate_tower & F cpcc_citizens_center F independence_park,Charlotte #1,"error:['G', 'F', 'lm(', 'Tate', 'Tate', ')lm', '&', 'G', 'lm(', 'lm(', 'Center', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Independence', ')lm']",False
2720,eventually reach Little Sugar Creek CPCC Pease Auditorium and Halton Theatre,& F little_sugar_creek & F halton_theatre F cpcc_pease_auditorium,Charlotte #1,"error:['&', 'F', 'lm(', 'Little', 'Sugar', ')lm', '&', 'F', 'lm(', 'lm(', 'Pease', ')lm', 'F', 'lm(', 'lm(', 'Theatre', ')lm']",False
2721,visit all three locations CPCC Citizens Center CPCC Worrell and CPCC Faculty/Theatre Parking,& F cpcc_citizens_center & F cpcc_worrell F cpcc_faculty/theatre_parking,Charlotte #1,& F cpcc_giles_science_center & F cpcc_worrell,False
2722,when you have the chance can you go to CPCC Library CPCC Overcash and Central Piedmont Community College,& F cpcc_library & F central_piedmont_community_college F cpcc_overcash,Charlotte #1,"error:['&', 'F', 'lm(', 'lm(', 'Overcash', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'Library', ')lm', ')lm', 'CPCC', 'CPCC', 'Library', ')lm']",False
2723,visit CPCC Sloan-Morgan CPCC Giles Science Center and Gloria Victus Monument in any order,& F cpcc_sloan-morgan & F cpcc_giles_science_center F gloria_victus_monument,Charlotte #1,"error:['&', 'F', 'lm(', 'CPCC', 'Sloan-Morgan', ')lm', '&', 'F', 'lm(', 'Science', 'Center', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
2724,reach all the following locations CPCC Overcash CPCC Health Careers CPCC Worrell and Aspire,& F cpcc_overcash & F cpcc_health_careers & F cpcc_worrell F aspire,Charlotte #1,& F cpcc_health_careers F cpcc,False
