pattern_type,props,utterance,true_ltl,old_output_ltl,old_is_correct,new_output_ltl,new_is_correct
strictly_ordered_visit,"['c', 'd', 'a', 'b']",visit c one time but not through d a or b and then visit d once but not through c a or b and then visit a once but not through c d or b and then visit b once but not through c d or a,& & U ! d c & U ! a d & U ! b a F b & U ! c U c U ! c d & U ! d U d U ! d a U ! a U a U ! a b,& & U! d c & U! a d & U! c a & U! b a F b & U! c U c U! c d & U! d U d U! d a & U! a U a U! a b,Syntax Error,& & U ! d c & U ! a d & U ! c a & U ! b a F b & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a b U ! b U b U ! b c,False
strictly_ordered_visit,"['c', 'd', 'a', 'h']",visit c one time but not through d a or h and then visit d once but not through c a or h and then visit a once but not through c d or h and then visit h once but not through c d or a,& & U ! d c & U ! a d & U ! h a F h & U ! c U c U ! c d & U ! d U d U ! d a U ! a U a U ! a h,& & U! d c & U! a d & U! c a & U! h a F h & U! c U c U! c d & U! d U d U! d a & U! a U a U! a h,Syntax Error,& & U ! d c & U ! a d & U ! c a & U ! h a F h & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h d,False
strictly_ordered_visit,"['d', 'a', 'c', 'b']",visit d one time but not through a c or b and then visit a once but not through d c or b and then visit c once but not through d a or b and then visit b once but not through d a or c,& & U ! a d & U ! c a & U ! b c F b & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c b,& & U! a d & U! c a & U! d c & U! b d F b & U! d U d U! d a & U! a U a U! a c & U! c U c U! c b,Syntax Error,& & U ! a d & U ! c a & U ! d c & U ! b d F b & U ! d U d U ! d a & U ! a U a U ! a c & U ! c U c U ! c b & U ! b U b U ! b d & U a a a,False
strictly_ordered_visit,"['d', 'a', 'c', 'h']",visit d one time but not through a c or h and then visit a once but not through d c or h and then visit c once but not through d a or h and then visit h once but not through d a or c,& & U ! a d & U ! c a & U ! h c F h & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c h,& & U! a d & U! c a & U! d c & U! h d F h & U! d U d U! d a & U! a U a U! a c & U! c U c U! c h,Syntax Error,& & U ! a d & U ! c a & U ! d c & U ! h d F h & U ! d U d U ! d a & U ! a U a U ! a c & U ! c U c U ! c h U ! h U h U ! h d,False
strictly_ordered_visit,"['d', 'a', 'h', 'c']",visit d one time but not through a h or c and then visit a once but not through d h or c and then visit h once but not through d a or c and then visit c once but not through d a or h,& & U ! a d & U ! h a & U ! c h F c & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h c,& & U! a d & U! h a & U! d h & U! c d F c & U! d U d U! d a & U! a U a U! a h & U! h U h U! h c,Syntax Error,& & U ! a d & U ! h a & U ! d h & U ! c d F c & U ! d U d U ! d a & U ! a U a U ! a h & U ! h U h U ! h c U ! c d,False
strictly_ordered_visit,"['d', 'b', 'a', 'c']",visit d one time but not through b a or c and then visit b once but not through d a or c and then visit a once but not through d b or c and then visit c once but not through d b or a,& & U ! b d & U ! a b & U ! c a F c & U ! d U d U ! d b & U ! b U b U ! b a U ! a U a U ! a c,& & U! b d & U! a b & U! d a & U! c d F c & U! d U d U! d b & U! b U b U! b a & U! a U a U! a c,Syntax Error,& & U ! b d & U ! a b & U ! d a & U ! c d F c & U ! d U d U ! d b & U ! b U b U ! b a & U ! a U a U ! a c U ! c U c U ! c d,False
strictly_ordered_visit,"['d', 'b', 'a', 'h']",visit d one time but not through b a or h and then visit b once but not through d a or h and then visit a once but not through d b or h and then visit h once but not through d b or a,& & U ! b d & U ! a b & U ! h a F h & U ! d U d U ! d b & U ! b U b U ! b a U ! a U a U ! a h,& & U! b d & U! a b & U! d a & U! h d F h & U! d U d U! d b & U! b U b U! b a & U! a U a U! a h,Syntax Error,& & U ! b d & U ! a b & U ! d a & U ! h d F h & U ! d U d U ! d b & U ! b U b U ! b a & U ! a U a U ! a h U ! h U h U ! h d,False
strictly_ordered_visit,"['d', 'b', 'c', 'h']",visit d one time but not through b c or h and then visit b once but not through d c or h and then visit c once but not through d b or h and then visit h once but not through d b or c,& & U ! b d & U ! c b & U ! h c F h & U ! d U d U ! d b & U ! b U b U ! b c U ! c U c U ! c h,& & U! b d & U! c b & U! d c & U! h d F h & U! d U d U! d b & U! b U b U! b c & U! c U c U! c h,Syntax Error,& & U ! b d & U ! c b & U ! d c & U ! h d F h & U ! d U d U ! d b & U ! b U b U ! b c & U ! c U c U ! c h U ! h U h U ! h d,False
strictly_ordered_visit,"['d', 'c', 'a', 'b']",visit d one time but not through c a or b and then visit c once but not through d a or b and then visit a once but not through d c or b and then visit b once but not through d c or a,& & U ! c d & U ! a c & U ! b a F b & U ! d U d U ! d c & U ! c U c U ! c a U ! a U a U ! a b,& & U! c d & U! a c & U! d a & U! b d F b & U! d U d U! d c & U! c U c U! c a & U! a U a U! a b,Syntax Error,& & U ! c d & U ! a c & U ! d a & U ! b d F b & U ! d U d U ! d c & U ! c U c U ! c a & U ! a U a U ! a b U ! b U b U ! b d,False
strictly_ordered_visit,"['d', 'c', 'a', 'h']",visit d one time but not through c a or h and then visit c once but not through d a or h and then visit a once but not through d c or h and then visit h once but not through d c or a,& & U ! c d & U ! a c & U ! h a F h & U ! d U d U ! d c & U ! c U c U ! c a U ! a U a U ! a h,& & U! c d & U! a c & U! d a & U! h d F h & U! d U d U! d c & U! c U c U! c a & U! a U a U! a h,Syntax Error,& & U ! c d & U ! a c & U ! d a & U ! h d F h & U ! d U d U ! d c & U ! c U c U ! c a & U ! a U a U ! a h U ! h U h U ! h d,False
