,nl_command,ltl,map_name,result,eq
7872,eventually you must go to Purple Lot,F purple_lot,Houston,"error:['F', 'lm(', 'lm(', 'Purple', ')lm']",False
7873,eventually you must go to North Kirby Lot,F north_kirby_lot,Houston,"error:['F', 'lm(', 'lm(', 'Kirby', ')lm']",False
7874,make your way to Glazed the Doughnut Cafe,F glazed_the_doughnut_cafe,Houston,F glazed_the_doughnut_cafe,True
7875,make your way to The UPS Store,F the_ups_store,Houston,F the_ups_store,True
7876,visit Texas Medical Center,F texas_medical_center,Houston,F texas_medical_center,True
7877,visit Domain at Kirby,F domain_at_kirby,Houston,F domain_at_kirby,True
7878,travel to Domain at Kirby,F domain_at_kirby,Houston,F domain_at_kirby,True
7879,travel to Viet's Express,F viet's_express,Houston,F viet's_express,True
7880,reach SpringHill Suites Houston Medical Center/NRG Park,F springhill_suites_houston_medical_center/nrg_park,Houston,& F domain_at_kirby )lm F five_guys lm( nrg_park,False
7881,reach TGF Hair Salon,F tgf_hair_salon,Houston,F tgf_hair_salon,True
7882,find Fiesta,F fiesta,Houston,F fiesta,True
7883,find Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby,F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby,Houston,"error:['&', 'F', 'lm(', 'Extended', 'Stay', '-', 'F', 'St', '-', 'lm(', 'lm(', '-', '-', '-', ')lm']",False
7884,sometime along the way go to Royal Nails & Spa and Texas Medical Center,& F royal_nails_&_spa F texas_medical_center,Houston,"error:['F', 'F', 'lm(', 'Royal', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'lm(', 'Royal', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm']",False
7885,sometime along the way go to Catfish Station and Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby,& F catfish_station F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby,Houston,"error:['&', 'F', 'lm(', 'Catfish', ')lm', '-', 'F', 'F', 'lm(', 'F', 'lm(', '-', 'lm(', '-', 'F', '-', 'F', '-', 'lm(', 'lm(']",False
7886,visit Catfish Station and Pizza Hut,& F catfish_station F pizza_hut,Houston,& pizza_hut,False
7887,visit Royal Nails & Spa and Antone's Import Co.,& F royal_nails_&_spa F antone's_import_co.,Houston,"error:['&', 'F', 'lm(', 'Spa', ')lm', ')lm', 'F', 'lm(', 'lm(', 'and', ')lm', ')lm']",False
7888,go to Chipotle and go to Domain at Kirby,& F chipotle F domain_at_kirby,Houston,"error:['F', 'lm(', 'lm(', 'Chipotle', 'and', ')lm']",False
7889,go to Chipotle and go to Catfish Station,& F chipotle F catfish_station,Houston,"error:['F', 'lm(', 'lm(', 'Chipotle', 'and', ')lm']",False
7890,visit both SpringHill Suites Houston Medical Center/NRG Park and Akashi Asian Sushi Cuisine & Wine Bar,& F springhill_suites_houston_medical_center/nrg_park F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', 'F', 'lm(', 'SpringHill', 'Suites', ')lm', '&', 'F', 'lm(', 'Center/NRG', 'Park', ')lm', 'F', 'F', 'lm(', 'Akashi', ')lm', ')lm']",False
7891,visit both Big Lots and Five Guys,& F big_lots F five_guys,Houston,G F big_lots,False
7892,go to Taco Cabana and Glazed the Doughnut Cafe in any order,& F taco_cabana F glazed_the_doughnut_cafe,Houston,& F taco_cabana F glazed_the_doughnut_cafe,True
7893,go to Infinite Smiles Family Dentistry and Antone's Import Co. in any order,& F infinite_smiles_family_dentistry F antone's_import_co.,Houston,"error:['&', 'F', 'lm(', 'Infinite', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm']",False
7894,pick one from Fiesta and Taco Cabana go there and then head to the other one,& F fiesta F taco_cabana,Houston,"error:['F', 'lm(', 'Fiesta', 'Fiesta', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Cabana', ')lm']",False
7895,pick one from Viet's Express and TGF Hair Salon go there and then head to the other one,& F viet's_express F tgf_hair_salon,Houston,"error:['F', '&', 'lm(', 'Express', ')lm', 'X', 'lm(', 'lm(', 'lm(', 'Hair', ')lm']",False
7896,eventually reach Catfish Station GameStop and Taco Cabana,& F catfish_station & F taco_cabana F gamestop,Houston,& F catfish_station F taco_cabana,False
7897,eventually reach Fannin Substation Akashi Asian Sushi Cuisine & Wine Bar and Texas Medical Center,& F fannin_substation & F texas_medical_center F akashi_asian_sushi_cuisine_&_wine_bar,Houston,& F fannin_substation & F akashi_asian_sushi_cuisine_&_wine_bar )lm F five_guys lm( five_guys,False
7898,when you have the chance can you go to Chipotle Capital One Bank and Bank of America Financial Center,& F chipotle & F bank_of_america_financial_center F capital_one_bank,Houston,G i bank_of_america_financial_center F Bank ! bank_of_america_financial_center,False
7899,when you have the chance can you go to Big Lots Walgreens Pharmacy and Capital One Bank,& F big_lots & F capital_one_bank F walgreens_pharmacy,Houston,"error:['&', 'F', 'lm(', 'lm(', 'Pharmacy', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
7900,reach Royal Nails & Spa Texas Medical Center and Capital One Bank,& F royal_nails_&_spa & F texas_medical_center F capital_one_bank,Houston,"error:['&', 'F', 'lm(', 'Royal', '&', ')lm', '&', 'F', 'lm(', 'lm(', 'Texas', 'Center', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
7901,reach Viet's Express Olive Garden and Taco Cabana,& F viet's_express & F olive_garden F taco_cabana,Houston,"error:['&', 'F', 'lm(', ""Viet's"", 'Garden', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm']",False
7902,visit all three locations Big Lots Pizza Hut and Antone's Import Co.,& F big_lots & F pizza_hut F antone's_import_co.,Houston,& F pizza_hut F big_lots,False
7903,visit all three locations PetSmart North Kirby Lot and Freebirds World Burrito,& F petsmart & F north_kirby_lot F freebirds_world_burrito,Houston,"error:['&', 'F', 'lm(', 'PetSmart', 'PetSmart', ')lm', ')lm', 'F', 'lm(', 'Freebirds', ')lm', ')lm']",False
7904,visit Capital One Bank The UPS Store and Holiday Inn Houston - NRG/Medical Center Area in any order,& F capital_one_bank & F the_ups_store F holiday_inn_houston_-_nrg/medical_center_area,Houston,& F the_ups_store & F the_ups_store F holiday_inn_houston_-_nrg/medical_center_area,False
7905,visit Holiday Inn Houston - NRG/Medical Center Area Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby and The UPS Store in any order,& F holiday_inn_houston_-_nrg/medical_center_area & F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby F the_ups_store,Houston,"error:['&', 'F', 'lm(', 'The', 'Store', ')lm', '&', 'F', 'lm(', 'Stay', 'America', '-', '&', ')lm', ')lm', '&', 'F', 'lm(', 'Stay', '-', '-', '-', '-', '-', ')lm', ')lm', ')lm', 'lm(']",False
7906,Taco Cabana Fannin Substation and Akashi Asian Sushi Cuisine & Wine Bar must be visited,& F taco_cabana & F fannin_substation F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', '&', 'lm(', 'Taco', 'Cabana', ')lm', 'F', 'G', 'lm(', 'lm(', 'and', 'Akashi', ')lm', ')lm', 'lm(', 'lm(', 'lm(', '&', ')lm']",False
7907,Domain at Kirby PetSmart and Purple Lot must be visited,& F domain_at_kirby & F petsmart F purple_lot,Houston,"error:['G', 'i', 'lm(', 'Kirby', ')lm', ')lm', 'F', 'lm(', 'Purple', 'Lot', ')lm']",False
7908,move to Five Guys Akashi Asian Sushi Cuisine & Wine Bar Chipotle and Viet's Express in any order,& F five_guys & F akashi_asian_sushi_cuisine_&_wine_bar & F chipotle F viet's_express,Houston,"error:['&', 'F', 'lm(', 'Five', 'Five', ')lm', '&', '&', 'F', 'lm(', 'Asian', 'Sushi', ')lm', '&', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', 'F', 'lm(', 'lm(']",False
7909,move to Bank of America Financial Center Five Guys Texas Medical Center and Capital One Bank in any order,& F bank_of_america_financial_center & F five_guys & F texas_medical_center F capital_one_bank,Houston,"error:['&', 'F', 'lm(', 'America', 'America', ')lm', '&', 'F', 'F', 'lm(', 'Five', 'Five', ')lm', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm']",False
7910,visit North Kirby Lot Texas Medical Center Walgreens Pharmacy and NRG Park in any order,& F north_kirby_lot & F texas_medical_center & F walgreens_pharmacy F nrg_park,Houston,"error:['&', 'F', 'lm(', 'North', 'Kirby', ')lm', '&', 'F', 'F', 'lm(', 'Center', ')lm', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
7911,visit Infinite Smiles Family Dentistry Taco Cabana Fiesta and Office Depot in any order,& F infinite_smiles_family_dentistry & F taco_cabana & F fiesta F office_depot,Houston,& F infinite_smiles_family_dentistry & F taco_cabana )lm F five_guys lm( five_guys,False
7912,visit Freebirds World Burrito Antone's Import Co. GameStop and Walgreens Pharmacy in no particular order,& F freebirds_world_burrito & F antone's_import_co. & F gamestop F walgreens_pharmacy,Houston,& F antone's_import_co. & F F the_ups_store & F freebirds_world_burrito F F F freebirds_world_burrito,False
7913,visit Five Guys PetSmart Taco Cabana and SpringHill Suites Houston Medical Center/NRG Park in no particular order,& F five_guys & F petsmart & F taco_cabana F springhill_suites_houston_medical_center/nrg_park,Houston,"error:['&', 'F', 'lm(', 'Cabana', ')lm', '&', 'F', 'F', 'lm(', 'F', 'F', 'Medical', ')lm', 'F', 'F', 'lm(', 'lm(', 'Guys', ')lm', ')lm', 'F', 'F', 'lm(', 'Guys', 'Guys', 'Guys', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Guys', 'Guys', ')lm']",False
7914,go to Office Depot Viet's Express The UPS Store and Walgreens Pharmacy in any order,& F the_ups_store & F office_depot & F walgreens_pharmacy F viet's_express,Houston,"error:['&', 'F', 'lm(', 'Office', 'Depot', ')lm', '&', 'F', 'lm(', 'The', 'The', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm']",False
7915,go to Texas Medical Center Akashi Asian Sushi Cuisine & Wine Bar NRG Park and PetSmart in any order,& F nrg_park & F texas_medical_center & F petsmart F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', 'F', 'lm(', 'Texas', 'Medical', ')lm', '&', '&', 'F', 'lm(', 'Asian', 'Asian', ')lm', '&', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
7916,reach all the following locations Five Guys Purple Lot Olive Garden and Fiesta,& F five_guys & F purple_lot & F olive_garden F fiesta,Houston,"error:['&', 'F', 'lm(', 'Five', 'Five', ')lm', '&', 'F', 'lm(', 'Olive', 'Garden', ')lm', ')lm']",False
7917,reach all the following locations Antone's Import Co. Big Lots Akashi Asian Sushi Cuisine & Wine Bar and Chipotle,& F antone's_import_co. & F big_lots & F akashi_asian_sushi_cuisine_&_wine_bar F chipotle,Houston,"error:['&', 'F', 'lm(', ""Antone's"", ""Antone's"", 'the', 'Co.', ')lm', '&', 'F', 'lm(', 'Lots', 'Lots', ')lm', '&', 'F', 'lm(', 'Asian', 'Sushi', ')lm', ')lm', 'F', 'lm(', '&', ')lm', ')lm']",False
7918,make sure Antone's Import Co. Holiday Inn Houston - NRG/Medical Center Area Freebirds World Burrito Olive Garden and Pizza Hut are all visited,& F antone's_import_co. & F holiday_inn_houston_-_nrg/medical_center_area & F freebirds_world_burrito & F olive_garden F pizza_hut,Houston,"error:['&', 'F', 'lm(', ""Antone's"", 'Import', ')lm', '&', 'F', 'F', 'lm(', 'Inn', '-', '-', 'Center', ')lm', '&', 'F', 'lm(', 'Area', ')lm', ')lm', ')lm', 'F', 'lm(', 'lm(', 'and', 'Pizza', ')lm']",False
7919,make sure Freebirds World Burrito Olive Garden Office Depot Antone's Import Co. and Viet's Express are all visited,& F freebirds_world_burrito & F olive_garden & F office_depot & F antone's_import_co. F viet's_express,Houston,& F freebirds_world_burrito & F olive_garden )lm F five_guys lm( big_lots )lm )lm five_guys lm( five_guys lm(,False
7920,visit Olive Garden Taco Cabana GameStop Fannin Substation and Capital One Bank,& F olive_garden & F taco_cabana & F gamestop & F fannin_substation F capital_one_bank,Houston,"error:['&', 'F', 'lm(', 'Garden', 'Garden', ')lm', '&', 'F', 'lm(', 'lm(', 'GameStop', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Garden', ')lm']",False
7921,visit Texas Medical Center Bank of America Financial Center Fannin Substation SpringHill Suites Houston Medical Center/NRG Park and Viet's Express,& F texas_medical_center & F bank_of_america_financial_center & F fannin_substation & F springhill_suites_houston_medical_center/nrg_park F viet's_express,Houston,"error:['&', 'F', 'lm(', 'Center', ')lm', 'Center', 'Center', 'Center', '&', 'Center', 'lm(', 'Center', 'lm(', 'Center', ')lm', '&', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm']",False
7922,you must visit Viet's Express Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby TGF Hair Salon Chipotle Akashi Asian Sushi Cuisine & Wine Bar but it can be done in any order,& F viet's_express & F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby & F tgf_hair_salon & F chipotle F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', 'G', '!', 'lm(', 'Stay', 'America', '-', '-', ')lm', ')lm', '&', 'G', '!', 'lm(', 'lm(', '-', '-', ')lm', ')lm', ')lm', ')lm', '-', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'done', 'done', 'done', 'done', 'done', 'done', 'done', ')lm']",False
