,nl_command,ltl,map_name,result,eq
3872,go to Barley's Brewing Company,F barley's_brewing_company,Columbus #2,F barley's_brewing_company,True
3873,go to Arnold Schwarzenegger statue,F arnold_schwarzenegger_statue,Columbus #2,F mikey's_late_night_slice,False
3874,please go to Arena Crossing Apartments,F arena_crossing_apartments,Columbus #2,"error:['F', 'lm(', 'lm(', 'Arena', ')lm']",False
3875,please go to Hilton Columbus Downtown,F hilton_columbus_downtown,Columbus #2,"error:['F', 'lm(', 'lm(', 'Hilton', ')lm']",False
3876,visit Brothers Bar & Grill,F brothers_bar_&_grill,Columbus #2,"error:['F', 'lm(', 'lm(', 'Bar', ')lm']",False
3877,visit BBR,F bbr,Columbus #2,F bbr,True
3878,make your way to Martini Modern Italian,F martini_modern_italian,Columbus #2,"error:['F', 'lm(', 'lm(', 'Martini', 'Modern', ')lm']",False
3879,make your way to Martinis,F martinis,Columbus #2,"error:['F', 'lm(', 'Martinis', 'Martinis']",False
3880,find North Market Parking,F north_market_parking,Columbus #2,F north_market,False
3881,find Columbus Convention Center,F columbus_convention_center,Columbus #2,F columbus_convention_center,True
3882,reach Arena Crossing Apartments,F arena_crossing_apartments,Columbus #2,F arena_crossing_apartments,True
3883,reach Garage Bar,F garage_bar,Columbus #2,F garage_bar,True
3884,go to BBR then go to Dahlia Nightclub or go to Dahlia Nightclub then go to BBR,& F bbr F dahlia_nightclub,Columbus #2,"error:['F', '&', 'lm(', 'BBR', ')lm', 'F', 'F', 'lm(', 'lm(', 'Dahlia', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
3885,go to Dahlia Nightclub then go to Park Street Tavern or go to Park Street Tavern then go to Dahlia Nightclub,& F dahlia_nightclub F park_street_tavern,Columbus #2,"error:['F', '&', 'lm(', 'lm(', 'Nightclub', ')lm', 'F', '&', 'lm(', 'Street', 'Park', 'Park', ')lm', 'F', 'lm(', 'Park', 'Park', ')lm']",False
3886,go to BBR and CoGo North Market in an arbitrary order,& F bbr F cogo_north_market,Columbus #2,G F bbr )lm F F short_north lm( n_high_st_&_spruce_st,False
3887,go to Hampton Inn and Suites Columbus Downtown and Brothers Bar & Grill in an arbitrary order,& F hampton_inn_and_suites_columbus_downtown F brothers_bar_&_grill,Columbus #2,"error:['&', 'G', 'F', 'lm(', 'Hampton', ')lm', ')lm', 'F', 'F', 'lm(', 'Downtown', 'and', 'Downtown', ')lm', 'F', 'F', 'lm(', 'Bar', 'Grill', ')lm']",False
3888,make sure both N High St & Spruce St and Char Bar are visited,& F n_high_st_&_spruce_st F char_bar,Columbus #2,G F barley's_brewing_company F F n_high_st_&_spruce_st,False
3889,make sure both N High St & Spruce St and Martini Modern Italian are visited,& F n_high_st_&_spruce_st F martini_modern_italian,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'both', 'High', 'High', 'St', ')lm', 'F', 'lm(', 'Spruce', 'St', ')lm']",False
3890,stop by Garage Bar and Short North,& F garage_bar F short_north,Columbus #2,"error:['F', 'lm(', 'lm(', 'Garage', 'Bar', ')lm']",False
3891,stop by N High St & Spruce St and Arnold Schwarzenegger statue,& F n_high_st_&_spruce_st F arnold_schwarzenegger_statue,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'High', 'High', ')lm', 'St', ')lm', 'F', 'lm(', 'Spruce', 'St', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
3892,visit Arena Crossing Apartments and Brothers Bar & Grill,& F arena_crossing_apartments F brothers_bar_&_grill,Columbus #2,"error:['&', '&', 'lm(', 'lm(', 'Crossing', ')lm', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F', 'F', 'F', 'lm(', 'F', ')lm']",False
3893,visit Dahlia Nightclub and North Market Parking,& F dahlia_nightclub F north_market_parking,Columbus #2,G F dahlia_nightclub F F short_north,False
3894,pick one from Columbus Children's Theatre and North Market go there and then head to the other one,& F columbus_children's_theatre F north_market,Columbus #2,"error:['G', 'e', 'lm(', 'pick', 'Theatre', ')lm', 'X', 'lm(', 'lm(', 'North', 'Theatre', ')lm']",False
3895,pick one from Brothers Bar & Grill and Park Street Tavern go there and then head to the other one,& F brothers_bar_&_grill F park_street_tavern,Columbus #2,"error:['F', 'F', 'lm(', 'pick', ')lm', ')lm', 'F', 'F', 'lm(', 'Grill', 'Park', ')lm']",False
3896,go to Park Street Tavern Garage Bar and Char Bar in any order,& F park_street_tavern & F garage_bar F char_bar,Columbus #2,"error:['&', 'F', 'lm(', 'Park', ')lm', 'F', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Park', 'Park', ')lm']",False
3897,go to North Market Parking Barley's Brewing Company and Arena Crossing Apartments in any order,& F north_market_parking & F barley's_brewing_company F arena_crossing_apartments,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'F', 'F', 'lm(', 'lm(', 'F', ')lm', 'F', 'F', 'lm(', 'F', 'F']",False
3898,find North Market CoGo North Market and Martini Modern Italian,& F north_market & F cogo_north_market F martini_modern_italian,Columbus #2,"error:['&', 'F', 'lm(', 'North', 'Market', ')lm', 'F', 'F', 'lm(', 'lm(', 'North', ')lm', 'F', 'F', 'lm(', 'lm(', 'F', ')lm']",False
3899,find Hampton Inn and Suites Columbus Downtown Columbus Convention Center - Vine Street Garage and N High St & Spruce St,& F hampton_inn_and_suites_columbus_downtown & F columbus_convention_center_-_vine_street_garage F n_high_st_&_spruce_st,Columbus #2,"error:['&', 'F', 'lm(', 'Hampton', 'Inn', ')lm', '&', 'F', 'lm(', 'Columbus', 'Columbus', ')lm', 'F', 'F', 'lm(', 'lm(', 'Convention', 'Center', '-', 'Center', ')lm', 'F', 'F', 'lm(', 'lm(', 'F', ')lm', ')lm']",False
3900,go to Martinis Martini Modern Italian and North Market Parking,& F martinis & F martini_modern_italian F north_market_parking,Columbus #2,"error:['F', '&', 'lm(', 'Martinis', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Martini', ')lm']",False
3901,go to Hampton Inn and Suites Columbus Downtown Columbus Children's Theatre and Arena Crossing Apartments,& F hampton_inn_and_suites_columbus_downtown & F columbus_children's_theatre F arena_crossing_apartments,Columbus #2,"error:['&', 'F', 'lm(', 'Hampton', 'Inn', ')lm', 'F', 'F', 'lm(', 'Columbus', 'Downtown', ')lm', 'F', 'F', 'lm(', 'lm(', 'Theatre', ')lm']",False
3902,stop by BBR N High St & Spruce St and Columbus Children's Theatre in any order,& F bbr & F n_high_st_&_spruce_st F columbus_children's_theatre,Columbus #2,"error:['&', 'F', 'F', 'lm(', 'BBR', 'N', 'High', 'St', ')lm', 'F', 'F', 'lm(', 'Spruce', 'St', ')lm', 'F', 'lm(', 'lm(', 'Theatre', ')lm']",False
3903,stop by Char Bar Garage Bar and Brothers Bar & Grill in any order,& F char_bar & F garage_bar F brothers_bar_&_grill,Columbus #2,"error:['&', '&', 'lm(', 'lm(', 'Char', 'Bar', 'Garage', ')lm', 'F', 'F', 'lm(', 'Brothers', 'Brothers', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Grill', ')lm']",False
3904,CoGo North Market Martinis and Short North must be visited,& F cogo_north_market & F martinis F short_north,Columbus #2,"error:['&', 'G', '!', 'lm(', 'North', ')lm', ')lm', 'G', 'G', 'lm(', 'lm(', 'lm(', 'Short', ')lm']",False
3905,Market Blooms N High St & Spruce St and Barley's Brewing Company must be visited,& F market_blooms & F n_high_st_&_spruce_st F barley's_brewing_company,Columbus #2,"error:['&', 'G', '!', 'lm(', 'Blooms', ')lm', ')lm', ')lm', 'St', ')lm', 'lm(', 'lm(', 'lm(', 'Spruce', ')lm', ')lm', 'F', 'lm(', 'lm(', ""Barley's"", ')lm']",False
3906,make sure Martini Modern Italian Park Street Tavern and Char Bar are all visited,& F martini_modern_italian & F park_street_tavern F char_bar,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'Park', ')lm', '&', 'F', 'lm(', 'lm(', 'F', 'Park', ')lm', 'F', 'F', 'lm(', 'F', 'Park', ')lm']",False
3907,make sure Arena Crossing Apartments North Market Parking and N High St & Spruce St are all visited,& F arena_crossing_apartments & F north_market_parking F n_high_st_&_spruce_st,Columbus #2,& G F arena_crossing_apartments )lm F F & F short_north lm( Parking Parking )lm F short_north lm( n_high_st_&_spruce_st,False
3908,move to Short North Park Street Cantina Garage Bar and Char Bar in any order,& F short_north & F park_street_cantina & F garage_bar F char_bar,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'Park', ')lm', '&', 'F', 'lm(', 'lm(', 'Street', 'Cantina', ')lm', 'F', 'F', 'lm(', 'F', 'Park', ')lm']",False
3909,move to Park Street Cantina Hampton Inn and Suites Columbus Downtown CoGo North Market and Hilton Columbus Downtown in any order,& F park_street_cantina & F hampton_inn_and_suites_columbus_downtown & F cogo_north_market F hilton_columbus_downtown,Columbus #2,& F park_street_cantina & F hampton_inn_and_suites_columbus_downtown F F hampton_inn_and_suites_columbus_downtown F F n_high_st_&_spruce_st,False
3910,make sure to visit Hilton Columbus Downtown Short North N High St & Spruce St and Brothers Bar & Grill in any order,& F hilton_columbus_downtown & F short_north & F brothers_bar_&_grill F n_high_st_&_spruce_st,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'Hilton', ')lm', '&', '&', 'F', 'lm(', 'Short', 'Short', 'North', ')lm', 'F', 'F', 'lm(', 'lm(', 'High', 'F', ')lm', 'F', 'lm(', 'lm(', 'F', 'Bar', ')lm']",False
3911,make sure to visit North Market Parking Arnold Schwarzenegger statue BBR and Market Blooms in any order,& F north_market_parking & F arnold_schwarzenegger_statue & F market_blooms F bbr,Columbus #2,"error:['&', 'F', 'lm(', 'lm(', 'North', ')lm', ')lm', 'F', '&', 'lm(', 'F', 'lm(', 'Schwarzenegger', 'F', 'F', 'F', 'lm(', 'F', 'F', 'F']",False
