,nl_command,ltl,map_name,result,eq
9576,keep visiting Parking 36,G F parking_36,Los Angeles #1,"error:['G', 'lm(', 'lm(', 'Parking', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm']",False
9577,keep visiting Plaza la Reina,G F plaza_la_reina,Los Angeles #1,G 800_degrees lm( village_center_newsstand,False
9578,go to The Gayley Building an infinite number of times,G F the_gayley_building,Los Angeles #1,"error:['!', 'F', '&', 'lm(', 'The', 'Building', ')lm', 'U', 'U', 'lm(', 'The', 'Building', ')lm', '&', '!', 'lm(', 'The', 'Gayley', ')lm', 'Building', '!', 'lm(', 'The', 'Gayley', ')lm', '&', '!', 'lm(', 'lm(', 'The', 'Building', ')lm', 'U', 'lm(', 'The', 'Gayley', ')lm', '&', '!', '!', 'lm(', 'The', 'Building', ')lm', 'U', 'lm(', 'The', 'Gayley', ')lm', '&', '!', 'lm(', 'lm(', 'The', 'Building', ')lm', 'U', 'lm(', 'The', 'Gayley', ')lm', '&', '!', '!', 'lm(', 'The', 'Building', ')lm', 'U', 'lm(', 'The', 'Gayley', ')lm', 'Building', ')lm', '!', 'lm(', 'The', 'Building', ')lm', ')lm', 'U', 'lm(', 'The', 'Building', ')lm', '&', '!', 'lm(', 'The', 'Building', ')lm', 'U', '!', 'lm(', 'The', 'Building', ')lm', 'F', 'lm(', 'lm(', 'The', 'Building', ')lm', ')lm', 'lm(', 'lm(', 'The', 'Building', ')lm', '&', '!', 'lm(', 'The', 'Building', ')lm']",False
9579,go to Westwood's Village Square an infinite number of times,G F westwood's_village_square,Los Angeles #1,"error:['!', 'F', '&', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'U', 'lm(', 'lm(', 'Village', ')lm', '&', '!', '!', 'lm(', 'lm(', 'Village', ')lm', '&', '!', 'lm(', 'lm(', 'Village', '&', '&', '!', 'lm(', 'lm(', 'Village', '&', '&', '!', 'lm(', 'lm(', 'Village', 'Village', ')lm', '&', 'F', 'lm(', 'lm(', 'Village', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Village', 'Village', '&', '&', 'F', 'lm(', 'lm(', 'Village', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Village', 'Village', '&', '&', 'F', 'lm(', 'lm(', 'Village', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Village', 'Village', ')lm', '&', 'F', 'lm(', 'lm(', 'Village', 'Square', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Village', ')lm', '&', 'F', 'lm(', 'lm(', 'Village', 'Square', ')lm', ')lm', '!', 'lm(', 'lm(', 'Village', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Village', 'Square', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Village', 'Square', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Village', 'Square', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Village', ')lm', ')lm', ')lm', ')lm', 'lm(', 'Village', ')lm', ')lm', ')lm', ')lm', ')lm', 'Village', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', 'Village', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Square', ')lm', ')lm']",False
9580,continue moving to Mongol BBQ,G F mongol_bbq,Los Angeles #1,"error:['F', 'lm(', 'lm(', 'moving', ')lm']",False
9581,continue moving to Starbucks,G F starbucks,Los Angeles #1,"error:['F', 'lm(', 'lm(', 'moving', ')lm']",False
9582,do not stop visiting Gayley Center,G F gayley_center,Los Angeles #1,"error:['G', '!', 'lm(', 'Center', ')lm', 'Center', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm']",False
9583,do not stop visiting Plaza la Reina,G F plaza_la_reina,Los Angeles #1,G ! plaza_la_reina,False
9584,do not stop going to bibigo,G F bibigo,Los Angeles #1,"error:['G', '!', 'lm(', 'bibigo', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
9585,do not stop going to Village Center Newsstand,G F village_center_newsstand,Los Angeles #1,G ! village_center_newsstand,False
