LTL Template Type,Number of Propositions,Number of Utterances
exact_restricted_avoidance,1,60
exact_restricted_avoidance,2,35
exact_restricted_avoidance,3,35
exact_restricted_avoidance,4,35
exact_restricted_avoidance,5,35
fair_visit,2,540
fair_visit,3,1200
fair_visit,4,2400
fair_visit,5,2400
future_avoidance,2,100
global_avoidance,1,85
global_avoidance,2,340
global_avoidance,3,1020
global_avoidance,4,2040
global_avoidance,5,2040
lower_restricted_avoidance,1,60
lower_restricted_avoidance,2,60
lower_restricted_avoidance,3,60
lower_restricted_avoidance,4,60
lower_restricted_avoidance,5,60
ordered_visit,2,520
ordered_visit,3,1320
ordered_visit,4,2400
ordered_visit,5,2520
past_avoidance,2,100
patrolling,1,150
patrolling,2,480
patrolling,3,1380
patrolling,4,2880
patrolling,5,2880
sequenced_visit,2,540
sequenced_visit,3,1560
sequenced_visit,4,2640
sequenced_visit,5,2880
strictly_ordered_visit,2,500
strictly_ordered_visit,3,1260
strictly_ordered_visit,4,2520
strictly_ordered_visit,5,2760
upper_restricted_avoidance,1,60
upper_restricted_avoidance,2,60
upper_restricted_avoidance,3,60
upper_restricted_avoidance,4,60
upper_restricted_avoidance,5,60
visit,1,130
visit,2,540
visit,3,1560
visit,4,2880
visit,5,2880
