,nl_command,ltl,map_name,result,eq
5400,only visit La Margarita Fountain Square once and do not visit Fountain Square Branch Indianapolis-Marion County Public Library until you visit La Margarita Fountain Square,& & U ! fountain_square_branch_indianapolis-marion_county_public_library la_margarita_fountain_square F fountain_square_branch_indianapolis-marion_county_public_library U ! la_margarita_fountain_square U la_margarita_fountain_square U ! la_margarita_fountain_square fountain_square_branch_indianapolis-marion_county_public_library,Indianapolis,"error:['&', 'U', '!', 'lm(', 'Fountain', 'Square', ')lm', 'lm(', 'lm(', 'La', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Margarita', ')lm']",False
5401,only visit La Margarita Fountain Square once and do not visit El Arado until you visit La Margarita Fountain Square,& & U ! el_arado la_margarita_fountain_square F el_arado U ! la_margarita_fountain_square U la_margarita_fountain_square U ! la_margarita_fountain_square el_arado,Indianapolis,"error:['G', 'i', 'lm(', 'lm(', 'El', ')lm', ')lm', 'lm(', 'lm(', '!', ')lm', ')lm', ')lm', 'lm(', 'Margarita', ')lm']",False
5402,go to PNC Bank Drive-Thru exactly once while avoiding Smokehouse On Shelby then go to Smokehouse On Shelby,& & U ! smokehouse_on_shelby pnc_bank_drive-thru F smokehouse_on_shelby U ! pnc_bank_drive-thru U pnc_bank_drive-thru U ! pnc_bank_drive-thru smokehouse_on_shelby,Indianapolis,"error:['G', 'i', 'lm(', 'lm(', 'Smokehouse', ')lm', 'X', 'G', 'lm(', 'lm(', 'PNC', 'Drive-Thru', ')lm']",False
5403,go to Fountain Square Branch Indianapolis-Marion County Public Library exactly once while avoiding La Margarita Fountain Square then go to La Margarita Fountain Square,& & U ! la_margarita_fountain_square fountain_square_branch_indianapolis-marion_county_public_library F la_margarita_fountain_square U ! fountain_square_branch_indianapolis-marion_county_public_library U fountain_square_branch_indianapolis-marion_county_public_library U ! fountain_square_branch_indianapolis-marion_county_public_library la_margarita_fountain_square,Indianapolis,"error:['F', 'U', '!', 'lm(', 'La', ')lm', ')lm', 'lm(', 'lm(', 'Square', ')lm', ')lm', 'Library', ')lm']",False
5404,reach Hero House Comics exactly once while staying away from PNC Bank then move to PNC Bank,& & U ! pnc_bank hero_house_comics F pnc_bank U ! hero_house_comics U hero_house_comics U ! hero_house_comics pnc_bank,Indianapolis,G i hero_house_comics,False
5405,reach La Margarita Fountain Square exactly once while staying away from PNC Bank then move to PNC Bank,& & U ! pnc_bank la_margarita_fountain_square F pnc_bank U ! la_margarita_fountain_square U la_margarita_fountain_square U ! la_margarita_fountain_square pnc_bank,Indianapolis,"error:['G', 'i', 'lm(', 'lm(', 'PNC', ')lm', 'X', 'X', 'G', 'La', 'Margarita']",False
5406,move to Mama Irma exactly once while avoiding Fountain Square Branch Indianapolis-Marion County Public Library then find Fountain Square Branch Indianapolis-Marion County Public Library,& & U ! fountain_square_branch_indianapolis-marion_county_public_library mama_irma F fountain_square_branch_indianapolis-marion_county_public_library U ! mama_irma U mama_irma U ! mama_irma fountain_square_branch_indianapolis-marion_county_public_library,Indianapolis,"error:['&', '&', 'lm(', 'Fountain', 'Fountain', 'Square', ')lm', 'F', '&', 'lm(', 'Indianapolis-Marion', 'County', ')lm', 'F', '&', 'lm(', 'lm(', 'Fountain', 'Square', ')lm', 'F', 'lm(', 'lm(', 'Mama', ')lm']",False
5407,move to La Margarita Fountain Square exactly once while avoiding Hero House Comics then find Hero House Comics,& & U ! hero_house_comics la_margarita_fountain_square F hero_house_comics U ! la_margarita_fountain_square U la_margarita_fountain_square U ! la_margarita_fountain_square hero_house_comics,Indianapolis,"error:['F', '&', 'lm(', 'lm(', 'Hero', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Margarita', ')lm']",False
5408,navigate to Fountain Square exactly once while staying away from PNC Bank then you can go to PNC Bank,& & U ! pnc_bank fountain_square F pnc_bank U ! fountain_square U fountain_square U ! fountain_square pnc_bank,Indianapolis,"error:['G', 'i', 'lm(', 'lm(', ')lm', ')lm', 'X', 'X', 'G', 'Fountain', 'Square', ')lm']",False
5409,navigate to Fountain Square Branch Indianapolis-Marion County Public Library exactly once while staying away from Hero House Comics then you can go to Hero House Comics,& & U ! hero_house_comics fountain_square_branch_indianapolis-marion_county_public_library F hero_house_comics U ! fountain_square_branch_indianapolis-marion_county_public_library U fountain_square_branch_indianapolis-marion_county_public_library U ! fountain_square_branch_indianapolis-marion_county_public_library hero_house_comics,Indianapolis,"error:['G', 'U', '!', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'Library', ')lm', 'F', 'Library', ')lm']",False
