,nl_command,ltl,map_name,result,eq
644,do not go to Clinical Research Building until you see Leidy Laboratories,U ! clinical_research_building leidy_laboratories,Philadelphia #2,"error:['G', 'lm(', 'lm(', 'Research', 'Building', ')lm', 'lm(', 'Leidy', 'Laboratories', ')lm']",False
645,do not go to Clinical Research Building until you see Speakman,U ! clinical_research_building speakman,Philadelphia #2,"error:['G', 'lm(', 'lm(', 'Research', 'Building', ')lm', 'lm(', 'Speakman', 'Speakman']",False
646,avoid visiting Perelman Center for Advanced Medicine till you observe CHOP Parking Garage,U ! perelman_center_for_advanced_medicine chop_parking_garage,Philadelphia #2,"error:['&', 'i', 'lm(', 'lm(', 'Advanced', ')lm', 'X', 'lm(', '!', 'lm(', 'Center', ')lm']",False
647,avoid visiting Leonard and Madlyn Abramson Pediatric Research Center till you observe Brooks,U ! leonard_and_madlyn_abramson_pediatric_research_center brooks,Philadelphia #2,"error:['&', 'U', '!', 'lm(', 'Pediatric', ')lm', 'lm(', 'lm(', 'Leonard', ')lm']",False
648,do not go to Biology Pond until Warwick has occured,U ! biology_pond warwick,Philadelphia #2,"error:['U', 'lm(', 'lm(', 'Biology', 'Pond', ')lm', 'lm(', 'lm(', 'occured', ')lm', ')lm', 'lm(', '!', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Biology']",False
649,do not go to Memorial Tower until Leonard and Madlyn Abramson Pediatric Research Center has occured,U ! memorial_tower leonard_and_madlyn_abramson_pediatric_research_center,Philadelphia #2,"error:['&', 'G', '!', 'lm(', 'Memorial', 'and', ')lm', 'lm(', ')lm', 'F', 'lm(', 'Madlyn', 'and', ')lm', ')lm']",False
650,once you observe Fitler only then are you allowed to go to Lancaster Farms CSA Drop Site,U ! lancaster_farms_csa_drop_site fitler,Philadelphia #2,"error:['G', 'i', 'lm(', 'lm(', ')lm', 'X', 'G', 'G', 'lm(', 'lm(', 'Fitler', ')lm', ')lm']",False
651,once you observe Coxe only then are you allowed to go to James G. Kaskey Memorial Park,U ! james_g._kaskey_memorial_park coxe,Philadelphia #2,"error:['G', 'i', 'lm(', 'lm(', 'Park', ')lm', 'G', 'G', 'lm(', 'lm(', 'James', ')lm', ')lm']",False
652,you can visit Wawa only after seeing Stouffer Commons,U ! wawa stouffer_commons,Philadelphia #2,"error:['G', 'i', 'lm(', ')lm', 'Commons', ')lm']",False
653,you can visit New York Alumni only after seeing Thomas Penn,U ! new_york_alumni thomas_penn,Philadelphia #2,G i new_york_alumni X,False
654,do not go to Perelman Center for Advanced Medicine until you go to Children's Seashore House of CHOP,U ! perelman_center_for_advanced_medicine children's_seashore_house_of_chop,Philadelphia #2,& U ! perelman_center_for_advanced_medicine wilson )lm wilson lm( of Center )lm wilson lm( perelman_center_for_advanced_medicine,False
655,do not go to Brooks until you go to Lancaster Farms CSA Drop Site,U ! brooks lancaster_farms_csa_drop_site,Philadelphia #2,G i biology_pond G bishop_white,False
656,avoid Leidy Laboratories until you reach Upper Quad,U ! leidy_laboratories upper_quad,Philadelphia #2,"error:['G', 'i', 'lm(', 'Upper', ')lm', 'X', 'X', 'G', '!', 'lm(', 'Leidy']",False
657,avoid Perelman Center for Advanced Medicine until you reach Vance Hall,U ! perelman_center_for_advanced_medicine vance_hall,Philadelphia #2,"error:['G', 'i', 'lm(', 'for', 'Medicine', ')lm', 'lm(', 'G', '!', 'lm(', 'lm(', 'Medicine', ')lm']",False
658,stay away from Leidy Laboratories until you move to Veterans' Affairs Medical Centre,U ! leidy_laboratories veterans'_affairs_medical_centre,Philadelphia #2,G i leidy chop_parking_garage lm( leidy_laboratories,False
659,stay away from Clinical Research Building until you move to Lancaster Farms CSA Drop Site,U ! clinical_research_building lancaster_farms_csa_drop_site,Philadelphia #2,"error:['&', 'U', '!', 'lm(', 'Research', 'Building', ')lm', 'lm(', ')lm', 'Farms', ')lm', ')lm', 'F', 'lm(', 'Research', 'Building', ')lm']",False
660,do not move to Mask & Wig until you arrive at Au Bon Pain,U ! mask_&_wig au_bon_pain,Philadelphia #2,"error:['U', 'lm(', 'Mask', 'Wig', ')lm', 'lm(', 'lm(', 'Bon', ')lm']",False
661,do not move to Mask & Wig until you arrive at Chestnut,U ! mask_&_wig chestnut,Philadelphia #2,"error:['U', 'lm(', 'Mask', 'Wig', ')lm', 'lm(', 'lm(', 'Chestnut']",False
662,do not go to Rodney until you have gone to Veterans' Affairs Medical Centre,U ! rodney veterans'_affairs_medical_centre,Philadelphia #2,"error:['G', 'i', 'lm(', ""Veterans'"", 'Affairs', ')lm', 'X', 'G', '!', 'lm(', 'Rodney', ')lm', ')lm']",False
663,do not go to Hopkinson until you have gone to College Hall,U ! hopkinson college_hall,Philadelphia #2,G i college_hall,False
664,avoid Children's Hospital of Philadelphia at all costs until you reach Children's Seashore House of CHOP first,U ! children's_hospital_of_philadelphia children's_seashore_house_of_chop,Philadelphia #2,"error:['G', '!', 'lm(', 'lm(', 'House', ')lm', 'X', 'G', 'G', 'G', '!', 'lm(', 'of', 'of', 'of', 'of']",False
665,avoid Hopkinson at all costs until you reach Biology Pond first,U ! hopkinson biology_pond,Philadelphia #2,"error:['G', '!', 'lm(', 'Biology', ')lm', 'X', 'G', '!', 'lm(', 'lm(', 'Hopkinson', 'Hopkinson']",False
666,until you have gone to Upper Quad you can not go to Coxe,U ! coxe upper_quad,Philadelphia #2,"error:['G', 'i', 'lm(', 'Upper', ')lm', 'X', 'X', 'G', '!', 'lm(', 'Upper', 'Quad']",False
667,until you have gone to Wawa you can not go to CHOP Parking Garage,U ! chop_parking_garage wawa,Philadelphia #2,"error:['G', 'i', 'lm(', 'Wawa', ')lm', 'X', 'G', 'X', 'lm(', '!', 'lm(', ')lm']",False
668,you can not go to Lancaster Farms CSA Drop Site until you go to 1920 Commons,U ! lancaster_farms_csa_drop_site 1920_commons,Philadelphia #2,"error:['G', 'i', 'lm(', 'lm(', ')lm', ')lm', 'lm(', ')lm', 'lm(', 'lm(', ')lm', ')lm', 'Drop', ')lm', ')lm']",False
669,you can not go to Speakman until you go to CHOP Parking Garage,U ! speakman chop_parking_garage,Philadelphia #2,"error:['G', 'i', 'lm(', 'CHOP', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm']",False
670,never go to CHOP Parking Garage until you see Children's Hospital of Philadelphia Heliport,U ! chop_parking_garage children's_hospital_of_philadelphia_heliport,Philadelphia #2,"error:['G', 'i', 'lm(', 'Parking', ')lm', 'X', 'lm(', '!', 'lm(', 'of', 'Philadelphia']",False
671,never go to Perelman Center for Advanced Medicine until you see Foerderer,U ! perelman_center_for_advanced_medicine foerderer,Philadelphia #2,& U ! perelman_center_for_advanced_medicine morgan,False
672,you can not go to Vance Hall before Speakman happens,U ! vance_hall speakman,Philadelphia #2,"error:['G', 'i', 'lm(', 'Speakman', 'X', 'X']",False
673,you can not go to Baldwin before Rodney happens,U ! baldwin rodney,Philadelphia #2,"error:['G', 'i', 'lm(', 'lm(', ')lm', 'X']",False
674,you can only go to Stouffer Commons after Chestnut is seen,U ! stouffer_commons chestnut,Philadelphia #2,"error:['G', 'i', 'lm(', 'lm(', 'Chestnut', ')lm']",False
675,you can only go to Hopkinson after Morgan is seen,U ! hopkinson morgan,Philadelphia #2,G i hopkinson,False
676,Brooks must be observed before visiting Biology Pond,U ! biology_pond brooks,Philadelphia #2,"error:['G', 'lm(', 'lm(', 'Biology', 'Pond', ')lm', 'F', 'lm(', 'lm(', 'Brooks', ')lm']",False
677,Perelman Center for Advanced Medicine must be observed before visiting Speakman,U ! speakman perelman_center_for_advanced_medicine,Philadelphia #2,G i children's_hospital_of_philadelphia F children's_hospital_of_philadelphia,False
678,you can visit Leidy Laboratories but only after you see Au Bon Pain,U ! leidy_laboratories au_bon_pain,Philadelphia #2,"error:['G', 'i', 'lm(', 'Pain', 'X', 'X']",False
679,you can visit USPS Postbox but only after you see Wilson,U ! usps_postbox wilson,Philadelphia #2,"error:['G', 'i', 'lm(', 'thai', 'X', 'X']",False
