Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,2,Navigate straight ahead to the Catfish Station and then travel northeast until you arrive at the Viet's Express.,F & catfish_station F viets_express,F & catfish_station F & viets_express,Syntax Error,Syntax Error
visit,1,Move to Cajun restaurant.,F catfish_station,F taco_cabana,FALSE,FALSE
visit,1,"In a straight line, make your way to Catfish Station, which is your stop",F catfish_station,G F catfish_station,FALSE,FALSE
visit,1,Go straight across Kirby Drive until you reach Catfish Station.,F catfish_station,U gamestop catfish_station,FALSE,FALSE
visit,1,move to Catfish Station and avoid Viet's Express,F catfish_station,& G ! viets_express F catfish_station,FALSE,FALSE
visit,1,Navigate West on La Concha Lane and arrive at Catfish Station without going near TGF Hair Salon.,F catfish_station,& U ! catfish_station taco_cabana F catfish_station,FALSE,FALSE
visit,2,Go straight until you reach Catfish station and then head northeast to Wet's Express.,F & catfish_station F viets_express,U catfish_station F office_depot,FALSE,FALSE
visit,2,"Move to Viet's Express, but go to Catfish Station first.",F & catfish_station F viets_express,F & viets_express F catfish_station,FALSE,FALSE
visit,2,Proceed through the restaurant and make your way to Viet's Express.,F & catfish_station F viets_express,F & d F & c F & b F viets_express,FALSE,FALSE
visit,2,Go to the Cajun restaurant and then to Viet's Express,F & catfish_station F viets_express,F & taco_cabana F viets_express,FALSE,FALSE
visit,2,Move to the Cajun restaurant and then to the Vietnamese restaurant.,F & catfish_station F viets_express,F & taco_cabana F viets_express,FALSE,FALSE
visit,2,Go to Catfish Station while on your way to Viet's Express,F & catfish_station F viets_express,F & viets_express F catfish_station,FALSE,FALSE
visit,2,Go to TGF Hair Salon while on your way to Catfish Station,F & tgf_hair_salon F catfish_station,F & catfish_station F tgf_hair_salon,FALSE,FALSE
visit,2,Navigate to TGF hair salon on your way to the Cajun restaurant.,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F taco_cabana,FALSE,FALSE
visit,2,Move to Catfish station but be sure to proceed through TGF hair salon.,F & tgf_hair_salon F catfish_station,F & catfish_station F tgf_hair_salon,FALSE,FALSE
visit,2,Go straight to Wet's Express and then turn left to TGF Hair Salon.,F & viets_express F tgf_hair_salon,F & office_depot F tgf_hair_salon,FALSE,FALSE
visit,1,Go straight to Catfish Station.,F catfish_station,F catfish_station,TRUE,TRUE
visit,1,Go straight to Catfish Station,F catfish_station,F catfish_station,TRUE,TRUE
visit,1,Travel to Catfish Station but avoid Viet's Express.,F catfish_station,& U ! viets_express catfish_station F catfish_station,FALSE,TRUE
visit,1,Navigate to the Catfish Station while avoiding Viet's Express.,F catfish_station,& U ! viets_express catfish_station F catfish_station,FALSE,TRUE
visit,1,Go to Catfish Station.,F catfish_station,F catfish_station,TRUE,TRUE
visit,2,Navigate to Viet's Express while passing through Catfish Station.,F & catfish_station F viets_express,F & catfish_station F viets_express,TRUE,TRUE
visit,2,"Make your way to Catfish Station and stop, then make your next stop at Viet's Express",F & catfish_station F viets_express,F & catfish_station F viets_express,TRUE,TRUE
visit,2,Proceed to Catfish Station and take a sharp right  45 degree turn.,F & catfish_station F viets_express,F catfish_station,FALSE,TRUE
visit,2,Travel directly to TGF Hair Salon then go to Catfish Station.,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Pass the Hair Salon and land at your destination Catfish Station.,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,"Head to TGF Hair Salon, then go to Catfish Station.",F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Navigate to the Catfish Station from the TGF Hair Salon,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Navigate to Catfish Station while passing through TGF Hair Salon.,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Make a stop at TGF Hair Salon on the way to Catfish Station,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Go straight to TGF Hair Salon and then go northeast to Catfish Station.,F & tgf_hair_salon F catfish_station,F & tgf_hair_salon F catfish_station,TRUE,TRUE
visit,2,Avoid Catfish Station on the way to TGF Hair Salon.,F & viets_express F tgf_hair_salon,U ! catfish_station tgf_hair_salon,FALSE,TRUE
visit,2,Navigate to Viet 's Express on your way to TGT Hair Salon.,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,Avoid Catfish Station while on your way to TGF Hair Salon,F & viets_express F tgf_hair_salon,U ! catfish_station tgf_hair_salon,FALSE,TRUE
visit,2,Take the most direct route to Viet's Express then continue southwest to TGF Hair Salon.,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,Please go to Viet's Express and then head to TGF Hair Salon,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,Navigate through Viet's Express and enter the TGF Hair salon,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,go to the vietnamese restaurant and then the hair salon,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,Visit Viet's Express restaurant on your way to the Hair Salon,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
visit,2,Navigate to the vietnamese restaurant and then to the hair salon.,F & viets_express F tgf_hair_salon,F & viets_express F tgf_hair_salon,TRUE,TRUE
