,nl_command,ltl,map_name,result,eq
5850,only visit El Mariache Restaurant once and do not visit Best Western Plus Hawthorne Terrace until you visit El Mariache Restaurant,& & U ! best_western_plus_hawthorne_terrace el_mariache_restaurant F best_western_plus_hawthorne_terrace U ! el_mariache_restaurant U el_mariache_restaurant U ! el_mariache_restaurant best_western_plus_hawthorne_terrace,Chicago #2,"error:['&', 'U', '!', 'lm(', 'Western', 'Restaurant', ')lm', 'lm(', 'El', 'Mariache', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'Restaurant', 'Restaurant', 'Restaurant', ')lm']",False
5851,only visit El Mariache Restaurant once and do not visit Home Bistro until you visit El Mariache Restaurant,& & U ! home_bistro el_mariache_restaurant F home_bistro U ! el_mariache_restaurant U el_mariache_restaurant U ! el_mariache_restaurant home_bistro,Chicago #2,"error:['G', '!', 'lm(', 'lm(', 'Bistro', 'Restaurant', ')lm', 'lm(', 'lm(', 'Restaurant', ')lm', 'Restaurant', ')lm', 'lm(', 'lm(', 'Restaurant', 'Restaurant', ')lm']",False
5852,go to Minibar exactly once while avoiding Beatnix then go to Beatnix,& & U ! beatnix minibar F beatnix U ! minibar U minibar U ! minibar beatnix,Chicago #2,"error:['G', 'i', 'lm(', 'Beatnix', ')lm', 'X', 'G', '!', 'lm(', 'Minibar', 'Minibar']",False
5853,go to Jacquelines's exactly once while avoiding Minibar then go to Minibar,& & U ! minibar jacquelines's F minibar U ! jacquelines's U jacquelines's U ! jacquelines's minibar,Chicago #2,"error:['G', 'i', 'lm(', 'Minibar', ')lm', 'X', 'G', '!', 'lm(', ""Jacquelines's"", ""Jacquelines's""]",False
5854,reach Beatnix exactly once while staying away from Broadway & Roscoe SB then move to Broadway & Roscoe SB,& & U ! broadway_&_roscoe_sb beatnix F broadway_&_roscoe_sb U ! beatnix U beatnix U ! beatnix broadway_&_roscoe_sb,Chicago #2,"error:['G', 'i', 'lm(', 'lm(', 'Broadway', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Broadway', ')lm']",False
5855,reach Sidetrack exactly once while staying away from Jacquelines's then move to Jacquelines's,& & U ! jacquelines's sidetrack F jacquelines's U ! sidetrack U sidetrack U ! sidetrack jacquelines's,Chicago #2,G i best_western_plus_hawthorne_terrace,False
5856,move to Boystown exactly once while avoiding XO then find XO,& & U ! xo boystown F xo U ! boystown U boystown U ! boystown xo,Chicago #2,G i xo,False
5857,move to Shiawase Japanese Restaurant exactly once while avoiding XO then find XO,& & U ! xo shiawase_japanese_restaurant F xo U ! shiawase_japanese_restaurant U shiawase_japanese_restaurant U ! shiawase_japanese_restaurant xo,Chicago #2,G i wood,False
5858,navigate to Wood exactly once while staying away from Town Hall Pub then you can go to Town Hall Pub,& & U ! town_hall_pub wood F town_hall_pub U ! wood U wood U ! wood town_hall_pub,Chicago #2,"error:['G', 'i', 'lm(', 'lm(', 'Hall', ')lm', 'X', 'X', 'G', 'lm(', 'lm(', ')lm']",False
5859,navigate to Cocktail exactly once while staying away from Nookie's then you can go to Nookie's,& & U ! nookie's cocktail F nookie's U ! cocktail U cocktail U ! cocktail nookie's,Chicago #2,"error:['G', 'i', 'lm(', 'lm(', ')lm', ')lm', 'X', 'G', 'G', '!', 'Cocktail', 'Cocktail', ')lm']",False
5860,you must visit Halsted & Roscoe exactly once while avoiding Beatnix then you can navigate to Beatnix,& & U ! beatnix halsted_&_roscoe F beatnix U ! halsted_&_roscoe U halsted_&_roscoe U ! halsted_&_roscoe beatnix,Chicago #2,"error:['G', 'i', 'lm(', 'lm(', 'Beatnix', ')lm', 'X', 'G', '!', 'lm(', 'Halsted', '&', ')lm']",False
5861,you must visit Yefseis Cafe exactly once while avoiding Shiawase Japanese Restaurant then you can navigate to Shiawase Japanese Restaurant,& & U ! shiawase_japanese_restaurant yefseis_cafe F shiawase_japanese_restaurant U ! yefseis_cafe U yefseis_cafe U ! yefseis_cafe shiawase_japanese_restaurant,Chicago #2,"error:['G', 'i', 'lm(', 'lm(', 'Shiawase', 'Restaurant', ')lm', 'X', 'lm(', 'lm(', 'Cafe', 'Restaurant', ')lm']",False
5862,visit Wood but only after 7-Eleven also you can not revisit 7-Eleven before completing the remaining tasks,& & U ! wood 7-eleven F wood U ! 7-eleven U 7-eleven U ! 7-eleven wood,Chicago #2,"error:['M', 'i', 'lm(', 'lm(', ')lm', 'the', ')lm', ')lm', 'U', '!', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', '!', 'lm(', 'Wood', ')lm', ')lm']",False
5863,visit Beatnix but only after Wood also you can not revisit Wood before completing the remaining tasks,& & U ! beatnix wood F beatnix U ! wood U wood U ! wood beatnix,Chicago #2,"error:['M', 'i', 'lm(', 'lm(', ')lm', 'the', ')lm', ')lm', 'U', '!', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', '!', 'lm(', 'Beatnix', ')lm', ')lm']",False
5864,go to 7-Eleven only then go to Halsted & Roscoe but ensure to not revisit 7-Eleven,& & U ! halsted_&_roscoe 7-eleven F halsted_&_roscoe U ! 7-eleven U 7-eleven U ! 7-eleven halsted_&_roscoe,Chicago #2,G e broadway_united_methodist_church X X G ! boystown,False
5865,go to El Mariache Restaurant only then go to Wendt Playlot but ensure to not revisit El Mariache Restaurant,& & U ! wendt_playlot el_mariache_restaurant F wendt_playlot U ! el_mariache_restaurant U el_mariache_restaurant U ! el_mariache_restaurant wendt_playlot,Chicago #2,"error:['G', 'e', 'lm(', 'El', 'Restaurant', ')lm', 'X', 'lm(', 'lm(', 'Restaurant', 'Restaurant', ')lm']",False
5866,visit Best Western Plus Hawthorne Terrace and Sidetrack in that exact sequence out of sequence visits and repeated visits are not permitted,& & U ! sidetrack best_western_plus_hawthorne_terrace F sidetrack U ! best_western_plus_hawthorne_terrace U best_western_plus_hawthorne_terrace U ! best_western_plus_hawthorne_terrace sidetrack,Chicago #2,"error:['&', 'U', '!', 'lm(', 'Terrace', ')lm', ')lm', 'lm(', 'Western', ')lm', 'Terrace', ')lm', 'F', 'lm(', 'and', ')lm', ')lm', ')lm']",False
5867,visit Best Western Plus Hawthorne Terrace and Yefseis Cafe in that exact sequence out of sequence visits and repeated visits are not permitted,& & U ! yefseis_cafe best_western_plus_hawthorne_terrace F yefseis_cafe U ! best_western_plus_hawthorne_terrace U best_western_plus_hawthorne_terrace U ! best_western_plus_hawthorne_terrace yefseis_cafe,Chicago #2,& U ! yefseis_cafe best_western_plus_hawthorne_terrace F & best_western_plus_hawthorne_terrace lm( yefseis_cafe,False
