,nl_command,ltl,map_name,result,eq
6240,eventually in some sequence visit Harris Teeter Wells Fargo Fuel Pizza and Zada Jane's each must be followed by the next,F & harris_teeter F & wells_fargo F & fuel_pizza F zada_jane's,Charlotte #2,"error:['F', '&', 'lm(', 'Harris', 'Teeter', ')lm', 'F', 'lm(', 'lm(', 'Fuel', 'Pizza', 'Pizza', ')lm', 'lm(', 'Zada']",False
6241,eventually in some sequence visit Dairy Queen Fuel Pizza Wells Fargo and Subway each must be followed by the next,F & dairy_queen F & fuel_pizza F & wells_fargo F subway,Charlotte #2,F & dairy_queen F fuel_pizza,False
6242,visit The Plaza Post Office then visit Zada Jane's then visit Wells Fargo then visit Diamond Restaurant,F & the_plaza_post_office F & zada_jane's F & wells_fargo F diamond_restaurant,Charlotte #2,"error:['F', '&', 'lm(', 'The', 'Plaza', ')lm', 'F', '&', 'lm(', 'Zada', 'Zada', ')lm', 'F', 'lm(', 'lm(', 'Diamond', 'Restaurant', ')lm']",False
6243,visit Dairy Queen then visit Fuel Pizza then visit Harris Teeter then visit The Plaza Post Office,F & dairy_queen F & fuel_pizza F & harris_teeter F the_plaza_post_office,Charlotte #2,F & dairy_queen F & fuel_pizza F & the_plaza_post_office F the_plaza_post_office,False
6244,go to Zada Jane's and then go to Subway and then go to Commonwealth Animal Hospital and then go to Nova's Bakery,F & zada_jane's F & subway F & commonwealth_animal_hospital F nova's_bakery,Charlotte #2,"error:['F', '&', 'lm(', 'Zada', ""Jane's"", ')lm', 'F', '&', 'lm(', 'Subway', 'and', ')lm', 'F', 'lm(', 'lm(', ""Nova's"", ""Nova's"", ""Nova's"", ')lm']",False
6245,go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and then go to CVS and then go to Common Market and then go to Dish,F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F & cvs F & common_market F dish,Charlotte #2,F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F & common_market,False
6246,visit Nova's Bakery Elizabeth Billiards Dairy Queen and Harris Teeter in this order there can be other locations in between,F & nova's_bakery F & elizabeth_billiards F & dairy_queen F harris_teeter,Charlotte #2,F e nova's_bakery F & dairy_queen F common_market,False
6247,visit Dish Diamond Restaurant Elizabeth Billiards and The Plaza Post Office in this order there can be other locations in between,F & dish F & diamond_restaurant F & elizabeth_billiards F the_plaza_post_office,Charlotte #2,"error:['F', '&', 'lm(', 'Dish', 'Restaurant', ')lm', 'F', '&', 'lm(', 'The', ')lm', ')lm', 'F', 'lm(', 'The', 'Plaza', ')lm', ')lm', 'lm(', 'lm(', 'Office', ')lm', ')lm']",False
6248,head to Fuel Pizza and then to Common Market after Fuel Pizza is visited and then to Diamond Restaurant after Common Market is visited and then to The Plaza Post Office after Diamond Restaurant is visited,F & fuel_pizza F & common_market F & diamond_restaurant F the_plaza_post_office,Charlotte #2,F & fuel_pizza F & common_market F & diamond_restaurant F the_plaza_post_office,True
6249,head to Commonwealth Animal Hospital and then to Dairy Queen after Commonwealth Animal Hospital is visited and then to Dish after Dairy Queen is visited and then to Fuel Pizza after Dish is visited,F & commonwealth_animal_hospital F & dairy_queen F & dish F fuel_pizza,Charlotte #2,"error:['F', '&', 'lm(', 'Commonwealth', 'Animal', ')lm', 'F', '&', 'lm(', 'Dairy', 'Queen', ')lm', 'F', '&', 'lm(', 'Dish', 'Dish', 'Pizza', 'F', 'lm(', 'Fuel', 'Pizza', ')lm']",False
