,nl_command,ltl,map_name,result,eq
492,eventually you must go to Public Storage,F public_storage,Denver #2,"error:['F', 'lm(', 'lm(', 'Public', ')lm']",False
493,eventually you must go to KFC,F kfc,Denver #2,"error:['F', 'lm(', 'lm(', 'KFC', ')lm']",False
494,make your way to KFC,F kfc,Denver #2,F loan_stop,False
495,make your way to Amira Bakery & Deli,F amira_bakery_&_deli,Denver #2,F amira_bakery_&_deli,True
496,visit Which Wich?,F which_wich?,Denver #2,F which_wich?,True
497,visit A&W,F a&w,Denver #2,"error:['F', 'lm(', 'lm(', 'A&W', ')lm']",False
498,travel to Westcraft Carpets,F westcraft_carpets,Denver #2,F westcraft_carpets,True
499,travel to Public Storage,F public_storage,Denver #2,F public_storage,True
500,reach Brakes Plus,F brakes_plus,Denver #2,G brakes_plus,False
501,reach Loan Stop,F loan_stop,Denver #2,G loan_stop,False
502,find KFC,F kfc,Denver #2,F kfc,True
503,find Mad Greens,F mad_greens,Denver #2,F mad_greens,True
504,sometime along the way go to Colorado Center and Wells Fargo,& F colorado_center F wells_fargo,Denver #2,"error:['F', '&', 'lm(', 'Colorado', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Center', ')lm', 'F', 'lm(', 'lm(', 'lm(']",False
505,sometime along the way go to Loan Stop and Vitamin Cottage Natural Grocers,& F loan_stop F vitamin_cottage_natural_grocers,Denver #2,"error:['F', '&', 'lm(', 'Loan', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Loan', ')lm', 'F', 'F', 'lm(', 'lm(']",False
506,visit Colorado Center and Pei Wei,& F colorado_center F pei_wei,Denver #2,& j_&_k_shopping_center,False
507,visit KFC and Westcraft Carpets,& F kfc F westcraft_carpets,Denver #2,"error:['F', 'lm(', 'lm(', 'and', 'and', 'Carpets', ')lm']",False
508,go to Wells Fargo and go to Amira Bakery & Deli,& F wells_fargo F amira_bakery_&_deli,Denver #2,& F wells_fargo F St amira_bakery_&_deli,False
509,go to Wells Fargo and go to Colorado Center,& F wells_fargo F colorado_center,Denver #2,F & wells_fargo Center )lm native_foods_cafe lm( colorado_center,False
510,visit both The Sheepskin Factory and Brakes Plus,& F the_sheepskin_factory F brakes_plus,Denver #2,& F the_sheepskin_factory F brakes_plus,True
511,visit both Amira Bakery & Deli and Loan Stop,& F amira_bakery_&_deli F loan_stop,Denver #2,& F amira_bakery_&_deli F F loan_stop,False
512,go to Westcraft Carpets and J & K Shopping Center in any order,& F westcraft_carpets F j_&_k_shopping_center,Denver #2,"error:['&', 'F', 'lm(', 'Westcraft', 'and', ')lm', '&', 'F', 'lm(', 'lm(', 'Center', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
513,go to Amira Bakery & Deli and Vitamin Cottage Natural Grocers in any order,& F amira_bakery_&_deli F vitamin_cottage_natural_grocers,Denver #2,"error:['&', 'F', 'lm(', 'Amira', 'Bakery', ')lm', '&', 'F', 'lm(', 'lm(', 'F', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(']",False
514,pick one from Pei Wei and Public Storage go there and then head to the other one,& F pei_wei F public_storage,Denver #2,"error:['F', 'lm(', 'Pei', 'Pei', ')lm', ')lm', 'lm(', 'lm(', 'Public', ')lm', ')lm']",False
515,pick one from Mad Greens and A&W go there and then head to the other one,& F mad_greens F a&w,Denver #2,"error:['F', 'lm(', 'Mad', 'Mad', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm']",False
516,eventually reach Pei Wei S Colorado Blvd & Buchtel Blvd and A&W,& F pei_wei & F a&w F s_colorado_blvd_&_buchtel_blvd,Denver #2,"error:['&', 'F', 'lm(', 'Pei', 'Wei', ')lm', '&', 'F', 'lm(', 'lm(', 'Blvd', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm']",False
