,nl_command,ltl,map_name,result,eq
0,visit Ice Cream Home Cafe Gwang Yang BBQ Big 5 Sporting Goods and Central Plaza 1,& F ice_cream & F home_cafe & F gwang_yang_bbq & F big_5_sporting_goods F central_plaza_1,Los Angeles #2,"error:['&', 'F', 'lm(', 'lm(', 'Cafe', ')lm', '&', 'F', 'lm(', 'lm(', 'Cafe', ')lm', '&', 'F', 'lm(', 'lm(', 'Goods', 'Goods', ')lm', ')lm', 'F', 'lm(', 'lm(']",False
1,visit Big 5 Sporting Goods Coffee Bean & Tea Leaf Koko Pizza Togo's and Home Cafe,& F big_5_sporting_goods & F coffee_bean_&_tea_leaf & F koko_pizza & F togo's F home_cafe,Los Angeles #2,"error:['&', 'F', 'lm(', 'lm(', 'Big', ')lm', '&', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Pizza', 'Pizza', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
2,sometime visit Central Plaza 3 Central Plaza 1 Bayou Smokehouse Metro and The Gaylord Apartments,& F central_plaza_3 & F bayou_smokehouse & F central_plaza_1 & F the_gaylord_apartments F metro,Los Angeles #2,& F central_plaza_3 & F central_plaza_1 & F the_line,False
3,sometime visit Korean Bbq The Line Happy Noodle Hair News and Gwang Yang BBQ,& F korean_bbq & F happy_noodle & F the_line & F gwang_yang_bbq F hair_news,Los Angeles #2,"error:['&', 'F', 'lm(', 'Korean', 'Bbq', ')lm', '&', 'F', 'lm(', 'Happy', 'Noodle', ')lm', ')lm', 'F', 'lm(', 'Gwang', 'Yang', ')lm']",False
4,eventually go visit Togo's Seaweed Ice Cream Wilshire-Kenmore Building and Equitable Life Building,& F togo's & F seaweed & F equitable_life_building & F wilshire-kenmore_building F ice_cream,Los Angeles #2,"error:['&', 'F', 'lm(', ""Togo's"", ""Togo's"", ')lm', '&', 'F', 'lm(', 'lm(', 'Building', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'Building', 'Building', 'Building']",False
5,eventually go visit Carl's Jr. Happy Noodle The Gaylord Apartments Crystal Spa and POT,& F carl's_jr. & F happy_noodle & F pot & F crystal_spa F the_gaylord_apartments,Los Angeles #2,"error:['&', 'F', 'lm(', 'Happy', ""Carl's"", ')lm', '&', 'F', 'lm(', 'lm(', 'St', ')lm', ')lm', ')lm', 'F', 'lm(', 'The', 'The', ')lm']",False
6,go to Wako Togo's Foothill Transit Wilshire-Kenmore Building and California Design College,& F wako & F togo's & F foothill_transit & F wilshire-kenmore_building F california_design_college,Los Angeles #2,"error:['&', 'F', 'lm(', 'Wako', ""Togo's"", ')lm', '&', 'F', 'lm(', 'lm(', 'Building', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'College', ')lm']",False
7,go to Wilshire-Kenmore Building Wako Happy Noodle Wilshire/Normandie and Metro,& F wilshire-kenmore_building & F wako & F happy_noodle & F wilshire/normandie F metro,Los Angeles #2,"error:['&', 'F', 'lm(', 'Happy', 'Building', ')lm', '&', 'F', 'lm(', 'Happy', 'Noodle', ')lm', ')lm']",False
8,go to Crystal Spa go to Foothill Transit go to Ice Cream go to Carl's Jr. go to Mali Taste of Thailand,& F crystal_spa & F foothill_transit & F ice_cream & F carl's_jr. F mali_taste_of_thailand,Los Angeles #2,& F crystal_spa F & ice_cream F F mali_taste_of_thailand,False
9,go to Metro go to Neris Filipino Dining go to The Boiling Crab go to Etude Lounge go to Ice Cream,& F metro & F neris_filipino_dining & F the_boiling_crab & F etude_lounge F ice_cream,Los Angeles #2,& F metro F & the_boiling_crab F F etude_lounge,False
10,visit Gwang Yang BBQ The Line Big 5 Sporting Goods Metro Bongchu in any order required,& F gwang_yang_bbq & F the_line & F big_5_sporting_goods & F metro F bongchu,Los Angeles #2,& F gwang_yang_bbq & F the_line & F big_5_sporting_goods F F the_halal_guys,False
11,visit Wilshire/Normandie The Boiling Crab Neris Filipino Dining Koko Pizza Big 5 Sporting Goods in any order required,& F wilshire/normandie & F the_boiling_crab & F neris_filipino_dining & F koko_pizza F big_5_sporting_goods,Los Angeles #2,"error:['&', 'F', 'lm(', 'The', 'Boiling', ')lm', '&', 'F', 'lm(', 'Neris', 'Filipino', ')lm', '&', 'F', 'lm(', 'Big', '5', ')lm', 'F', 'F', 'lm(', 'lm(', 'Sporting', 'Sporting', ')lm']",False
12,visit all locations Hair News POT Big 5 Sporting Goods Central Plaza 1 Robeks Juice,& F hair_news & F pot & F big_5_sporting_goods & F central_plaza_1 F robeks_juice,Los Angeles #2,& F hair_news & F big_5_sporting_goods & F bank_of_america,False
13,visit all locations Crystal Spa Wako Home Cafe The Line Neris Filipino Dining,& F crystal_spa & F wako & F home_cafe & F the_line F neris_filipino_dining,Los Angeles #2,"error:['&', 'F', 'lm(', 'Crystal', 'Crystal', ')lm', '&', 'F', 'lm(', 'The', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'Filipino', 'Dining', ')lm']",False
14,reach the following five locations Hair News The Line Wako POT Togo's,& F hair_news & F the_line & F wako & F pot F togo's,Los Angeles #2,& F the_line F the_line,False
15,reach the following five locations Hair News Consulat General of the Republic of Indonesia Central Plaza 1 Crystal Spa POT,& F hair_news & F consulat_general_of_the_republic_of_indonesia & F central_plaza_1 & F crystal_spa F pot,Los Angeles #2,"error:['&', 'F', 'lm(', 'Hair', 'News', 'Consulat', 'of', 'Indonesia', ')lm', '&', 'F', 'lm(', '1', 'Crystal', ')lm', ')lm']",False
16,find the following The Boiling Crab The Gaylord Apartments Ice Cream Coffee Bean & Tea Leaf The Line,& F the_boiling_crab & F the_gaylord_apartments & F ice_cream & F coffee_bean_&_tea_leaf F the_line,Los Angeles #2,"error:['&', 'F', 'lm(', 'The', 'Boiling', ')lm', 'F', 'F', 'lm(', 'The', 'Gaylord', ')lm', '&', 'F', 'lm(', 'lm(', 'Cream', 'Coffee', ')lm', 'F', 'lm(', 'lm(', 'Line', 'Line', ')lm']",False
17,find the following California Design College The Line Foothill Transit Wako Korean Bbq,& F california_design_college & F the_line & F foothill_transit & F wako F korean_bbq,Los Angeles #2,& F california_design_college & F the_line & F the_boiling_crab,False
18,go to Zan ResPub The Line Home Cafe Togo's and California Design College in arbitrary order,& F zan_respub & F the_line & F home_cafe & F togo's F california_design_college,Los Angeles #2,"error:['&', 'F', 'lm(', 'Zan', 'ResPub', ')lm', '&', 'F', 'lm(', 'The', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'College', ')lm']",False
19,go to California Design College Etude Lounge Wako Big 5 Sporting Goods and Wilshire/Normandie in arbitrary order,& F california_design_college & F etude_lounge & F wako & F big_5_sporting_goods F wilshire/normandie,Los Angeles #2,& F california_design_college & F etude_lounge F F big_5_sporting_goods,False
20,make sure Neris Filipino Dining Robeks Juice Mali Taste of Thailand The Gaylord Apartments and Bayou Smokehouse are all visited,& F neris_filipino_dining & F robeks_juice & F mali_taste_of_thailand & F the_gaylord_apartments F bayou_smokehouse,Los Angeles #2,"error:['&', 'F', 'lm(', 'Neris', 'Filipino', ')lm', '&', 'F', 'lm(', 'Mali', 'Taste', 'of', 'Thailand', ')lm', '&', 'F', 'lm(', 'The', 'Gaylord', ')lm', 'F', 'lm(']",False
21,make sure Crystal Spa Korean BBQ Zan ResPub Carl's Jr. and Sun Nong Dan are all visited,& F crystal_spa & F korean_bbq & F zan_respub & F carl's_jr. F sun_nong_dan,Los Angeles #2,"error:['&', 'F', 'lm(', 'Crystal', 'Spa', ')lm', '&', 'F', 'lm(', 'ResPub', ""Carl's"", ')lm', ')lm', 'F', 'lm(', 'Nong', 'Dan', ')lm']",False
22,do not stop until Consulat General of the Republic of Indonesia Sun Nong Dan Happy Noodle Bayou Smokehouse and Seaweed are all visited,& F consulat_general_of_the_republic_of_indonesia & F sun_nong_dan & F happy_noodle & F bayou_smokehouse F seaweed,Los Angeles #2,"error:['&', 'F', 'lm(', 'Consulat', 'Consulat', 'of', 'of', 'of', ')lm', '&', 'F', 'lm(', 'Nong', 'Nong', ')lm', '&', 'F', 'lm(', 'Happy', 'Noodle', 'Bayou', ')lm', 'F', 'lm(', 'lm(', 'Seaweed', 'Seaweed', ')lm']",False
23,do not stop until Etude Lounge Sun Nong Dan Crystal Spa Wilshire/Normandie and Togo's are all visited,& F etude_lounge & F sun_nong_dan & F crystal_spa & F wilshire/normandie F togo's,Los Angeles #2,"error:['&', 'F', 'lm(', 'Etude', 'Etude', 'Lounge', ')lm', '&', 'F', 'lm(', 'Crystal', 'Spa', ')lm', 'F', 'lm(', 'lm(', ""Togo's"", ""Togo's"", ')lm']",False
24,make your way to Wako Details Equitable Life Building Coffee Bean & Tea Leaf and Central Plaza 3,& F wako & F details & F equitable_life_building & F coffee_bean_&_tea_leaf F central_plaza_3,Los Angeles #2,& F details & F starbucks & F central_plaza_1,False
