,nl_command,ltl,map_name,result,eq
4410,make your way to Italian Cultural Center,F italian_cultural_center,San Diego #2,"error:['F', '&', 'lm(', 'Italian', 'Cultural', 'Center', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
4411,make your way to Sorrento Ristorante,F sorrento_ristorante,San Diego #2,"error:['F', '&', 'lm(', 'Sorrento', 'Ristorante', ')lm', 'F', 'lm(', 'lm(', 'Sorrento', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Sorrento', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Sorrento', ')lm']",False
4412,visit Princess Pub and Grille,F princess_pub_and_grille,San Diego #2,"error:['G', 'lm(', 'lm(', 'Pub', ')lm']",False
4413,visit Harbor Breakfast,F harbor_breakfast,San Diego #2,F harbor_breakfast,True
4414,reach Sorrento Ristorante,F sorrento_ristorante,San Diego #2,F sorrento_ristorante,True
4415,reach Ironside,F ironside,San Diego #2,F west_cedar_market,False
4416,please go to Village Walk,F village_walk,San Diego #2,"error:['F', 'lm(', 'lm(', 'Walk', ')lm']",False
4417,please go to La Vita Little Italy,F la_vita_little_italy,San Diego #2,"error:['F', 'lm(', 'lm(', 'Italy', ')lm']",False
4418,approach Firehouse Museum,F firehouse_museum,San Diego #2,"error:['G', 'F', 'lm(', 'Firehouse', ')lm', ')lm', 'G', '!', 'lm(', 'lm(', ')lm', ')lm', 'G', 'G', 'G', 'lm(', 'lm(', 'lm(', ')lm']",False
4419,approach Urban Boutique Hotel,F urban_boutique_hotel,San Diego #2,G i urban_boutique_hotel,False
4420,make sure to go to both Lofty and Tazza D'Oro at least once,& F lofty F tazza_d'oro,San Diego #2,F our_lady_of_the_rosary_church,False
4421,make sure to go to both Wells Fargo and Tazza D'Oro at least once,& F wells_fargo F tazza_d'oro,San Diego #2,"error:['G', 'lm(', 'lm(', 'Fargo', ')lm']",False
4422,visit Our Lady of the Rosary Church and The Market By Buon Appetito,& F our_lady_of_the_rosary_church F the_market_by_buon_appetito,San Diego #2,"error:['&', 'F', 'lm(', 'lm(', 'Lady', 'the', 'Church', ')lm', 'F', 'lm(', 'The', 'Market', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', 'Church', ')lm']",False
4423,visit Lofty and Indigo Grill,& F lofty F indigo_grill,San Diego #2,"error:['G', 'lm(', 'lm(', 'Grill', ')lm']",False
4424,make sure both Our Lady of the Rosary Church and Burger Lounge are visited,& F our_lady_of_the_rosary_church F burger_lounge,San Diego #2,G i our_lady_of_the_rosary_church F burger_lounge,False
4425,make sure both Sorrento Ristorante and Our Lady of the Rosary Church are visited,& F sorrento_ristorante F our_lady_of_the_rosary_church,San Diego #2,G i farmers_market_(wed_and_sat) F our_lady_of_the_rosary_church the,False
4426,go to Ironside and Firehouse Museum,& F ironside F firehouse_museum,San Diego #2,"error:['G', 'lm(', 'lm(', 'Museum', ')lm']",False
4427,go to Indigo Grill and Lofty,& F indigo_grill F lofty,San Diego #2,"error:['G', 'lm(', 'lm(', 'Grill', ')lm']",False
4428,reach Sogno Di Vino reach Wells Fargo,& F sogno_di_vino F wells_fargo,San Diego #2,G i italian_cultural_center F wells_fargo,False
4429,reach Buon Appetito reach La Vita Little Italy,& F buon_appetito F la_vita_little_italy,San Diego #2,"error:['G', 'i', 'lm(', 'Buon', ')lm', ')lm', 'F', 'lm(', 'La', 'Vita', ')lm', ')lm', ')lm']",False
4430,go to one of Urban Boutique Hotel and Italian Cultural Center and then to the other,& F urban_boutique_hotel F italian_cultural_center,San Diego #2,"error:['F', '&', 'lm(', 'Urban', 'Boutique', ')lm', 'F', 'lm(', 'lm(', 'Cultural', 'Center', ')lm']",False
4431,go to one of Buon Appetito and Davanti Enoteca and then to the other,& F buon_appetito F davanti_enoteca,San Diego #2,F & farmers_market_(wed_and_sat) )lm salt_&_straw lm( the_market_by_buon_appetito,False
4432,stop by Visage Beauty Salon The Market By Buon Appetito and Wells Fargo in any order,& F visage_beauty_salon & F the_market_by_buon_appetito F wells_fargo,San Diego #2,"error:['&', 'F', 'lm(', 'Visage', 'Beauty', ')lm', '&', 'F', 'lm(', 'The', 'Market', ')lm', '&', 'F', 'lm(', 'lm(', 'Appetito', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm']",False
4433,stop by Indigo Grill Princess Pub and Grille and Italian Cultural Center in any order,& F indigo_grill & F princess_pub_and_grille F italian_cultural_center,San Diego #2,"error:['&', 'F', 'lm(', 'Indigo', 'Grill', ')lm', '&', 'F', 'lm(', 'Pub', 'and', ')lm', 'F', 'lm(', 'lm(', 'Center', ')lm']",False
4434,go to Our Lady of the Rosary Church Mexican Consulate and Harbor Breakfast,& F our_lady_of_the_rosary_church & F mexican_consulate F harbor_breakfast,San Diego #2,"error:['&', 'F', 'lm(', 'lm(', 'Lady', 'the', 'Church', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', 'Church', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Church', ')lm', 'Church', ')lm']",False
4435,go to The Market By Buon Appetito La Vita Little Italy and iDessert,& F the_market_by_buon_appetito & F la_vita_little_italy F idessert,San Diego #2,"error:['&', 'F', 'lm(', 'The', 'Market', ')lm', '&', 'F', 'lm(', 'Appetito', 'La', ')lm', 'F', ')lm', 'lm(', 'lm(', 'The', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'The', 'The', ')lm', ')lm', ')lm', ')lm', 'lm(', 'The', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4436,make sure Indigo Grill Davanti Enoteca and Harbor Breakfast are all visited,& F indigo_grill & F davanti_enoteca F harbor_breakfast,San Diego #2,G F indigo_grill )lm F salt_&_straw lm( farmers_market_(wed_and_sat),False
4437,make sure La Vita Little Italy Prepkitchen Little Italy and Burger Lounge are all visited,& F la_vita_little_italy & F prepkitchen_little_italy F burger_lounge,San Diego #2,"error:['&', 'F', 'lm(', 'lm(', 'Italy', ')lm', 'Little', 'lm(', 'lm(', 'lm(', 'Italy', 'Little', 'Little', ')lm']",False
4438,when you have the chance can you go to Burger Lounge Mexican Consulate and Italian Cultural Center,& F burger_lounge & F italian_cultural_center F mexican_consulate,San Diego #2,"error:['&', 'G', 'F', 'lm(', ')lm', ')lm', ')lm', 'G', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'Burger', 'Burger', 'Burger', 'Burger', 'Burger']",False
4439,when you have the chance can you go to Buon Appetito Our Lady of the Rosary Church and La Vita Little Italy,& F buon_appetito & F la_vita_little_italy F our_lady_of_the_rosary_church,San Diego #2,"error:['&', 'G', 'F', 'lm(', 'lm(', 'Our', 'the', 'of', 'Church', ')lm', '&', 'F', 'lm(', 'lm(', 'La', ')lm', 'the', 'G', 'Church', ')lm', 'G', '!', 'lm(', 'the', 'lm(', ')lm']",False
4440,find Piazza della Famiglia Village Walk and Indigo Grill,& F piazza_della_famiglia & F village_walk F indigo_grill,San Diego #2,"error:['&', 'F', 'lm(', 'Piazza', 'della', ')lm', 'F', 'lm(', 'lm(', 'Walk', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
4441,find iDessert Firehouse Museum and Farmers Market (Wed and Sat),& F idessert & F firehouse_museum F farmers_market_(wed_and_sat),San Diego #2,"error:['&', 'F', 'lm(', 'iDessert', 'Firehouse', ')lm', 'F', 'lm(', 'lm(', 'Market', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'Museum', ')lm', ')lm', ')lm', ')lm', 'Museum', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
4442,visit ITH Eco Farm House San Diego Harbor Breakfast and Buon Appetito in arbitrary order,& F ith_eco_farm_house_san_diego & F harbor_breakfast F buon_appetito,San Diego #2,& F ith_eco_farm_house_san_diego & F queenstown lm( harbor_breakfast,False
