,nl_command,ltl,map_name,result,eq
1960,visit Denver Art Museum Administration Building,F denver_art_museum_administration_building,Denver #1,& F denver_art_museum_administration_building,False
1961,visit Byers-Evans House,F byers-evans_house,Denver #1,"error:['F', 'lm(', 'lm(', 'House']",False
1962,reach History Colorado Center,F history_colorado_center,Denver #1,F history_colorado_center,True
1963,reach Capitol Hill,F capitol_hill,Denver #1,"error:['F', 'lm(', 'Capitol', 'Hill']",False
1964,eventually you must go to Clyfford Still Museum,F clyfford_still_museum,Denver #1,"error:['F', 'lm(', 'lm(', 'Still']",False
1965,eventually you must go to the Art Hotel,F the_art_hotel,Denver #1,"error:['F', 'lm(', 'lm(', 'the']",False
1966,move to Native American Trading Company,F native_american_trading_company,Denver #1,"error:['&', 'lm(', 'lm(', 'Native', 'Trading', ')lm']",False
1967,move to North Entry Terrace,F north_entry_terrace,Denver #1,"error:['F', 'lm(', 'lm(', 'Entry']",False
1968,go to Kirkland Museum of Fine & Decorative Art,F kirkland_museum_of_fine_&_decorative_art,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Museum', ')lm', 'of', ')lm', ')lm', 'F', 'lm(', 'lm(']",False
1969,go to The Balustrade Condos,F the_balustrade_condos,Denver #1,F the_art_hotel,False
1970,navigate to History Colorado Center,F history_colorado_center,Denver #1,"error:['F', 'lm(', 'lm(', 'History', 'Center', ')lm']",False
1971,navigate to Broadway & 13th Ave,F broadway_&_13th_ave,Denver #1,& F broadway_&_13th_ave,False
1972,find Ralph L. Carr Colorado Judicial Center,F ralph_l._carr_colorado_judicial_center,Denver #1,"error:['&', 'F', 'lm(', 'Ralph', 'L.', ')lm', 'F', 'lm(', 'lm(', 'Judicial', 'Center', ')lm']",False
1973,find History Colorado Center,F history_colorado_center,Denver #1,"error:['F', 'lm(', 'lm(', 'History', 'Center', ')lm']",False
1974,approach Ralph L. Carr Colorado Judicial Center,F ralph_l._carr_colorado_judicial_center,Denver #1,& F ralph_l._carr_colorado_judicial_center Center )lm center_for_colorado_women's_history lm( history_colorado_center,False
1975,approach Cultural Complex Parking & Museum Residences,F cultural_complex_parking_&_museum_residences,Denver #1,& F cultural_complex_parking_&_museum_residences )lm center_for_colorado_women's_history lm( center_for_colorado_women's_history,False
1976,stop by Four Winds Interactive,F four_winds_interactive,Denver #1,"error:['F', 'lm(', 'Four', 'Winds']",False
1977,stop by Kirkland Museum of Fine & Decorative Art,F kirkland_museum_of_fine_&_decorative_art,Denver #1,& F kirkland_museum_of_fine_&_decorative_art )lm center_for_colorado_women's_history lm( kirkland_museum_of_fine_&_decorative_art,False
1978,please go to Dozens,F dozens,Denver #1,"error:['F', 'lm(', 'lm(', 'Dozens']",False
1979,please go to Capitol Hill,F capitol_hill,Denver #1,"error:['F', 'lm(', 'lm(', 'Capitol']",False
1980,travel to Eviva Cherokee,F eviva_cherokee,Denver #1,"error:['F', 'lm(', 'lm(', 'Eviva']",False
1981,travel to Capitol Hill,F capitol_hill,Denver #1,"error:['F', 'lm(', 'lm(', 'Capitol']",False
1982,stop at Denver Art Museum,F denver_art_museum,Denver #1,"error:['G', 'F', 'lm(', 'Denver', 'Museum']",False
1983,stop at Pints Pub,F pints_pub,Denver #1,"error:['G', 'F', 'lm(']",False
1984,make your way to Byers-Evans House,F byers-evans_house,Denver #1,"error:['F', 'lm(', 'lm(', 'Byers-Evans']",False
1985,make your way to Dozens,F dozens,Denver #1,"error:['F', 'lm(', 'lm(', 'Dozens']",False
1986,make sure you visit Pints Pub at least once,F pints_pub,Denver #1,"error:['F', 'U', 'lm(']",False
1987,make sure you visit Bcycle @ Denver Public Library at least once,F bcycle_@_denver_public_library,Denver #1,& F bcycle_@_denver_public_library,False
1988,walk to Denver Public Library,F denver_public_library,Denver #1,F denver_public_library,True
1989,walk to History Colorado Center,F history_colorado_center,Denver #1,F history_colorado_center,True
1990,head to Bcycle @ Denver Public Library,F bcycle_@_denver_public_library,Denver #1,& F bcycle_@_denver_public_library,False
1991,head to Capitol Hill,F capitol_hill,Denver #1,"error:['F', 'lm(', 'lm(', 'Capitol']",False
1992,visit Denver Art Museum and Native American Trading Company,& F denver_art_museum F native_american_trading_company,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Company', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
1993,visit Cultural Center Garden and Denver Art Museum,& F cultural_center_garden F denver_art_museum,Denver #1,"error:['&', 'F', 'lm(', 'Cultural', 'Garden', ')lm', ')lm', 'F', 'lm(', 'Art', ')lm']",False
1994,visit Golden Triangle and Foster & Graham Huttner LLP,& F foster_&_graham_huttner_llp F golden_triangle,Denver #1,"error:['&', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(']",False
1995,visit Kirkland Museum of Fine & Decorative Art and Byers-Evans House,& F byers-evans_house F kirkland_museum_of_fine_&_decorative_art,Denver #1,& F ralph_l._carr_colorado_judicial_center F center_for_colorado_women's_history lm( native_american_trading_company,False
1996,sometime along the way go to Center for Colorado Women’s History and Security Life Center Building,& F center_for_colorado_women’s_history F security_life_center_building,Denver #1,"error:['&', 'U', '!', 'lm(', 'Colorado', ')lm', 'lm(', 'lm(', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(']",False
1997,sometime along the way go to Kirkland Museum of Fine & Decorative Art and Security Life Center Building,& F kirkland_museum_of_fine_&_decorative_art F security_life_center_building,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Kirkland', 'Museum', 'of', 'Center', ')lm', '&', 'F', 'lm(', 'lm(', 'Art', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
1998,eventually reach Capitol Hill and Bcycle @ Denver Public Library,& F capitol_hill F bcycle_@_denver_public_library,Denver #1,"error:['&', 'F', 'lm(', 'Capitol', 'Hill', '@', 'lm(', ')lm', 'F', 'lm(', 'Library', ')lm']",False
1999,eventually reach Kirkland Museum of Fine & Decorative Art and The Balustrade Condos,& F kirkland_museum_of_fine_&_decorative_art F the_balustrade_condos,Denver #1,"error:['&', 'F', 'lm(', 'The', 'Kirkland', ')lm', '&', 'F', 'F', 'lm(', 'The', 'Balustrade', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
2000,visit the Art Hotel and Dozens in any order,& F the_art_hotel F dozens,Denver #1,"error:['&', 'F', 'lm(', 'the', 'Hotel', ')lm', ')lm']",False
2001,visit Center for Colorado Women’s History and Cultural Complex Parking & Museum Residences in any order,& F center_for_colorado_women’s_history F cultural_complex_parking_&_museum_residences,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Center', ')lm', '&', '&', 'F', 'lm(', 'lm(', 'F', ')lm', 'F', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
2002,go to Denver Public Library and Pints Pub in any order,& F denver_public_library F pints_pub,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Library', ')lm', 'lm(', 'F', 'lm(', 'lm(', ')lm', ')lm']",False
2003,go to Bcycle @ Denver Public Library and North Entry Terrace in any order,& F bcycle_@_denver_public_library F north_entry_terrace,Denver #1,"error:['&', 'F', 'lm(', 'Bcycle', '@', '@', 'F', 'Library', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
2004,move to Center for Colorado Women’s History and Capitol Hill in any order,& F center_for_colorado_women’s_history F capitol_hill,Denver #1,"error:['&', 'F', 'lm(', 'to', 'Center', ')lm', '&', 'F', 'lm(', 'lm(', 'Women’s', ')lm', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm']",False
2005,move to the Art Hotel and Pints Pub in any order,& F the_art_hotel F pints_pub,Denver #1,"error:['&', 'F', 'lm(', 'the', 'Art', ')lm', ')lm', 'F', 'lm(', 'Pub', 'Pub', ')lm']",False
2006,reach Cultural Complex Parking & Museum Residences and Eviva Cherokee in any order,& F cultural_complex_parking_&_museum_residences F eviva_cherokee,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Complex', '&', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Residences', ')lm', ')lm', ')lm']",False
2007,reach Eviva Cherokee and Byers-Evans House in any order,& F eviva_cherokee F byers-evans_house,Denver #1,"error:['&', 'F', 'lm(', 'Eviva', 'Cherokee', ')lm', ')lm']",False
2008,go to Byers-Evans House then go to History Colorado Center or go to History Colorado Center then go to Byers-Evans House,& F byers-evans_house F history_colorado_center,Denver #1,& U ! history_colorado_center ralph_l._carr_colorado_judicial_center,False
2009,go to The Balustrade Condos then go to Center for Colorado Women’s History or go to Center for Colorado Women’s History then go to The Balustrade Condos,& F the_balustrade_condos F center_for_colorado_women’s_history,Denver #1,& U ! security_life_center_building four_winds_interactive Center )lm & U ! center_for_colorado_women's_history lm( center_for_colorado_women's_history )lm )lm Center )lm center_for_colorado_women's_history lm( center_for_colorado_women's_history lm( F F center_for_colorado_women's_history lm( center_for_colorado_women's_history,False
2010,make sure both Denver Public Library and History Colorado Center are visited,& F denver_public_library F history_colorado_center,Denver #1,& F denver_public_library F history_colorado_center,True
2011,make sure both Kirkland Museum of Fine & Decorative Art and Golden Triangle are visited,& F kirkland_museum_of_fine_&_decorative_art F golden_triangle,Denver #1,"error:['&', 'F', 'lm(', 'Kirkland', 'Museum', 'of', 'of', ')lm', ')lm', 'F', 'lm(', 'Decorative', 'Art', ')lm', 'F', 'lm(', 'lm(']",False
2012,pick one from the Art Hotel and Native American Trading Company go there and then head to the other one,& F the_art_hotel F native_american_trading_company,Denver #1,"error:['&', 'F', 'lm(', 'from', 'and', 'the', 'Hotel', ')lm', 'F', 'lm(', 'lm(', 'and', 'Company', ')lm']",False
2013,pick one from Bcycle @ Denver Public Library and Broadway & 13th Ave go there and then head to the other one,& F bcycle_@_denver_public_library F broadway_&_13th_ave,Denver #1,& F bcycle_@_denver_public_library F foster_&_graham_huttner_llp,False
2014,go to one of Dozens and The Balustrade Condos and then to the other,& F dozens F the_balustrade_condos,Denver #1,"error:['&', 'F', 'lm(', 'The', 'Dozens', ')lm', 'F', 'lm(', 'lm(', 'The', 'the', ')lm']",False
2015,go to one of Clyfford Still Museum and North Entry Terrace and then to the other,& F clyfford_still_museum F north_entry_terrace,Denver #1,& F pints_pub )lm F center_for_colorado_women's_history lm( ralph_l._carr_colorado_judicial_center,False
2016,go to Clyfford Still Museum and Dozens in an arbitrary order,& F clyfford_still_museum F dozens,Denver #1,& F four_winds_interactive,False
2017,go to the Art Hotel and Golden Triangle in an arbitrary order,& F the_art_hotel F golden_triangle,Denver #1,& F native_american_trading_company,False
2018,go to Denver Art Museum Administration Building and go to Ralph L. Carr Colorado Judicial Center,& F denver_art_museum_administration_building F ralph_l._carr_colorado_judicial_center,Denver #1,& F denver_art_museum_administration_building & F ralph_l._carr_colorado_judicial_center,False
2019,go to Denver Art Museum and go to Four Winds Interactive,& F denver_art_museum F four_winds_interactive,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Art', ')lm', 'F', 'lm(', 'lm(', 'Winds', ')lm']",False
2020,reach Cultural Complex Parking & Museum Residences reach Denver Art Museum Administration Building,& F cultural_complex_parking_&_museum_residences F denver_art_museum_administration_building,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Cultural', ')lm', '&', ')lm', '&', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
2021,reach Four Winds Interactive reach Cultural Complex Parking & Museum Residences,& F four_winds_interactive F cultural_complex_parking_&_museum_residences,Denver #1,"error:['&', 'F', 'lm(', 'Four', 'Winds', ')lm', '&', 'F', 'lm(', 'Cultural', 'Complex', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
2022,visit both Denver Art Museum Frederick C. Hamilton Building and Foster & Graham Huttner LLP,& F denver_art_museum_frederick_c._hamilton_building F foster_&_graham_huttner_llp,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Art', ')lm', '&', 'F', 'F', 'lm(', 'C.', 'Building', ')lm', 'F', 'lm(', 'lm(', 'Building', ')lm', ')lm', ')lm']",False
2023,visit both Denver Art Museum and Denver Public Library,& F denver_art_museum F denver_public_library,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Art', ')lm', 'F', 'lm(', 'lm(', 'Public', 'Library', ')lm']",False
2024,find Byers-Evans House and Rendezvous Cafe,& F byers-evans_house F rendezvous_cafe,Denver #1,"error:['&', 'F', 'lm(', 'Byers-Evans', 'Cafe', ')lm', 'F', 'lm(', 'lm(', 'Cafe', ')lm']",False
