,nl_command,ltl,map_name,result,eq
1816,visit Denver Art Museum Frederick C. Hamilton Building History Colorado Center Byers-Evans House and North Entry Terrace,& F history_colorado_center & F denver_art_museum_frederick_c._hamilton_building & F byers-evans_house F north_entry_terrace,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Building', ')lm', '&', 'F', 'lm(', 'lm(', 'Building', ')lm', '&', 'F', 'lm(', 'lm(', 'Colorado', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm']",False
1817,visit Ralph L. Carr Colorado Judicial Center History Colorado Center The Balustrade Condos and Denver Art Museum Administration Building,& F history_colorado_center & F ralph_l._carr_colorado_judicial_center & F the_balustrade_condos F denver_art_museum_administration_building,Denver #1,"error:['&', 'F', 'lm(', 'Ralph', 'L.', ')lm', '&', '&', 'lm(', 'lm(', 'Center', ')lm', '&', 'F', 'lm(', 'The', 'Center', ')lm', '&', 'lm(', 'lm(', 'The', 'Balustrade', ')lm', 'F', 'lm(', 'lm(', ')lm']",False
1818,go to four locations Bcycle @ Denver Public Library Golden Triangle History Colorado Center and Security Life Center Building,& F bcycle_@_denver_public_library & F golden_triangle & F security_life_center_building F history_colorado_center,Denver #1,"error:['&', 'F', 'lm(', 'Bcycle', '@', '@', 'Denver', 'Library', ')lm', '&', 'F', 'lm(', 'Golden', 'Triangle', ')lm', 'Center', 'lm(', 'F', 'lm(', 'Life', 'Center', ')lm']",False
1819,go to four locations Denver Art Museum Frederick C. Hamilton Building Bcycle @ Denver Public Library Denver Public Library and Foster & Graham Huttner LLP,& F denver_art_museum_frederick_c._hamilton_building & F bcycle_@_denver_public_library & F foster_&_graham_huttner_llp F denver_public_library,Denver #1,& F denver_art_museum & F security_life_center_building & F bcycle_@_denver_public_library & F denver_public_library F denver_public_library,False
1820,in no particular order visit Clyfford Still Museum Foster & Graham Huttner LLP Native American Trading Company and History Colorado Center,& F clyfford_still_museum & F foster_&_graham_huttner_llp & F native_american_trading_company F history_colorado_center,Denver #1,"error:['&', 'F', 'lm(', 'order', 'Clyfford', 'Still', ')lm', '&', '&', 'lm(', 'Graham', 'Huttner', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Native', ')lm', 'F', 'F', 'lm(']",False
1821,in no particular order visit Denver Art Museum Administration Building Dozens Cultural Complex Parking & Museum Residences and North Entry Terrace,& F denver_art_museum_administration_building & F dozens & F cultural_complex_parking_&_museum_residences F north_entry_terrace,Denver #1,& F denver_art_museum_administration_building & F dozens )lm F center_for_colorado_women's_history lm( Parking & )lm F center_for_colorado_women's_history lm( center_for_colorado_women's_history,False
1822,go to Byers-Evans House The Balustrade Condos Denver Public Library and the Art Hotel in arbitrary order,& F byers-evans_house & F the_balustrade_condos & F denver_public_library F the_art_hotel,Denver #1,& F byers-evans_house & F denver_public_library F denver_public_library,False
1823,go to Cultural Complex Parking & Museum Residences North Entry Terrace Dozens and Pints Pub in arbitrary order,& F cultural_complex_parking_&_museum_residences & F north_entry_terrace & F dozens F pints_pub,Denver #1,"error:['&', 'F', 'lm(', 'Cultural', '&', ')lm', '&', 'F', 'lm(', 'lm(', 'North', ')lm', 'F', 'lm(', 'lm(', 'Terrace', 'Dozens', ')lm']",False
1824,visit Kirkland Museum of Fine & Decorative Art Byers-Evans House Ralph L. Carr Colorado Judicial Center and Four Winds Interactive,& F kirkland_museum_of_fine_&_decorative_art & F byers-evans_house & F ralph_l._carr_colorado_judicial_center F four_winds_interactive,Denver #1,"error:['&', 'F', 'lm(', 'lm(', '&', ')lm', '&', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
1825,visit Foster & Graham Huttner LLP Denver Art Museum Administration Building Denver Art Museum Frederick C. Hamilton Building and Kirkland Museum of Fine & Decorative Art,& F foster_&_graham_huttner_llp & F denver_art_museum_administration_building & F denver_art_museum_frederick_c._hamilton_building F kirkland_museum_of_fine_&_decorative_art,Denver #1,"error:['&', 'F', 'lm(', 'lm(', 'Huttner', ')lm', '&', '&', 'lm(', 'lm(', '&', 'F', 'lm(', 'lm(', 'lm(', '&', '&', 'lm(', 'lm(', 'lm(', 'lm(', 'Building', 'F', 'lm(', 'Building', 'F', 'Building', ')lm', 'Building', ')lm']",False
1826,make sure Bcycle @ Denver Public Library Capitol Hill The Balustrade Condos and Byers-Evans House are all visited,& F bcycle_@_denver_public_library & F capitol_hill & F the_balustrade_condos F byers-evans_house,Denver #1,& F bcycle_@_denver_public_library & F the_art_hotel F the_art_hotel,False
1827,make sure Denver Public Library Kirkland Museum of Fine & Decorative Art Byers-Evans House and Security Life Center Building are all visited,& F denver_public_library & F kirkland_museum_of_fine_&_decorative_art & F byers-evans_house F security_life_center_building,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Library', ')lm', '&', 'F', 'lm(', 'lm(', 'Kirkland', 'Museum', 'of', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Decorative', 'Art', ')lm', 'F', 'lm(', 'Life', 'Center', ')lm']",False
1828,do not stop until Ralph L. Carr Colorado Judicial Center North Entry Terrace Dozens and Pints Pub are all visited,& F ralph_l._carr_colorado_judicial_center & F north_entry_terrace & F dozens F pints_pub,Denver #1,& F native_american_trading_company & & ralph_l._carr_colorado_judicial_center,False
1829,do not stop until Bcycle @ Denver Public Library Cultural Complex Parking & Museum Residences History Colorado Center and Pints Pub are all visited,& F bcycle_@_denver_public_library & F cultural_complex_parking_&_museum_residences & F history_colorado_center F pints_pub,Denver #1,"error:['&', 'F', 'lm(', 'Bcycle', '@', '@', 'Denver', 'Library', ')lm', '&', 'F', 'lm(', 'Cultural', 'Complex', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Residences', 'History', 'F', 'lm(', 'lm(', 'Colorado', 'Center', ')lm']",False
1830,make your way to Eviva Cherokee Center for Colorado Women’s History Kirkland Museum of Fine & Decorative Art and The Balustrade Condos,& F eviva_cherokee & F center_for_colorado_women’s_history & F kirkland_museum_of_fine_&_decorative_art F the_balustrade_condos,Denver #1,"error:['&', 'F', '&', 'lm(', 'Eviva', 'Center', ')lm', 'U', 'lm(', 'Eviva', 'Center', ')lm', '&', '!', 'lm(', 'The', 'The', ')lm', ')lm', 'lm(', 'lm(', 'Center', ')lm', 'Center', 'lm(', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'Center', 'Center', ')lm', 'lm(', 'lm(', 'Center', ')lm', 'Center', ')lm', 'lm(', 'lm(', ')lm', 'Center', 'Center', '!', 'lm(', ')lm', 'Center', ')lm', ')lm', 'lm(', ')lm', 'Center', '!', 'lm(', ')lm', 'Center', '!', 'lm(', ')lm', ')lm', 'Center', '!', 'lm(', ')lm', ')lm', 'lm(', ')lm', ')lm', 'Center', '!', 'lm(', ')lm', ')lm', 'lm(', ')lm', 'lm(', ')lm', 'Center', '!', 'lm(', ')lm', ')lm', 'lm(', ')lm', 'Center', '!', 'lm(', ')lm', ')lm', 'lm(', ')lm', 'Center', ')lm', ')lm', 'lm(', ')lm', 'Center', ')lm', ')lm', 'lm(', ')lm', 'Center']",False
1831,make your way to History Colorado Center Capitol Hill the Art Hotel and Four Winds Interactive,& F history_colorado_center & F capitol_hill & F the_art_hotel F four_winds_interactive,Denver #1,& F history_colorado_center & F capitol_hill )lm F center_for_colorado_women's_history lm( center_for_colorado_women's_history,False
1832,move to Four Winds Interactive Cultural Complex Parking & Museum Residences Ralph L. Carr Colorado Judicial Center and History Colorado Center in any order,& F four_winds_interactive & F cultural_complex_parking_&_museum_residences & F ralph_l._carr_colorado_judicial_center F history_colorado_center,Denver #1,"error:['&', 'U', 'lm(', 'lm(', 'Winds', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', '&', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'Center', 'Center', 'Center', ')lm', 'lm(', 'Center', 'Center', ')lm']",False
1833,move to Four Winds Interactive Eviva Cherokee Bcycle @ Denver Public Library and Broadway & 13th Ave in any order,& F four_winds_interactive & F eviva_cherokee & F bcycle_@_denver_public_library F broadway_&_13th_ave,Denver #1,"error:['&', 'F', 'lm(', 'Four', ')lm', ')lm', '&', 'F', 'lm(', 'Bcycle', '@', '@', 'Public', 'Library', ')lm', 'F', 'lm(', 'Broadway', '&', ')lm']",False
1834,stop by Cultural Center Garden Kirkland Museum of Fine & Decorative Art Bcycle @ Denver Public Library and Ralph L. Carr Colorado Judicial Center in any order,& F cultural_center_garden & F kirkland_museum_of_fine_&_decorative_art & F bcycle_@_denver_public_library F ralph_l._carr_colorado_judicial_center,Denver #1,"error:['&', 'F', 'lm(', 'Cultural', 'Center', ')lm', '&', 'F', 'lm(', 'Museum', 'Fine', ')lm', '&', 'F', 'lm(', 'lm(', 'Art', '@', '@', 'Denver', 'Library', ')lm', 'F', 'lm(', 'Center', 'Center', ')lm']",False
1835,stop by Denver Art Museum Frederick C. Hamilton Building Rendezvous Cafe Ralph L. Carr Colorado Judicial Center and the Art Hotel in any order,& F denver_art_museum_frederick_c._hamilton_building & F rendezvous_cafe & F ralph_l._carr_colorado_judicial_center F the_art_hotel,Denver #1,"error:['&', 'F', 'lm(', 'Denver', 'Museum', ')lm', '&', '&', 'lm(', 'lm(', 'Hamilton', 'Cafe', ')lm', '&', 'F', 'lm(', 'lm(', 'Cafe', ')lm', '&', 'F', 'lm(', 'lm(', 'Judicial', ')lm', ')lm', 'lm(', 'lm(', 'Center', 'Judicial', 'the', ')lm']",False
