,nl_command,ltl,map_name,result,eq
2080,eventually in some sequence visit The 1911 Train Engine The Oesterreicher-McCormick Cabin Beaches Museum Chapel and Burrito Gallery each must be followed by the next,F & the_1911_train_engine F & the_oesterreicher-mccormick_cabin F & beaches_museum_chapel F burrito_gallery,Jacksonville #2,"error:['F', '&', 'lm(', 'The', ')lm', ')lm', 'F', '&', 'lm(', 'The', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Oesterreicher-McCormick', 'Oesterreicher-McCormick', ')lm', 'F', 'F', 'lm(', 'Museum', ')lm', ')lm', ')lm', ')lm']",False
2081,eventually in some sequence visit The 1911 Train Engine St Vincent de Paul Thrift Store Texaco and Players by the Sea each must be followed by the next,F & the_1911_train_engine F & st_vincent_de_paul_thrift_store F & texaco F players_by_the_sea,Jacksonville #2,"error:['F', '&', 'lm(', 'The', ')lm', ')lm', 'F', '&', 'lm(', 'Engine', 'Engine', ')lm', 'F', 'lm(', 'lm(', 'Paul', 'Thrift', ')lm', 'F', 'lm(', 'lm(', 'Texaco', ')lm', 'the', ')lm', ')lm', ')lm', ')lm', ')lm']",False
2082,visit St Paul's Catholic Church then visit St Vincent de Paul Thrift Store then visit Texaco then visit 1903 Pablo Beach Post Office,F & st_paul's_catholic_church F & st_vincent_de_paul_thrift_store F & texaco F 1903_pablo_beach_post_office,Jacksonville #2,"error:['F', '&', 'lm(', ""Paul's"", 'St', 'Church', ')lm', 'F', '&', 'lm(', 'Vincent', ')lm', 'F', '&', 'lm(', 'lm(', 'Thrift', 'Thrift', ')lm', 'F', '&', 'lm(', 'F', 'F', 'Pablo', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
2083,visit The Oesterreicher-McCormick Cabin then visit Publix then visit Cypress Productions then visit St Vincent de Paul Thrift Store,F & the_oesterreicher-mccormick_cabin F & publix F & cypress_productions F st_vincent_de_paul_thrift_store,Jacksonville #2,"error:['F', '&', 'lm(', 'The', 'Oesterreicher-McCormick', ')lm', 'F', '&', 'lm(', 'Publix', 'Publix', ')lm', 'F', '&', 'lm(', 'St', 'St', ')lm', 'F', 'lm(', 'lm(', 'Paul', 'Paul', ')lm']",False
2084,go to Players by the Sea and then go to The 1911 Train Engine and then go to East Coast Railway Foreman’s House #93 and then go to Waffle House,F & players_by_the_sea F & the_1911_train_engine F & east_coast_railway_foreman’s_house_#93 F waffle_house,Jacksonville #2,"error:['F', '&', 'lm(', 'Players', 'Players', ')lm', 'F', '&', 'lm(', 'The', '1911', ')lm', 'F', '&', 'lm(', 'East', 'East', ')lm', 'F', '&', 'lm(', 'lm(', 'Foreman’s', 'House', ')lm', 'F', 'lm(', 'lm(', 'Waffle', 'Waffle', ')lm']",False
2085,go to The Oesterreicher-McCormick Cabin and then go to St Vincent de Paul Thrift Store and then go to Publix and then go to Pet Supermarket,F & the_oesterreicher-mccormick_cabin F & st_vincent_de_paul_thrift_store F & publix F pet_supermarket,Jacksonville #2,"error:['F', '&', 'lm(', 'The', 'Oesterreicher-McCormick', ')lm', 'F', '&', 'lm(', 'St', 'St', ')lm', 'F', '&', 'lm(', 'Thrift', 'Thrift', ')lm', 'F', '&', 'lm(', 'Publix', 'Publix', ')lm', 'F', 'lm(', 'lm(', 'Pet', ')lm']",False
2086,visit 1903 Pablo Beach Post Office Mayport East Coast Railway Depot Beaches Museum Chapel and Waffle House in this order there can be other locations in between,F & 1903_pablo_beach_post_office F & mayport_east_coast_railway_depot F & beaches_museum_chapel F waffle_house,Jacksonville #2,"error:['F', '&', 'lm(', '1903', 'Pablo', ')lm', 'F', '&', 'lm(', 'Post', 'Office', ')lm', 'F', '&', 'lm(', 'Railway', 'Depot', ')lm', 'F', '&', 'lm(', 'lm(', 'Museum', ')lm', ')lm', ')lm', 'lm(', 'Waffle', ')lm', ')lm', ')lm', ')lm']",False
2087,visit The 1911 Train Engine Cypress Productions The Oesterreicher-McCormick Cabin and St Vincent de Paul Thrift Store in this order there can be other locations in between,F & the_1911_train_engine F & cypress_productions F & the_oesterreicher-mccormick_cabin F st_vincent_de_paul_thrift_store,Jacksonville #2,F & the_1911_train_engine F & the_oesterreicher-mccormick_cabin F F & beaches_museum F st_vincent_de_paul_thrift_store,False
2088,head to Burrito Gallery and then to Pet Supermarket after Burrito Gallery is visited and then to 1903 Pablo Beach Post Office after Pet Supermarket is visited and then to Waffle House after 1903 Pablo Beach Post Office is visited,F & burrito_gallery F & pet_supermarket F & 1903_pablo_beach_post_office F waffle_house,Jacksonville #2,F & burrito_gallery F & pet_supermarket F & 1903_pablo_beach_post_office F & waffle_house,False
2089,head to Pet Supermarket and then to 1903 Pablo Beach Post Office after Pet Supermarket is visited and then to The 1911 Train Engine after 1903 Pablo Beach Post Office is visited and then to St Vincent de Paul Thrift Store after The 1911 Train Engine is visited,F & pet_supermarket F & 1903_pablo_beach_post_office F & the_1911_train_engine F st_vincent_de_paul_thrift_store,Jacksonville #2,"error:['F', '&', 'lm(', 'Pet', 'Supermarket', ')lm', 'F', '&', 'lm(', '1903', 'Pablo', ')lm', 'F', '&', 'lm(', 'The', '1911', ')lm', 'F', '&', 'lm(', 'The', 'Engine', ')lm', 'F', 'lm(', 'lm(', 'Thrift', 'Thrift', ')lm']",False
2090,make sure St Paul's Catholic Church Beaches Museum Chapel The Oesterreicher-McCormick Cabin and The 1911 Train Engine are all visited in this order there can be other locations in between,F & st_paul's_catholic_church F & beaches_museum_chapel F & the_oesterreicher-mccormick_cabin F the_1911_train_engine,Jacksonville #2,"error:['F', '&', 'lm(', ""Paul's"", 'Church', ')lm', 'F', '&', 'lm(', 'The', ')lm', 'F', 'F', '&', 'lm(', 'The', 'Oesterreicher-McCormick', ')lm', 'F', 'lm(', 'The', ')lm', ')lm', ')lm']",False
2091,make sure Texaco Players by the Sea Cypress Productions and Burrito Gallery are all visited in this order there can be other locations in between,F & texaco F & players_by_the_sea F & cypress_productions F burrito_gallery,Jacksonville #2,"error:['F', '&', 'lm(', 'Texaco', 'Players', ')lm', 'F', '&', 'lm(', 'Productions', 'Productions', ')lm', 'F', 'lm(', 'lm(', 'Gallery', 'Gallery', ')lm']",False
2092,you have to walk to St Vincent de Paul Thrift Store and then walk to 1903 Pablo Beach Post Office and then walk to Beaches Museum and finally walk to Cypress Productions,F & st_vincent_de_paul_thrift_store F & 1903_pablo_beach_post_office F & beaches_museum F cypress_productions,Jacksonville #2,F & st_paul's_catholic_church F & st_vincent_de_paul_thrift_store F & 1903_pablo_beach_post_office F & 1903_pablo_beach_post_office F the_oesterreicher-mccormick_cabin,False
2093,you have to walk to St Paul's Catholic Church and then walk to St Vincent de Paul Thrift Store and then walk to East Coast Railway Foreman’s House #93 and finally walk to Burrito Gallery,F & st_paul's_catholic_church F & st_vincent_de_paul_thrift_store F & east_coast_railway_foreman’s_house_#93 F burrito_gallery,Jacksonville #2,"error:['F', '&', 'lm(', ""Paul's"", 'St', 'Church', ')lm', 'F', '&', 'lm(', 'St', ')lm', 'F', '&', 'lm(', 'lm(', 'Thrift', 'Thrift', ')lm', 'F', '&', 'lm(', 'lm(', 'F', 'Foreman’s', ')lm', 'F', 'F', 'lm(', 'Burrito', 'Burrito', ')lm']",False
2094,go to St Vincent de Paul Thrift Store then go to Mayport East Coast Railway Depot then go to Pet Supermarket and then go to Texaco,F & st_vincent_de_paul_thrift_store F & mayport_east_coast_railway_depot F & pet_supermarket F texaco,Jacksonville #2,"error:['F', '&', 'lm(', 'lm(', 'St', ')lm', 'F', '&', 'lm(', 'F', 'F', '&', '&', 'F', '&', 'lm(', 'F', 'F', 'F', 'F', 'F', 'F', 'lm(']",False
2095,go to The 1911 Train Engine then go to The Oesterreicher-McCormick Cabin then go to East Coast Railway Foreman’s House #93 and then go to Players by the Sea,F & the_1911_train_engine F & the_oesterreicher-mccormick_cabin F & east_coast_railway_foreman’s_house_#93 F players_by_the_sea,Jacksonville #2,F & the_1911_train_engine F & the_oesterreicher-mccormick_cabin F & east_coast_railway_foreman's_house_#93 F & waffle_house F players_by_the_sea,False
2096,ensure that you visit Players by the Sea Cypress Productions The Oesterreicher-McCormick Cabin and St Vincent de Paul Thrift Store in order,F & players_by_the_sea F & cypress_productions F & the_oesterreicher-mccormick_cabin F st_vincent_de_paul_thrift_store,Jacksonville #2,& F players_by_the_sea,False
2097,ensure that you visit Players by the Sea Burrito Gallery The Oesterreicher-McCormick Cabin and East Coast Railway Foreman’s House #93 in order,F & players_by_the_sea F & burrito_gallery F & the_oesterreicher-mccormick_cabin F east_coast_railway_foreman’s_house_#93,Jacksonville #2,"error:['&', 'F', 'lm(', 'Players', 'Sea', 'the', '&', '&', 'lm(', 'The', 'The', ')lm', 'F', '&', 'lm(', 'The', 'Cabin', ')lm', 'F', 'lm(', 'lm(', 'Coast', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm']",False
