,nl_command,ltl,map_name,result,eq
7380,eventually you must go to Dairy Queen,F dairy_queen,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Dairy', ')lm']",False
7381,eventually you must go to The Plaza Post Office,F the_plaza_post_office,Charlotte #2,F the_plaza_post_office,True
7382,make your way to Subway,F subway,Charlotte #2,F subway,True
7383,make your way to Dish,F dish,Charlotte #2,F dish,True
7384,visit Dairy Queen,F dairy_queen,Charlotte #2,F dairy_queen,True
7385,visit Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch,F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,Charlotte #2,"error:['&', 'F', 'lm(', 'Public', 'Library', '-', 'of', ')lm', ')lm', 'F', 'lm(', 'County', 'lm(']",False
7386,travel to Nova's Bakery,F nova's_bakery,Charlotte #2,F nova's_bakery,True
7387,travel to Zada Jane's,F zada_jane's,Charlotte #2,F zada_jane's,True
7388,reach Fuel Pizza,F fuel_pizza,Charlotte #2,"error:['G', 'lm(', 'Fuel', 'Pizza', 'Pizza']",False
7389,reach Diamond Restaurant,F diamond_restaurant,Charlotte #2,G diamond_restaurant,False
7390,find Subway,F subway,Charlotte #2,F subway,True
7391,find Common Market,F common_market,Charlotte #2,F common_market,True
7392,sometime along the way go to Diamond Restaurant and Fuel Pizza,& F diamond_restaurant F fuel_pizza,Charlotte #2,"error:['F', '&', 'lm(', 'Diamond', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Diamond', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'Pizza', ')lm']",False
7393,sometime along the way go to Dish and Harris Teeter,& F dish F harris_teeter,Charlotte #2,"error:['F', '&', 'lm(', 'Dish', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Dish', ')lm', ')lm']",False
7394,visit Diamond Restaurant and Common Market,& F diamond_restaurant F common_market,Charlotte #2,"error:['&', 'lm(', 'lm(', 'and', 'Restaurant', ')lm']",False
7395,visit Harris Teeter and Subway,& F harris_teeter F subway,Charlotte #2,"error:['F', 'lm(', 'lm(', 'and', 'and', 'Subway', ')lm']",False
7396,go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and go to Dairy Queen,& F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F dairy_queen,Charlotte #2,"error:['&', 'F', 'lm(', 'Public', 'Library', 'Library', 'of', 'Charlotte', ')lm', 'F', 'lm(', 'lm(', 'County', '-', '-', 'Plaza', ')lm']",False
7397,go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and go to Subway,& F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F subway,Charlotte #2,"error:['&', 'F', 'lm(', 'Public', 'Library', 'Library', 'of', 'Charlotte', ')lm', 'F', 'lm(', 'lm(', 'County', '-', '-', 'Plaza', ')lm']",False
7398,visit both Common Market and Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch,& F common_market F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,Charlotte #2,"error:['&', 'F', 'lm(', 'Market', 'Library', ')lm', 'of', 'F', 'lm(', 'lm(', 'lm(', '-', ')lm']",False
7399,visit both Zada Jane's and Subway,& F zada_jane's F subway,Charlotte #2,"error:['G', 'lm(', 'lm(', ""Jane's"", 'and']",False
7400,go to The Plaza Post Office and Fuel Pizza in any order,& F the_plaza_post_office F fuel_pizza,Charlotte #2,& F the_plaza_post_office F F fuel_pizza,False
7401,go to Zada Jane's and The Plaza Post Office in any order,& F zada_jane's F the_plaza_post_office,Charlotte #2,"error:['&', 'F', 'lm(', 'The', ')lm', ')lm', 'F', 'lm(', 'The', 'lm(', ')lm', ')lm']",False
7402,pick one from Nova's Bakery and CVS go there and then head to the other one,& F nova's_bakery F cvs,Charlotte #2,"error:['F', 'lm(', ""Nova's"", ""Nova's"", ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm']",False
7403,pick one from Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and Common Market go there and then head to the other one,& F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F common_market,Charlotte #2,"error:['F', '&', 'lm(', 'Public', 'Library', 'of', 'Charlotte', ')lm', 'F', 'lm(', 'lm(', 'County', '-', '-', 'Plaza', ')lm']",False
7404,eventually reach The Plaza Post Office Subway and Wells Fargo,& F the_plaza_post_office & F wells_fargo F subway,Charlotte #2,& F the_plaza_post_office F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,False
7405,eventually reach Common Market Dish and Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch,& F common_market & F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F dish,Charlotte #2,& F common_market & F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch )lm elizabeth_billiards lm( public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,False
7406,when you have the chance can you go to CVS Wells Fargo and Common Market,& F cvs & F common_market F wells_fargo,Charlotte #2,"error:['&', 'F', 'lm(', 'lm(', 'and', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
7407,when you have the chance can you go to Harris Teeter Diamond Restaurant and Zada Jane's,& F harris_teeter & F zada_jane's F diamond_restaurant,Charlotte #2,& F diamond_restaurant,False
7408,reach Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch Dish and Zada Jane's,& F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch & F dish F zada_jane's,Charlotte #2,& F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch & F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch )lm )lm elizabeth_billiards lm( elizabeth_billiards lm(,False
7409,reach Harris Teeter Common Market and Dairy Queen,& F harris_teeter & F common_market F dairy_queen,Charlotte #2,"error:['&', 'F', 'lm(', 'Harris', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
7410,visit all three locations Zada Jane's Harris Teeter and Fuel Pizza,& F zada_jane's & F harris_teeter F fuel_pizza,Charlotte #2,"error:['&', 'F', 'lm(', 'Zada', 'Zada', ')lm', ')lm', 'F', 'lm(', 'Fuel', 'Pizza', ')lm']",False
7411,visit all three locations Commonwealth Animal Hospital Fuel Pizza and Dairy Queen,& F commonwealth_animal_hospital & F fuel_pizza F dairy_queen,Charlotte #2,& F fuel_pizza F fuel_pizza,False
7412,visit Nova's Bakery Diamond Restaurant and CVS in any order,& F nova's_bakery & F diamond_restaurant F cvs,Charlotte #2,& F nova's_bakery )lm F elizabeth_billiards lm( diamond_restaurant,False
7413,visit Common Market Diamond Restaurant and Fuel Pizza in any order,& F common_market & F diamond_restaurant F fuel_pizza,Charlotte #2,"error:['&', 'F', 'lm(', 'Market', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', 'Pizza', ')lm', ')lm']",False
7414,Subway Wells Fargo and Harris Teeter must be visited,& F subway & F wells_fargo F harris_teeter,Charlotte #2,G i subway,False
7415,Commonwealth Animal Hospital Nova's Bakery and Zada Jane's must be visited,& F commonwealth_animal_hospital & F nova's_bakery F zada_jane's,Charlotte #2,G F commonwealth_animal_hospital & F nova's_bakery,False
7416,move to Elizabeth Billiards Fuel Pizza Common Market and Diamond Restaurant in any order,& F elizabeth_billiards & F fuel_pizza & F common_market F diamond_restaurant,Charlotte #2,& F elizabeth_billiards & F common_market )lm elizabeth_billiards lm( diamond_restaurant,False
7417,move to Harris Teeter The Plaza Post Office Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and Fuel Pizza in any order,& F harris_teeter & F the_plaza_post_office & F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F fuel_pizza,Charlotte #2,"error:['&', 'F', 'lm(', 'The', 'Harris', ')lm', '&', 'F', 'lm(', 'The', 'Plaza', ')lm', '&', 'F', 'lm(', 'Office', 'Library', ')lm', 'of', 'Library', ')lm', 'F', 'lm(', 'Mecklenburg', 'and', '-', ')lm', ')lm']",False
7418,visit Dish Zada Jane's Wells Fargo and Commonwealth Animal Hospital in any order,& F dish & F zada_jane's & F wells_fargo F commonwealth_animal_hospital,Charlotte #2,"error:['&', 'F', 'lm(', 'Dish', ')lm', ')lm', '&', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm']",False
7419,visit Diamond Restaurant Subway Dish and Wells Fargo in any order,& F diamond_restaurant & F subway & F dish F wells_fargo,Charlotte #2,& F diamond_restaurant & F cvs,False
7420,visit Nova's Bakery Dairy Queen The Plaza Post Office and Fuel Pizza in no particular order,& F nova's_bakery & F dairy_queen & F the_plaza_post_office F fuel_pizza,Charlotte #2,& F the_plaza_post_office & F subway & F nova's_bakery )lm F elizabeth_billiards lm( cvs,False
7421,visit Elizabeth Billiards CVS Harris Teeter and Diamond Restaurant in no particular order,& F elizabeth_billiards & F cvs & F harris_teeter F diamond_restaurant,Charlotte #2,& F diamond_restaurant & F diamond_restaurant & F common_market F F F harris_teeter,False
7422,go to Diamond Restaurant Subway Harris Teeter and Zada Jane's in any order,& F harris_teeter & F diamond_restaurant & F zada_jane's F subway,Charlotte #2,"error:['&', 'F', 'lm(', 'Diamond', 'Restaurant', ')lm', '&', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm']",False
7423,go to Nova's Bakery Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch Common Market and CVS in any order,& F common_market & F nova's_bakery & F cvs F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,Charlotte #2,& F nova's_bakery & F F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch & )lm )lm elizabeth_billiards lm( elizabeth_billiards lm( public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch elizabeth_billiards lm(,False
7424,reach all the following locations Elizabeth Billiards CVS Commonwealth Animal Hospital and Dish,& F elizabeth_billiards & F cvs & F commonwealth_animal_hospital F dish,Charlotte #2,& F elizabeth_billiards & F commonwealth_animal_hospital,False
