train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,visit,1,"('a',)",visit a,F a,F a,True
valid,visit,1,"('b',)",visit b,F b,F b,True
valid,visit,1,"('c',)",visit c,F c,F c,True
valid,visit,1,"('d',)",visit d,F d,F d,True
valid,visit,1,"('h',)",visit h,F h,F h,True
valid,visit,1,"('a',)",go to a,F a,F a,True
valid,visit,1,"('b',)",go to b,F b,F b,True
valid,visit,1,"('c',)",go to c,F c,F c,True
valid,visit,1,"('d',)",go to d,F d,F d,True
valid,visit,1,"('h',)",go to h,F h,F h,True
valid,visit,1,"('a',)",travel to a,F a,F a,True
valid,visit,1,"('b',)",travel to b,F b,F b,True
valid,visit,1,"('c',)",travel to c,F c,F c,True
valid,visit,1,"('d',)",travel to d,F d,F d,True
valid,visit,1,"('h',)",travel to h,F h,F h,True
valid,visit,1,"('a',)",move to a,F a,F a,True
valid,visit,1,"('b',)",move to b,F b,F b,True
valid,visit,1,"('c',)",move to c,F c,F c,True
valid,visit,1,"('d',)",move to d,F d,F d,True
valid,visit,1,"('h',)",move to h,F h,F h,True
valid,visit,1,"('a',)",make sure you visit a at least once,F a,F a,True
valid,visit,1,"('b',)",make sure you visit b at least once,F b,F b,True
valid,visit,1,"('c',)",make sure you visit c at least once,F c,F c,True
valid,visit,1,"('d',)",make sure you visit d at least once,F d,F d,True
valid,visit,1,"('h',)",make sure you visit h at least once,F h,F h,True
valid,visit,1,"('a',)",visit a,F a,F a,True
valid,visit,1,"('b',)",visit b,F b,F b,True
valid,visit,1,"('c',)",visit c,F c,F c,True
valid,visit,1,"('d',)",visit d,F d,F d,True
valid,visit,1,"('h',)",visit h,F h,F h,True
valid,visit,2,"('a', 'b')",visit both a and b,& F a F b,& F a F b,True
valid,visit,2,"('a', 'c')",visit both a and c,& F a F c,& F a F c,True
valid,visit,2,"('a', 'd')",visit both a and d,& F a F d,& F a F d,True
valid,visit,2,"('a', 'h')",visit both a and h,& F a F h,& F a F h,True
valid,visit,2,"('b', 'a')",visit both b and a,& F b F a,& F b F a,True
valid,visit,2,"('b', 'c')",visit both b and c,& F b F c,& F b F c,True
valid,visit,2,"('b', 'd')",visit both b and d,& F b F d,& F b F d,True
