Pattern Type,Number of Propositions,Utterance,True LTL,City
visit,1,Move to the Taipan Bakery while avoiding the Joy Luck Palace.,F taipan_bakery,New York #1
visit,1,Go straight to the Taipan Bakery.,F taipan_bakery,New York #1
visit,1,Head straight to the Taipan Bakery past the Unique Hype Collection.,F taipan_bakery,New York #1
visit,1,Proceed directly to the Tai Pan Bakery.,F taipan_bakery,New York #1
visit,1,Avoid the Unique Hype Collection while on your way to Tai Pan Bakery,F taipan_bakery,New York #1
visit,1,Go to the Tai Pan Bakery.,F taipan_bakery,New York #1
visit,1,Go to Taipan Bakery but avoid Unique Hype Collection.,F taipan_bakery,New York #1
visit,1,Head to the Tai Pan bakery by going below the Joy Luck Palace,F taipan_bakery,New York #1
visit,1,"Avoid the Unique Hype Collection while navigating to the Tai Pan Bakery.
Head towards the bakery while avoiding the collectors store.",F taipan_bakery,New York #1
visit,1,Make your way to Taipan bakery but do not enter Joy luck Palace on your right.,F taipan_bakery,New York #1
visit,2,Travel to the bakery followed by traveling to the Chinese restaurant.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Go through the Tai Pan Bakery on your way to Joy luck palace,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,"Travel to Taipan Bakery, then continue to Joy Luck Palace.",F & taipan_bakery F joy_luck_palace,New York #1
visit,2,"Go to Tai Pan Bakery, then go to Joy Luck Palace.",F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Navigate to Tai Pan Bakery and then to Joy Luck Palace.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,"Go to Taipan Bakery first, then on to Joy Luck Palace.",F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Move to Taipan Bakery and then too Joy Luck Palace.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Turn right at the Taipan Bakery before heading straight to the Joy Luck Palace.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Avoid the drug store and head right towards the bakery shop.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Navigate to the Tai Pan bakery and then move to Joy Luck Palace.,F & taipan_bakery F joy_luck_palace,New York #1
visit,2,Go to Joy Luck Palace on your way to Unique Hype Collection,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Go to the Joy Luck Palace restaurant and then proceed to the Unique Hype Collection store.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Head northwest to the joy luck palace restaurant and then head south to the Unique Hype Collection store.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Turn left at the Joy Luck Palace heading to the Unique Hype Collection.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Navigate to Unique Hype Collection while avoiding the Chinese restaurant.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,"Head to Joy Luck Palace, then go downwards towards Unique Hype Collection.",F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Go to the clothing store while stopping at the Chinese restaurant on your way.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,"Navigate to Joy Luck Palace, then navigate to the Unique Hype Collection and avoid the Tai Pan Bakery.",F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,Stop by Joy Luck Palace and continue to Unique Hype Collection.,F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,"Go to the Joy Luck Palace, then go to Unique Hype Collection.",F & joy_luck_palace F unique_hype_collection,New York #1
visit,2,"Go to Unique Hype Collection, then go to Tai Pan Bakery.",F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Go past the Unique Hype Collection on your way to the Taipan Bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Go to the clothing store and then head to the bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,"Go to Unique Hype Collection, then head to Tai Pan Bakery.",F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Pass through Unique Hype collection on the way to Taipan Bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Navigate to the Unique Hype Collection and then on to the Tai Pan Bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Go through the Unique Hype Collection on your way to the Tai Pan Bakery,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Head to the clothing store and then to Taipan Bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,First go to Unique Hype Collection and then continue to Taipan Bakery.,F & unique_hype_collection F taipan_bakery,New York #1
visit,2,Navigate to Tain Pan Bakery avoid Eastern States Buddhist Temple.,F & unique_hype_collection F taipan_bakery,New York #1
visit,1,Head straight to Andaz,F andaz,New York #2
visit,1,Move directly to the 4-star hotel.,F andaz,New York #2
visit,1,Go to Andaz 5th Avenue hotel.,F andaz,New York #2
visit,1,Go past the New York Public Library and head straight to Aridaz.,F andaz,New York #2
visit,1,Move to the right and avoid the library and Bravo pizza.,F andaz,New York #2
visit,1,Avoid the New York Public Library on your way to Andaz,F andaz,New York #2
