Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,1,Navigate to El Arado while avoiding Pnc Bank,F el_arado,& U ! pnc_bank el_arado F el_arado,FALSE,TRUE
visit,1,You will proceed northeast until you reach the El Dorado restaurant.,F el_arado,U ! e el_arado,Syntax Error,Syntax Error
visit,1,Move to El Arado Mexican Grill while avoiding the PNC Bank,F el_arado,U ! pnc_bank el_arado,FALSE,FALSE
visit,1,Move to the El Arado eatery but avoid the PNC Bank,F el_arado,& U ! pnc_bank el_arado F el_arado,FALSE,TRUE
visit,1,Move straight to El Arado Mexican Grill.,F el_arado,F el_arado,TRUE,TRUE
visit,1,Travel straight to El Arado Mexican Grill.,F el_arado,F el_arado,TRUE,TRUE
visit,1,Move to El Arado.,F el_arado,F el_arado,TRUE,TRUE
visit,1,Go straight along Prospect Street to El Arado.,F el_arado,F la_margarita_fountain_square,FALSE,FALSE
visit,1,"Make a short and straight line to El Arado, which is your stop.",F el_arado,F el_arado,TRUE,TRUE
visit,1,Go straight to El Arado,F el_arado,F el_arado,TRUE,TRUE
visit,2,Go through La margarita fountain square to the El dorado,F & la_margarita_fountain_square F el_arado,F la_margarita_fountain_square,FALSE,FALSE
visit,2,Go to La Margarita Fountain Square and then too El Arado Mexican Grill.,F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F el_arado,TRUE,TRUE
visit,2,Head to El Arado by first going through La Margarita Fountain Square.,F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F el_arado,TRUE,TRUE
visit,2,"Travel to La Margarita Fountain Square first, then to El Arado Mexican Grill after.",F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F el_arado,TRUE,TRUE
visit,2,Move to margarita fountain square than move to El Arado while avoiding PNC bank.,F & la_margarita_fountain_square F el_arado,& U ! el_arado la_margarita_fountain_square F el_arado,FALSE,FALSE
visit,2,"Navigate to La Margarita Fountain Square then
Move to El Arado while avoiding the bank.",F & la_margarita_fountain_square F el_arado,& U ! el_arado la_margarita_fountain_square F el_arado,FALSE,FALSE
visit,2,Make your way to La Margarita Fountain Square then go around PNC bank on your way to El Arado Mexican Grill.,F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F & pnc_bank F el_arado,FALSE,FALSE
visit,2,Stop at La Margarita Fountain Square on the way to El Arado.,F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F el_arado,TRUE,TRUE
