train_or_valid,pattern_type,nprops,prop_perm,utterances,true_ltl,output_ltl,is_correct
valid,sequenced_visit,4,"['a', 'b', 'c', 'd']",eventually in some sequence visit a b c and d each must be followed by the next,F & a F & b F & c F d,F & a F & b F & c F d,True
valid,sequenced_visit,4,"['a', 'b', 'c', 'h']",eventually in some sequence visit a b c and h each must be followed by the next,F & a F & b F & c F h,F & a F & b F & c F h,True
valid,sequenced_visit,4,"['a', 'b', 'd', 'c']",eventually in some sequence visit a b d and c each must be followed by the next,F & a F & b F & d F c,F & a F & b F & d F c,True
valid,sequenced_visit,4,"['a', 'b', 'd', 'h']",eventually in some sequence visit a b d and h each must be followed by the next,F & a F & b F & d F h,F & a F & b F & d F h,True
valid,sequenced_visit,4,"['a', 'b', 'h', 'c']",eventually in some sequence visit a b h and c each must be followed by the next,F & a F & b F & h F c,F & a F & b F & h F c,True
valid,sequenced_visit,4,"['a', 'b', 'h', 'd']",eventually in some sequence visit a b h and d each must be followed by the next,F & a F & b F & h F d,F & a F & b F & h F d,True
valid,sequenced_visit,4,"['a', 'c', 'b', 'd']",eventually in some sequence visit a c b and d each must be followed by the next,F & a F & c F & b F d,F & a F & c F & b F d,True
valid,sequenced_visit,4,"['a', 'c', 'b', 'h']",eventually in some sequence visit a c b and h each must be followed by the next,F & a F & c F & b F h,F & a F & c F & b F h,True
valid,sequenced_visit,4,"['a', 'c', 'd', 'b']",eventually in some sequence visit a c d and b each must be followed by the next,F & a F & c F & d F b,F & a F & c F & d F b,True
valid,sequenced_visit,4,"['a', 'c', 'd', 'h']",eventually in some sequence visit a c d and h each must be followed by the next,F & a F & c F & d F h,F & a F & c F & d F h,True
valid,sequenced_visit,4,"['a', 'c', 'h', 'b']",eventually in some sequence visit a c h and b each must be followed by the next,F & a F & c F & h F b,F & a F & c F & h F b,True
valid,sequenced_visit,4,"['a', 'c', 'h', 'd']",eventually in some sequence visit a c h and d each must be followed by the next,F & a F & c F & h F d,F & a F & c F & h F d,True
valid,sequenced_visit,4,"['a', 'd', 'b', 'c']",eventually in some sequence visit a d b and c each must be followed by the next,F & a F & d F & b F c,F & a F & d F & b F c,True
valid,sequenced_visit,4,"['a', 'd', 'b', 'h']",eventually in some sequence visit a d b and h each must be followed by the next,F & a F & d F & b F h,F & a F & d F & b F h,True
valid,sequenced_visit,4,"['a', 'd', 'c', 'b']",eventually in some sequence visit a d c and b each must be followed by the next,F & a F & d F & c F b,F & a F & d F & c F b,True
valid,sequenced_visit,4,"['a', 'd', 'c', 'h']",eventually in some sequence visit a d c and h each must be followed by the next,F & a F & d F & c F h,F & a F & d F & c F h,True
valid,sequenced_visit,4,"['a', 'd', 'h', 'b']",eventually in some sequence visit a d h and b each must be followed by the next,F & a F & d F & h F b,F & a F & d F & h F b,True
valid,sequenced_visit,4,"['a', 'd', 'h', 'c']",eventually in some sequence visit a d h and c each must be followed by the next,F & a F & d F & h F c,F & a F & d F & h F c,True
valid,sequenced_visit,4,"['a', 'h', 'b', 'c']",eventually in some sequence visit a h b and c each must be followed by the next,F & a F & h F & b F c,F & a F & h F & b F c,True
valid,sequenced_visit,4,"['a', 'h', 'b', 'd']",eventually in some sequence visit a h b and d each must be followed by the next,F & a F & h F & b F d,F & a F & h F & b F d,True
valid,sequenced_visit,4,"['a', 'h', 'c', 'b']",eventually in some sequence visit a h c and b each must be followed by the next,F & a F & h F & c F b,F & a F & h F & c F b,True
