Utterance,Ground truth,Output,Correct
"never visit Hampton Inn and Suites Columbus Downtown, again after you have visited it five times",{'Hampton Inn and Suites Columbus Downtown'},{'Hampton Inn and Suites Columbus Downtown'},True
"you are not allowed to cease exploring North Market Parking lot, Columbus Children's Theatre, Brothers Bar & Grill on Park Street, Mikey's Late Night Slice pizza restaurant, and Martini Modern Italian restaurant on North High Street","{'Brothers Bar & Grill on Park Street', ""Mikey's Late Night Slice pizza restaurant"", 'Martini Modern Italian restaurant on North High Street', 'North Market Parking lot', ""Columbus Children's Theatre""}","{'Brothers Bar & Grill on Park Street', ""Columbus Children's Theatre"", ""Mikey's Late Night Slice pizza restaurant"", 'North Market Parking lot', 'Martini Modern Italian restaurant on North High Street'}",True
"visit Market Blooms florist shop, three times and never revisit it again",{'Market Blooms florist shop'},{'Market Blooms florist shop'},True
"you can not visit Brothers Bar & Grill on Park Street, more than five times",{'Brothers Bar & Grill on Park Street'},{'Brothers Bar & Grill on Park Street'},True
"you must visit Pizza restaurant, once you go to Hilton Columbus Downtown commercial building, and you must avoid Pizza restaurant, any other time","{'Pizza restaurant', 'Hilton Columbus Downtown commercial building'}","{'Pizza restaurant', 'Hilton Columbus Downtown commercial building'}",True
"you have to visit North Market Parking area, exactly three times",{'North Market Parking area'},{'North Market Parking area'},True
"make your way to Brothers Bar & Grill on Park Street, at least four times",{'Brothers Bar & Grill on Park Street'},{'Brothers Bar & Grill on Park Street'},True
"always stay away from Market Blooms florist shop, Bar Louie pub, and Garage Bar","{'Market Blooms florist shop', 'Bar Louie pub', 'Garage Bar'}","{'Market Blooms florist shop', 'Bar Louie pub', 'Garage Bar'}",True
"you are not allowed to cease exploring Hampton Inn and Suites Columbus Downtown, CoGo North Market bike rental, Bar Louie pub, Martini Modern Italian restaurant on North High Street, and BBR bar","{'BBR bar', 'CoGo North Market bike rental', 'Martini Modern Italian restaurant on North High Street', 'Bar Louie pub', 'Hampton Inn and Suites Columbus Downtown'}","{'BBR bar', 'Bar Louie pub', 'CoGo North Market bike rental', 'Martini Modern Italian restaurant on North High Street', 'Hampton Inn and Suites Columbus Downtown'}",True
"never go to Columbus Convention Center Vine Street Garage, never go to Char Bar pub on North High Street, never go to Arnold Schwarzenegger statue, and never go to Park Street Tavern bar","{'Char Bar pub on North High Street', 'Columbus Convention Center Vine Street Garage', 'Arnold Schwarzenegger statue', 'Park Street Tavern bar'}","{'Char Bar pub on North High Street', 'Columbus Convention Center Vine Street Garage', 'Arnold Schwarzenegger statue', 'Park Street Tavern bar'}",True
"visit North Market Parking area, Char Bar pub on North High Street, Bar Louie pub, and Martinis restaurant, one after the other","{'Char Bar pub on North High Street', 'Martinis restaurant', 'Bar Louie pub', 'North Market Parking area'}","{'Char Bar pub on North High Street', 'Martinis restaurant', 'Bar Louie pub', 'North Market Parking area'}",True
