,nl_command,ltl,map_name,result,eq
1470,find AA Travel,F aa_travel,Seattle,"error:['F', 'lm(', 'AA', 'Travel', 'Travel']",False
1471,find Asia Condo,F asia_condo,Seattle,"error:['F', 'lm(', 'Asia', 'Condo', 'Condo']",False
1472,visit Fortuna Cafe,F fortuna_cafe,Seattle,F fortuna_cafe,True
1473,visit Great State Burger - Chinatown,F great_state_burger_-_chinatown,Seattle,F hong_kong_bistro,False
1474,"move to Kenneth Hong, MD","F kenneth_hong,_md",Seattle,"error:['F', 'lm(', 'Kenneth', 'Hong,', 'MD']",False
1475,move to Ambrosia,F ambrosia,Seattle,"error:['F', 'lm(', 'lm(', 'Ambrosia', 'Ambrosia']",False
1476,stop by Amasia Acupuncture Massage Herbs Center,F amasia_acupuncture_massage_herbs_center,Seattle,"error:['F', 'lm(', 'lm(', 'Amasia', 'Herbs', 'Center', ')lm', 'F', '&', 'lm(', 'lm(', ')lm', ')lm', 'Center', ')lm', 'lm(', 'lm(', 'lm(', 'Center', ')lm', 'Center', '|', 'lm(', 'lm(', 'Center', ')lm', 'Center', '!', 'lm(', 'lm(', 'Acupuncture', 'Acupuncture', 'Center', ')lm', 'Center', '!', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'Center', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'Center', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'Center', 'Center', 'Center', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(']",False
1477,stop by Asia Condo,F asia_condo,Seattle,"error:['F', 'lm(', 'Asia', 'Asia', 'Condo']",False
1478,go to Paris Skin Care,F paris_skin_care,Seattle,"error:['F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
1479,go to Honey Court Seafood Restaurant,F honey_court_seafood_restaurant,Seattle,"error:['F', 'lm(', 'lm(', 'Court', 'Restaurant', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Restaurant', ')lm']",False
1480,pick one from Girls Rock Math and Paris Skin Care go there and then head to the other one,& F girls_rock_math F paris_skin_care,Seattle,"error:['M', '&', 'lm(', 'pick', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', 'and', ')lm', ')lm']",False
1481,pick one from Seattle Pinball Museum and Ho Ho Seafood go there and then head to the other one,& F seattle_pinball_museum F ho_ho_seafood,Seattle,"error:['M', '&', 'lm(', 'pick', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', 'and', ')lm', ')lm']",False
