,nl_command,ltl,map_name,result,eq
968,go to Au Bon Pain,F au_bon_pain,Philadelphia #2,F au_bon_pain,True
969,go to USPS Postbox,F usps_postbox,Philadelphia #2,F usps_postbox,True
970,please go to Stouffer Commons,F stouffer_commons,Philadelphia #2,"error:['F', 'lm(', 'lm(', 'Stouffer', ')lm']",False
971,please go to Mask & Wig,F mask_&_wig,Philadelphia #2,"error:['F', 'lm(', 'lm(', 'Mask', ')lm']",False
972,visit Coxe,F coxe,Philadelphia #2,F coxe,True
973,visit Hopkinson,F hopkinson,Philadelphia #2,F hopkinson,True
974,make your way to Wilson,F wilson,Philadelphia #2,"error:['F', 'lm(', 'Wilson', 'Wilson']",False
975,make your way to USPS Postbox,F usps_postbox,Philadelphia #2,F usps_postbox,True
976,find Children's Seashore House of CHOP,F children's_seashore_house_of_chop,Philadelphia #2,"error:['F', 'lm(', 'lm(', ""Children's"", 'Seashore', 'of', 'lm(']",False
977,find Baldwin,F baldwin,Philadelphia #2,"error:['F', 'lm(', 'Baldwin', 'Baldwin']",False
978,reach Vance Hall,F vance_hall,Philadelphia #2,F vance_hall,True
979,reach Stouffer College House,F stouffer_college_house,Philadelphia #2,F college_hall,False
980,go to Leidy Laboratories then go to Upper Quad or go to Upper Quad then go to Leidy Laboratories,& F leidy_laboratories F upper_quad,Philadelphia #2,"error:['F', '&', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Upper', 'Upper', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm']",False
981,go to Perelman Center for Advanced Medicine then go to Vance Hall or go to Vance Hall then go to Perelman Center for Advanced Medicine,& F perelman_center_for_advanced_medicine F vance_hall,Philadelphia #2,"error:['&', '&', '!', 'lm(', 'lm(', 'Vance', ')lm', ')lm', 'lm(', 'Perelman', 'Perelman', ')lm', ')lm', 'F', 'lm(', 'Center', 'Vance', 'Center', ')lm', ')lm', 'lm(', 'lm(', 'Center', ')lm', 'Center', 'Center', ')lm', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'Center', ')lm', ')lm', 'lm(', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', 'Center', ')lm', ')lm', ')lm', ')lm', ')lm', 'Center', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm', ')lm']",False
982,go to Leidy Laboratories and Veterans' Affairs Medical Centre in an arbitrary order,& F leidy_laboratories F veterans'_affairs_medical_centre,Philadelphia #2,"error:['G', 'F', 'lm(', 'lm(', 'Laboratories', ')lm', 'F', 'F', 'lm(', 'Medical', 'Medical', ')lm']",False
983,go to Clinical Research Building and Lancaster Farms CSA Drop Site in an arbitrary order,& F clinical_research_building F lancaster_farms_csa_drop_site,Philadelphia #2,"error:['&', 'F', 'lm(', 'lm(', 'Building', ')lm', 'G', 'F', 'lm(', 'Farms', 'Farms', ')lm', ')lm', 'F', 'lm(', 'lm(', 'CSA', 'Building', ')lm']",False
984,make sure both Mask & Wig and Au Bon Pain are visited,& F mask_&_wig F au_bon_pain,Philadelphia #2,G F hospital_of_the_university_of_pennsylvania F F au_bon_pain,False
985,make sure both Mask & Wig and Chestnut are visited,& F mask_&_wig F chestnut,Philadelphia #2,G & mask_&_wig,False
986,stop by Rodney and Veterans' Affairs Medical Centre,& F rodney F veterans'_affairs_medical_centre,Philadelphia #2,"error:['F', '&', 'lm(', 'Rodney', 'and', 'Rodney', ')lm', 'F', 'F', 'lm(', 'lm(', 'and', ""Veterans'"", ')lm']",False
987,stop by Hopkinson and College Hall,& F hopkinson F college_hall,Philadelphia #2,F college_hall,False
988,visit Children's Hospital of Philadelphia and Children's Seashore House of CHOP,& F children's_hospital_of_philadelphia F children's_seashore_house_of_chop,Philadelphia #2,"error:['&', 'F', 'lm(', 'lm(', ')lm', ')lm', 'of', 'lm(', 'F', 'F', 'lm(', 'of', 'lm(', 'of', 'of', ')lm']",False
989,visit Hopkinson and Biology Pond,& F hopkinson F biology_pond,Philadelphia #2,"error:['F', 'lm(', 'lm(', 'and', ')lm', ')lm', ')lm']",False
990,pick one from Coxe and Upper Quad go there and then head to the other one,& F coxe F upper_quad,Philadelphia #2,"error:['G', 'e', 'lm(', 'lm(', ')lm', 'X', 'X', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', ')lm', '|', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', '|', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm']",False
991,pick one from CHOP Parking Garage and Wawa go there and then head to the other one,& F chop_parking_garage F wawa,Philadelphia #2,G e stellar_chance_labs magee,False
992,go to Coxe Hospital of the University of Pennsylvania and Wilson in any order,& F coxe & F hospital_of_the_university_of_pennsylvania F wilson,Philadelphia #2,"error:['F', 'F', 'lm(', 'Coxe', 'University', 'of', 'of', ')lm', ')lm', 'of', 'lm(', 'Wilson', ')lm']",False
993,go to Children's Seashore House of CHOP Coxe and Foerderer in any order,& F children's_seashore_house_of_chop & F coxe F foerderer,Philadelphia #2,"error:['G', 'F', 'lm(', 'lm(', ')lm', ')lm', 'of', ')lm', ')lm', 'lm(', 'lm(', 'of', 'House', 'of', 'of', ')lm']",False
994,find Upper Quad Speakman and Fitler,& F upper_quad & F speakman F fitler,Philadelphia #2,"error:['F', '&', 'lm(', 'Upper', ')lm', 'F', 'F', 'lm(', 'lm(', 'Quad', ')lm']",False
995,find Memorial Tower Vance Hall and Wawa,& F memorial_tower & F vance_hall F wawa,Philadelphia #2,"error:['F', '&', 'lm(', 'Memorial', 'Tower', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Tower', ')lm']",False
996,go to Au Bon Pain Wilson and Mask & Wig,& F au_bon_pain & F wilson F mask_&_wig,Philadelphia #2,"error:['&', '&', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'F', 'lm(', 'lm(', 'Bon', ')lm']",False
997,go to Brooks Biology Pond and Lancaster Farms CSA Drop Site,& F brooks & F biology_pond F lancaster_farms_csa_drop_site,Philadelphia #2,"error:['&', '&', 'lm(', 'Brooks', ')lm', ')lm', 'F', 'F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'Biology', ')lm']",False
998,stop by Memorial Tower Baldwin and Butcher in any order,& F memorial_tower & F baldwin F butcher,Philadelphia #2,"error:['G', 'F', 'lm(', 'Memorial', 'Tower', ')lm', '|', 'F', 'lm(', 'lm(', 'Tower', 'Tower', ')lm']",False
999,stop by Leonard and Madlyn Abramson Pediatric Research Center Leidy Laboratories and Hospital of the University of Pennsylvania in any order,& F leonard_and_madlyn_abramson_pediatric_research_center & F leidy_laboratories F hospital_of_the_university_of_pennsylvania,Philadelphia #2,"error:['&', 'F', 'lm(', 'Leonard', 'and', 'Madlyn', ')lm', '&', 'F', 'lm(', 'Pediatric', 'Research', 'Center', ')lm', 'F', 'lm(', 'lm(', 'University', 'of', 'of', 'of', ')lm']",False
