,nl_command,ltl,map_name,result,eq
6210,eventually first visit Dish and then Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch after,F & dish F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,Charlotte #2,"error:['&', 'F', 'lm(', 'Dish', 'Library', 'Library', 'of', ')lm', ')lm', 'lm(', 'lm(', 'and', '-', 'of', ')lm', ')lm']",False
6211,eventually first visit Dish and then Common Market after,F & dish F common_market,Charlotte #2,F dish,False
6212,visit Dish and then Harris Teeter,F & dish F harris_teeter,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Teeter', ')lm']",False
6213,visit Zada Jane's and then Harris Teeter,F & zada_jane's F harris_teeter,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Teeter', ')lm']",False
6214,go to CVS and sometime afterward visit Wells Fargo,F & cvs F wells_fargo,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Wells', 'Fargo', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'Wells']",False
6215,go to Subway and sometime afterward visit CVS,F & subway F cvs,Charlotte #2,"error:['F', 'lm(', 'CVS', 'CVS', 'CVS', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'U', '!', 'lm(', ')lm']",False
6216,move to Commonwealth Animal Hospital then move to CVS,F & commonwealth_animal_hospital F cvs,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Commonwealth', ')lm']",False
6217,move to Harris Teeter then move to Fuel Pizza,F & harris_teeter F fuel_pizza,Charlotte #2,G ! the_plaza_post_office )lm elizabeth_billiards lm( fuel_pizza,False
6218,go to Fuel Pizza then CVS,F & fuel_pizza F cvs,Charlotte #2,F fuel_pizza,False
6219,go to The Plaza Post Office then Subway,F & the_plaza_post_office F subway,Charlotte #2,F the_plaza_post_office,False
6220,find Dish first then find Dairy Queen,F & dish F dairy_queen,Charlotte #2,"error:['F', 'lm(', 'Dairy', 'Dairy']",False
6221,find Wells Fargo first then find CVS,F & wells_fargo F cvs,Charlotte #2,"error:['F', 'lm(', 'CVS', 'CVS']",False
6222,move Diamond Restaurant then find Fuel Pizza,F & diamond_restaurant F fuel_pizza,Charlotte #2,U ! fuel_pizza,False
6223,move Dish then find Harris Teeter,F & dish F harris_teeter,Charlotte #2,F commonwealth_animal_hospital,False
6224,go to Diamond Restaurant then move to Common Market,F & diamond_restaurant F common_market,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Restaurant', ')lm']",False
6225,go to Harris Teeter then move to Subway,F & harris_teeter F subway,Charlotte #2,"error:['F', 'lm(', 'lm(', 'Harris', ')lm']",False
6226,visit Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and visit Dairy Queen after Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch is visited,F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F dairy_queen,Charlotte #2,"error:['&', '&', 'U', '!', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'Library', 'Library', 'Library', 'of', 'of', 'Library', ')lm', 'F', 'lm(', 'lm(', 'and', '-', 'of', ')lm', ')lm', 'U', '!', 'lm(', 'Public', 'Library', 'of', 'of', ')lm', 'U', 'lm(', 'Public', 'Library', 'of', 'of', ')lm', ')lm', 'U', 'lm(', 'lm(', 'Library', 'Library', 'of', 'of', ')lm', ')lm', 'lm(', 'and', '-', 'of', ')lm', ')lm', 'U', '!', 'lm(', '-', '-', ')lm', ')lm', ')lm', ')lm', 'lm(', 'and', '-', ')lm']",False
6227,visit Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch and visit Subway after Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch is visited,F & public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch F subway,Charlotte #2,"error:['&', '&', 'U', '!', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'Library', 'Library', 'Library', 'of', 'Charlotte', ')lm', 'F', 'lm(', 'lm(', 'and', '-', 'of', ')lm', ')lm', 'U', '!', 'lm(', 'Public', 'Library', 'of', 'of', 'Library', ')lm', 'lm(', 'lm(', 'Public', 'of', 'of', ')lm', ')lm', 'U', '!', 'lm(', 'Library', 'Library', 'of', 'of', ')lm', ')lm', 'lm(', 'lm(', '-', '-', ')lm', ')lm', ')lm', '!', 'lm(', '-', 'Plaza', 'Plaza', ')lm', ')lm', 'lm(', 'lm(', 'and', '-', ')lm', ')lm']",False
6228,after you visit Common Market go to Public Library of Charlotte and Mecklenburg County - Plaza Midwood Branch,F & common_market F public_library_of_charlotte_and_mecklenburg_county_-_plaza_midwood_branch,Charlotte #2,"error:['&', 'G', 'F', 'lm(', ')lm', ')lm', 'of', 'G', ')lm', 'G', 'F', 'lm(', 'lm(', '-', '-', ')lm', ')lm']",False
