,nl_command,ltl,map_name,result,eq
7264,visit SpringHill Suites Houston Medical Center/NRG Park Pizza Hut Fiesta and TGF Hair Salon,& F pizza_hut & F springhill_suites_houston_medical_center/nrg_park & F fiesta F tgf_hair_salon,Houston,"error:['&', 'F', 'lm(', 'SpringHill', 'Park', ')lm', '&', 'F', 'lm(', 'Center/NRG', 'Park', 'Pizza', ')lm', 'F', 'lm(', 'Hut', ')lm', ')lm']",False
7265,visit Domain at Kirby Big Lots GameStop and Freebirds World Burrito,& F big_lots & F domain_at_kirby & F gamestop F freebirds_world_burrito,Houston,& F gamestop )lm F five_guys lm( five_guys,False
7266,go to four locations Domain at Kirby GameStop Texas Medical Center and NRG Park,& F domain_at_kirby & F gamestop & F nrg_park F texas_medical_center,Houston,& F domain_at_kirby F F nrg_park,False
7267,go to four locations Holiday Inn Houston - NRG/Medical Center Area Freebirds World Burrito Capital One Bank and Big Lots,& F holiday_inn_houston_-_nrg/medical_center_area & F freebirds_world_burrito & F big_lots F capital_one_bank,Houston,"error:['&', 'F', 'lm(', 'Holiday', 'Inn', '-', 'Center', ')lm', '&', 'F', 'lm(', 'Area', 'Freebirds', ')lm', 'F', 'lm(', 'lm(', 'lm(', ')lm']",False
7268,in no particular order visit Fiesta SpringHill Suites Houston Medical Center/NRG Park Taco Cabana and Viet's Express,& F fiesta & F springhill_suites_houston_medical_center/nrg_park & F taco_cabana F viet's_express,Houston,"error:['&', 'F', 'lm(', 'Fiesta', 'particular', 'SpringHill', ')lm', 'F', 'lm(', 'Center/NRG', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Park', ')lm']",False
7269,in no particular order visit Infinite Smiles Family Dentistry SpringHill Suites Houston Medical Center/NRG Park Holiday Inn Houston - NRG/Medical Center Area and Fannin Substation,& F infinite_smiles_family_dentistry & F springhill_suites_houston_medical_center/nrg_park & F holiday_inn_houston_-_nrg/medical_center_area F fannin_substation,Houston,"error:['&', 'F', 'lm(', 'Infinite', 'Infinite', ')lm', '&', '&', 'lm(', 'Suites', 'Park', ')lm', '&', 'F', 'lm(', 'Holiday', 'Park', ')lm', '&', 'F', 'lm(', 'F', 'Center', ')lm', 'F', 'lm(', 'lm(', ')lm', '-']",False
7270,go to Olive Garden Big Lots Viet's Express and Antone's Import Co. in arbitrary order,& F olive_garden & F big_lots & F viet's_express F antone's_import_co.,Houston,"error:['&', 'F', 'lm(', 'Olive', 'Garden', ')lm', ')lm', 'F', 'lm(', 'lm(', ')lm', ')lm']",False
7271,go to PetSmart Royal Nails & Spa Domain at Kirby and Akashi Asian Sushi Cuisine & Wine Bar in arbitrary order,& F petsmart & F royal_nails_&_spa & F domain_at_kirby F akashi_asian_sushi_cuisine_&_wine_bar,Houston,"error:['&', 'F', 'lm(', 'lm(', 'Royal', ')lm', 'F', 'F', 'lm(', 'lm(', 'Spa', ')lm']",False
7272,visit Bank of America Financial Center Holiday Inn Houston - NRG/Medical Center Area North Kirby Lot and TGF Hair Salon,& F bank_of_america_financial_center & F holiday_inn_houston_-_nrg/medical_center_area & F north_kirby_lot F tgf_hair_salon,Houston,"error:['&', 'F', 'lm(', 'America', ')lm', ')lm', 'Center', ')lm', 'lm(', 'lm(', 'Inn', '-', 'NRG/Medical', 'Center', ')lm', '&', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm']",False
7273,visit Extended Stay America - Houston - Med. Ctr. - NRG Park - Kirby Olive Garden NRG Park and GameStop,& F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby & F olive_garden & F nrg_park F gamestop,Houston,"error:['&', 'F', 'lm(', 'Extended', '-', '-', '-', ')lm', '-', 'F', '&', 'lm(', 'Park', 'Garden', 'Park', ')lm', 'F', 'lm(', 'lm(', 'Park', '-']",False
7274,make sure Domain at Kirby Viet's Express Royal Nails & Spa and Olive Garden are all visited,& F domain_at_kirby & F viet's_express & F royal_nails_&_spa F olive_garden,Houston,"error:['&', 'F', 'lm(', 'Domain', ""Viet's"", ')lm', '&', 'F', 'lm(', 'lm(', 'Garden', ')lm', ')lm', 'F', 'lm(']",False
7275,make sure Viet's Express Akashi Asian Sushi Cuisine & Wine Bar Texas Medical Center and Walgreens Pharmacy are all visited,& F viet's_express & F akashi_asian_sushi_cuisine_&_wine_bar & F texas_medical_center F walgreens_pharmacy,Houston,& F olive_garden & F extended_stay_america_-_houston_-_med._ctr._-_nrg_park_-_kirby F big_lots,False
7276,do not stop until Freebirds World Burrito The UPS Store Royal Nails & Spa and Viet's Express are all visited,& F freebirds_world_burrito & F the_ups_store & F royal_nails_&_spa F viet's_express,Houston,"error:['&', 'F', 'lm(', 'The', 'World', ')lm', '&', 'F', 'lm(', 'The', 'UPS', ')lm', 'F', 'lm(', 'lm(', '&', ')lm', ')lm', 'lm(']",False
