Pattern Type,NProps,Utterance,True LTL,Out LTL,
visit,1,Go straight towards Novel Cafe Westwood,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Move straight to Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Go straight to Novel Café.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Navigate to the Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Go straight to the other side of the block at the Novel Cafe Westwood.,F novel_cafe_westwood,G ! novel_cafe_westwood,FALSE
visit,1,Drive past Native foods than land at Novel Cafe.,F novel_cafe_westwood,F & native_foods F novel_cafe_westwood,TRUE
visit,1,"Avoid Veggie Grill on your way to Novel Cafe.
Navigate to the cafe and avoid turning left to the grill.
Proceed to the Novel Cafe Westwood while avoiding the vegan restaurant.",F novel_cafe_westwood,& U ! veggie_grill novel_cafe_westwood & U ! g veggie_grill & U ! v g F v,FALSE
visit,1,Go to Novel Cafe.,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,1,Avoid the Veggie Grill on your way to the Novel Cafe.,F novel_cafe_westwood,U ! veggie_grill novel_cafe_westwood,FALSE
visit,1,Make your way in a straight line to Novel Cafe Westwood,F novel_cafe_westwood,F novel_cafe_westwood,TRUE
visit,2,Navigate to Novel Café on your way to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,"Go to the Novel Cafe, then continue on to the Veggie Grill, avoiding Urban Outfitters on the way.",F & novel_cafe_westwood F veggie_grill,& U ! veggie_grill novel_cafe_westwood F veggie_grill,FALSE
visit,2,Go to Novel Cafe Westwood on your way to Veggie Grill,F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
visit,2,Proceed to the cafe and then to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,F & poke_bar F veggie_grill,FALSE
visit,2,"Go to the Novel Cafe Westwood, then head to the Veggie Grill.",F & novel_cafe_westwood F veggie_grill,F & novel_cafe_westwood F veggie_grill,TRUE
