Utterance,Ground truth,Output,Correct
"make sure at any point in time you will visit Big Lots department store on Kirby Drive, at least once in the future",{'Big Lots department store on Kirby Drive'},{'Big Lots department store on Kirby Drive'},True
"you have to visit Asian and Japanese sushi restaurant on Kirby Drive, three or more than three times",{'Asian and Japanese sushi restaurant on Kirby Drive'},{'Asian and Japanese sushi restaurant on Kirby Drive'},True
"do not leave TGF Hair Salon on Kirby Drive, until you reach NRG Park locality","{'NRG Park locality', 'TGF Hair Salon on Kirby Drive'}","{'NRG Park locality', 'TGF Hair Salon on Kirby Drive'}",True
"stay at TGF Hair Salon on Kirby Drive, before you see Office Depot stationery store","{'Office Depot stationery store', 'TGF Hair Salon on Kirby Drive'}","{'Office Depot stationery store', 'TGF Hair Salon on Kirby Drive'}",True
"make sure to never reach either Fiesta supermarket on Kirby Drive, or Pizza Hut restaurant on Kirby Drive","{'Fiesta supermarket on Kirby Drive', 'Pizza Hut restaurant on Kirby Drive'}","{'Fiesta supermarket on Kirby Drive', 'Pizza Hut restaurant on Kirby Drive'}",True
"visit Fried food restaurant Catfish Station on Kirby Drive, Taco Cabana Mexican fast food, Freebirds World Burrito restaurant on Kirby Drive, and NRG Park locality, in that specific order make sure not to visit waypoints out of turn","{'Fried food restaurant Catfish Station on Kirby Drive', 'Freebirds World Burrito restaurant on Kirby Drive', 'Taco Cabana Mexican fast food', 'NRG Park locality'}","{'Fried food restaurant Catfish Station on Kirby Drive', 'Freebirds World Burrito restaurant on Kirby Drive', 'Taco Cabana Mexican fast food', 'NRG Park locality'}",True
"go to Doughnut cafe on Old Spanish Trail, then leave Doughnut cafe on Old Spanish Trail, and repeat this exactly once more",{'Doughnut cafe on Old Spanish Trail'},{'Doughnut cafe on Old Spanish Trail'},True
"make your way to Extended Stay America hotel near Kirby in Houston, but keep avoiding Fannin Substation operated by CenterPoint Energy, and Walgreens Pharmacy on Kirby Drive, and head to Fannin Substation operated by CenterPoint Energy, but keep avoiding Walgreens Pharmacy on Kirby Drive, and then visit Walgreens Pharmacy on Kirby Drive","{'Fannin Substation operated by CenterPoint Energy', 'Extended Stay America hotel near Kirby in Houston', 'Walgreens Pharmacy on Kirby Drive'}","{'Fannin Substation operated by CenterPoint Energy', 'Extended Stay America hotel near Kirby in Houston', 'Walgreens Pharmacy on Kirby Drive'}",True
"go to Viet's Express restaurant on Kirby Drive, only one time","{""Viet's Express restaurant on Kirby Drive""}","{""Viet's Express restaurant on Kirby Drive""}",True
"visit Extended Stay America hotel near Med. Ctr., NRG Park, and Kirby in Houston, and only then reach TGF Hair Salon on Kirby Drive, you can only visit Extended Stay America hotel near Med. Ctr., NRG Park, and Kirby in Houston, once","{'TGF Hair Salon on Kirby Drive', 'Extended Stay America hotel near Med. Ctr., NRG Park, and Kirby in Houston'}","{'TGF Hair Salon on Kirby Drive', 'Extended Stay America hotel near Med. Ctr., NRG Park, and Kirby in Houston'}",True
"Fiesta supermarket on Kirby Drive, should happen immediately in the next time step as soon as North Kirby parking lot, is observed","{'North Kirby parking lot', 'Fiesta supermarket on Kirby Drive'}","{'Fiesta supermarket on Kirby Drive', 'North Kirby parking lot'}",True
"find the following Burger fast-food restaurant on South Main Street, North Kirby parking lot, SpringHill Suites Houston Medical Center/NRG Park building, Freebirds World Burrito on Kirby Drive, Holiday Inn Houston in NRG/Medical Center Area","{'Freebirds World Burrito on Kirby Drive', 'Holiday Inn Houston in NRG/Medical Center Area', 'SpringHill Suites Houston Medical Center/NRG Park building', 'Burger fast-food restaurant on South Main Street', 'North Kirby parking lot'}","{'Freebirds World Burrito on Kirby Drive', 'Burger fast-food restaurant on South Main Street', 'SpringHill Suites Houston Medical Center/NRG Park building', 'Holiday Inn Houston in NRG/Medical Center Area', 'North Kirby parking lot'}",True
"visit Mexican fast food at Chipotle on South Main Street, then Antone's Import Co. restaurant on Kirby Drive, then Fiesta supermarket on Kirby Drive, then Royal Nails & Spa on South Main Street, and then Family dentist on Old Spanish Trail","{'Mexican fast food at Chipotle on South Main Street', 'Royal Nails & Spa on South Main Street', 'Fiesta supermarket on Kirby Drive', ""Antone's Import Co. restaurant on Kirby Drive"", 'Family dentist on Old Spanish Trail'}","{'Fiesta supermarket on Kirby Drive', ""Antone's Import Co. restaurant on Kirby Drive"", 'Mexican fast food at Chipotle on South Main Street', 'Royal Nails & Spa on South Main Street', 'Family dentist on Old Spanish Trail'}",True
"do not visit Antone's Import Co. restaurant on Kirby Drive, more than three times","{""Antone's Import Co. restaurant on Kirby Drive""}","{""Antone's Import Co. restaurant on Kirby Drive""}",True
"find Mexican fast food on South Main Street, Bank of America Financial Center on Old Spanish Trail, and Capital One Bank on Kirby Drive","{'Bank of America Financial Center on Old Spanish Trail', 'Mexican fast food on South Main Street', 'Capital One Bank on Kirby Drive'}","{'Bank of America Financial Center on Old Spanish Trail', 'Mexican fast food on South Main Street', 'Capital One Bank on Kirby Drive'}",True
"never stop visiting Royal Nails & Spa on South Main Street, Asian and Japanese sushi restaurant with wine bar on Kirby Drive, and Family dentist on Old Spanish Trail","{'Asian and Japanese sushi restaurant with wine bar on Kirby Drive', 'Royal Nails & Spa on South Main Street', 'Family dentist on Old Spanish Trail'}","{'Asian and Japanese sushi restaurant with wine bar on Kirby Drive', 'Royal Nails & Spa on South Main Street', 'Family dentist on Old Spanish Trail'}",True
visit Domain at Kirby apartments on Old Spanish Trail,{'Domain at Kirby apartments on Old Spanish Trail'},{'Domain at Kirby apartments on Old Spanish Trail'},True
keep visiting NRG Park locality,{'NRG Park locality'},{'NRG Park locality'},True
"once you leave Domain at Kirby apartments on Old Spanish Trail, for the second time you can not come back to it",{'Domain at Kirby apartments on Old Spanish Trail'},{'Domain at Kirby apartments on Old Spanish Trail'},True
"always avoid going to Family dentist on Old Spanish Trail, Bank of America Financial Center on Old Spanish Trail, Viet's Express restaurant on Kirby Drive, Domain at Kirby apartments on Old Spanish Trail, and Freebirds World Burrito on Kirby Drive","{'Freebirds World Burrito on Kirby Drive', 'Bank of America Financial Center on Old Spanish Trail', 'Domain at Kirby apartments on Old Spanish Trail', ""Viet's Express restaurant on Kirby Drive"", 'Family dentist on Old Spanish Trail'}","{'Freebirds World Burrito on Kirby Drive', 'Bank of America Financial Center on Old Spanish Trail', 'Domain at Kirby apartments on Old Spanish Trail', ""Viet's Express restaurant on Kirby Drive"", 'Family dentist on Old Spanish Trail'}",True
"Five Guys burger fast food on South Main Street, must occur in the very next time step that Family dentist on Old Spanish Trail, occurs and Family dentist on Old Spanish Trail, must happen in the immediately previous time step of Five Guys burger fast food on South Main Street, occurring","{'Five Guys burger fast food on South Main Street', 'Family dentist on Old Spanish Trail'}","{'Five Guys burger fast food on South Main Street', 'Family dentist on Old Spanish Trail'}",True
