,nl_command,ltl,map_name,result,eq
5880,find PNC Bank Drive-Thru,F pnc_bank_drive-thru,Indianapolis,"error:['F', 'lm(', 'PNC', 'Bank', 'Drive-Thru', 'Drive-Thru']",False
5881,find El Arado,F el_arado,Indianapolis,"error:['F', 'lm(', 'El', 'Arado', 'Arado']",False
5882,visit La Margarita Fountain Square,F la_margarita_fountain_square,Indianapolis,"error:['F', 'lm(', 'La', 'Margarita', 'Square']",False
5883,visit Pure,F pure,Indianapolis,"error:['F', 'lm(', 'lm(', 'Pure', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', ')lm', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'F', 'lm(', 'F', ')lm', ')lm', 'lm(', 'lm(', 'lm(', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(', 'lm(']",False
5884,move to Hero House Comics,F hero_house_comics,Indianapolis,"error:['F', 'lm(', 'Hero', 'House', 'Comics']",False
5885,move to El Arado,F el_arado,Indianapolis,"error:['F', 'lm(', 'lm(', 'El', 'Arado']",False
5886,stop by El Arado,F el_arado,Indianapolis,"error:['F', 'lm(', 'El', 'El', 'Arado']",False
5887,stop by La Margarita Fountain Square,F la_margarita_fountain_square,Indianapolis,"error:['F', 'lm(', 'La', 'Margarita', 'Fountain']",False
5888,go to Fountain Square,F fountain_square,Indianapolis,F mama_irma,False
5889,go to La Margarita Fountain Square,F la_margarita_fountain_square,Indianapolis,"error:['F', 'lm(', 'lm(', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(', 'lm(', 'Square', ')lm']",False
5890,pick one from PNC Bank Drive-Thru and Smokehouse On Shelby go there and then head to the other one,& F pnc_bank_drive-thru F smokehouse_on_shelby,Indianapolis,"error:['M', '&', 'lm(', 'pick', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(', ')lm', 'Bank', 'and', 'Bank', ')lm', ')lm', 'Bank', 'Bank', 'Drive-Thru', ')lm', 'Bank', 'and', ')lm', 'Bank', ')lm', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'PNC', 'Bank', 'Drive-Thru', ')lm', 'G', 'G', 'G', 'lm(', 'PNC', 'Drive-Thru', ')lm', 'Drive-Thru', ')lm', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'PNC', 'Drive-Thru', ')lm', ')lm']",False
5891,pick one from Smokehouse On Shelby and El Arado go there and then head to the other one,& F smokehouse_on_shelby F el_arado,Indianapolis,"error:['M', '&', 'lm(', 'pick', ')lm', 'F', 'F', 'lm(', 'lm(', 'lm(', ')lm', 'lm(', '|', 'lm(', 'lm(', 'lm(', 'and', ')lm', ')lm']",False
5892,go to El Arado and go to Smokehouse On Shelby,& F el_arado F smokehouse_on_shelby,Indianapolis,"error:['G', 'lm(', 'lm(', 'El', 'and', ')lm', ')lm', 'F', 'lm(', 'lm(', 'On', 'Shelby', ')lm']",False
5893,go to PNC Bank Drive-Thru and go to Smokehouse On Shelby,& F pnc_bank_drive-thru F smokehouse_on_shelby,Indianapolis,G mama_irma,False
5894,eventually reach El Arado and Pure,& F el_arado F pure,Indianapolis,& F el_arado,False
5895,eventually reach La Margarita Fountain Square and Fountain Square Branch Indianapolis-Marion County Public Library,& F la_margarita_fountain_square F fountain_square_branch_indianapolis-marion_county_public_library,Indianapolis,"error:['&', 'F', 'lm(', 'La', 'and', 'Fountain', ')lm', ')lm', 'F', 'lm(', 'Public', ')lm', ')lm', 'Library', ')lm']",False
5896,visit Pure and La Margarita Fountain Square,& F pure F la_margarita_fountain_square,Indianapolis,"error:['F', 'lm(', 'lm(', 'and', ')lm', ')lm', 'F', 'lm(', 'lm(', 'lm(']",False
5897,visit Pure and El Arado,& F pure F el_arado,Indianapolis,"error:['F', 'lm(', 'lm(', 'and', ')lm', ')lm', 'lm(', 'lm(', 'lm(', 'lm(']",False
